Province,county,china_bx_data_grade_id,grade,A_SRatio
Beijing,Beijing,1,0.45,3.0
Chongqing,Fengdu,2,0.0,3.0
Chongqing,Nanchuan,3,0.0,6.448240886000001
Chongqing,Qinjiang,4,0.0,4.7
Chongqing,Wulong,5,0.0,5.228765189
Chongqing,Chongqing,6,0.0,0.0
Fujian,Fujian,7,0.45,3.0
Guangdong,Guangdong,8,0.45,3.0
Guangxi,Binyang,9,0.0,2.06
Guangxi,Chongzuo,10,0.0,3.9
Guangxi,Debao,11,0.0,7.242822811
Guangxi,Donglan,12,0.0,3.508405643
Guangxi,Fusui,13,0.4771,3.8
Guangxi,Guigang,14,0.27,4.0
Guangxi,Heng,15,0.5,5.0
Guangxi,Jingxi,16,0.0,6.144343856
Guangxi,Laibin,17,0.0,3.58
Guangxi,Lingyun,18,0.5154,1.68
Guangxi,Long'an,19,0.46799999999999997,2.97
Guangxi,Longzhou,20,0.0,5.0
Guangxi,Mashan,21,0.0,2.01
Guangxi,Napo,22,0.0,6.54
Guangxi,Ningming,23,0.507,3.29
Guangxi,Pingguo,24,0.0,8.319559567999999
Guangxi,Pingxiang,25,0.41100000000000003,3.32
Guangxi,Shanglin,26,0.0,3.28
Guangxi,Tiandong,27,0.0,6.02
Guangxi,Tianyang,28,0.0,8.0490789
Guangxi,Tian'e,29,0.0,4.92
Guangxi,Tianlin,30,0.0,5.0
Guangxi,Yizhou,31,0.0,2.52
Guangxi,Yongning,32,0.0,9.86
Guangxi,Guangxi,33,0.5108114460000001,5.668088956
Guizhou,Daozhen,34,0.0,7.61
Guizhou,Fuquan,35,0.0,6.0
Guizhou,Guiyang,36,0.0,6.742442304
Guizhou,Huangping,37,0.0,6.8
Guizhou,Kaili,38,0.0,6.649060347000001
Guizhou,Kaiyang,39,0.0,7.67667196
Guizhou,Jinsha,40,0.0,3.69
Guizhou,Longli,41,0.0,5.0
Guizhou,Qingzhen,42,0.0,8.124162278
Guizhou,Tongzi,43,0.6,5.0
Guizhou,Weng'an,44,0.0,7.0
Guizhou,Wuchuan,45,0.0,7.0
Guizhou,Xifeng,46,0.0,4.4
Guizhou,Xiuwen,47,0.0,5.66291595
Guizhou,Zheng'an,48,0.0,5.984797467999999
Guizhou,Zhijin,49,0.0,8.06
Guizhou,Zunyi,50,0.0,6.995697144
Guizhou,Other,51,0.6018,6.8
Guizhou,Guizhou,52,0.0,0.0
Hainan,Wenchang,53,0.0,6.3
Hainan,Hainan,54,0.0,6.3
Hebei,Fengfeng,55,0.0,5.0
Hebei,Jingxing,56,0.0,5.0
Hebei,Tangshan,57,0.0,5.0
Hebei,Wu'an,58,0.0,5.0
Hebei,Hebei,59,0.0,0.0
Henan,Baofeng,60,0.0,4.783374175
Henan,Dengfeng,61,0.0,6.1
Henan,Gongyi,62,0.0,4.750568373
Henan,Hubin,63,0.0,4.0
Henan,Jiaxian,64,0.0,4.0
Henan,Jiyuan,65,0.0,4.0
Henan,Lushan,66,0.0,5.86587991
Henan,Mianchi,67,0.0,7.11442601
Henan,Pingdingshan,68,0.0,5.4
Henan,Qinyang,69,0.0,4.0
Henan,Ruyang,70,0.6,4.0
Henan,Ruzhou,71,0.0,6.128702067000001
Henan,Sanmenxia,72,0.0,5.7
Henan,Shaan,73,0.0,7.310645462999999
Henan,Xin'an,74,0.0,5.080999353
Henan,Xingyang,75,0.0,4.0
