province,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Guangxi,2.13075704741533000000,2.18250131659024000000,2.20700560206353000000,2.26337234018390000000,2.33601832154642000000,2.38108490987803000000,2.40355178941859000000,2.41830741009187000000,2.43486778324334000000,2.45210909446083000000,2.46669328846847000000,2.47880309992503000000,2.48926150805584000000,2.50635397984997000000,2.52470986845940000000,2.54036245762774000000,2.55447322533967000000,2.56745687799783000000,2.57945729471234000000,2.59060668160226000000,2.60102302864358000000,2.61081050598936000000,2.62006106312411000000,2.62885654115575000000,2.63714868682658000000,2.64513798192682000000,2.65288916675766000000
Guizhou,1.75053334794986000000,1.79980460038352000000,1.83216814506730000000,1.85620636856947000000,1.87058852915352000000,1.88274397109250000000,1.90340818431841000000,1.92394719328065000000,1.94736681829232000000,1.97023774969520000000,1.98359395744789000000,2.00659690766627000000,2.02558169820958000000,2.03856170173699000000,2.05214010595038000000,2.06113681046183000000,2.07858146514167000000,2.09460139851182000000,2.10919973774664000000,2.12260737834292000000,2.13505786938060000000,2.14672100094256000000,2.15781100071300000000,2.16845374355421000000,2.17862877166159000000,2.18860030957660000000,2.19847536573816000000
Henan,1.91854292368652000000,1.98262955180543000000,2.00968284153174000000,2.03803434935801000000,2.06137453966434000000,2.08726617019406000000,2.11044182686943000000,2.13252557565471000000,2.15530317295521000000,2.17608977957424000000,2.19750459310181000000,2.22482939498288000000,2.23653629765214000000,2.25393463154479000000,2.26389745441469000000,2.27413151079121000000,2.28192780418401000000,2.29023973396459000000,2.29841857723681000000,2.30379207665459000000,2.30618412802366000000,2.30904619715982000000,2.31136983866410000000,2.31404785613005000000,2.31705281463617000000,2.32045497034650000000,2.32431108433808000000
Shanxi,1.91943064260657000000,2.00679947449394000000,2.06696366118889000000,2.10577187515801000000,2.12766731310325000000,2.16037464685320000000,2.18065572395038000000,2.20634432923331000000,2.22969652357794000000,2.24948275237624000000,2.26944476433604000000,2.29048283924870000000,2.31623258815637000000,2.34393914843266000000,2.36844988059281000000,2.39166930785059000000,2.41759524838580000000,2.44386212084186000000,2.46471011792249000000,2.47365033053037000000,2.48153061783398000000,2.49118893135500000000,2.50098874236376000000,2.50665627325407000000,2.50683277098035000000,2.50686582845240000000,2.50698688867914000000
Chongqing,1.85966948443858000000,1.89381061317164000000,1.90844618096498000000,1.91698023926095000000,1.92635716749988000000,1.93459230664965000000,1.95307450895322000000,1.97942503950842000000,1.99948989167609000000,2.01140045953129000000,2.01993550290846000000,2.02632890627128000000,2.03152475937009000000,2.03564594980121000000,2.03941607787257000000,2.04271442775745000000,2.04580031843749000000,2.04877497787614000000,2.05169346803940000000,2.05423312173106000000,2.05660162402788000000,2.05908383144175000000,2.06152012207992000000,2.06396463753705000000,2.06639511570526000000,2.06880153201605000000,2.07122737055588000000
Hebei,1.89130657461683000000,1.93004632465901000000,1.95951526082053000000,1.98621897280017000000,1.98518857290108000000,1.98789367911077000000,2.00990956914061000000,2.02171627823590000000,2.05015859852502000000,2.07386322663938000000,2.09222267789035000000,2.11502206727535000000,2.13333036800960000000,2.14779496046853000000,2.16102719238666000000,2.17262477583216000000,2.18350220094679000000,2.19401291044632000000,2.20581175014314000000,2.22035286468202000000,2.23058667816668000000,2.24085668798753000000,2.25075631636256000000,2.26051572840143000000,2.27007371352583000000,2.27944369011881000000,2.28538472657209000000
Hubei,1.89130657461683000000,1.93004632465901000000,1.95951526082053000000,1.98621897280017000000,1.98518857290108000000,1.98789367911077000000,2.00990956914061000000,2.02171627823590000000,2.05015859852502000000,2.07386322663938000000,2.09222267789035000000,2.11502206727535000000,2.13333036800960000000,2.14779496046853000000,2.16102719238666000000,2.17262477583216000000,2.18350220094679000000,2.19401291044632000000,2.20581175014314000000,2.22035286468202000000,2.23058667816668000000,2.24085668798753000000,2.25075631636256000000,2.26051572840143000000,2.27007371352583000000,2.27944369011881000000,2.28538472657209000000
Hunan,1.89130657461683000000,1.93004632465901000000,1.95951526082053000000,1.98621897280017000000,1.98518857290108000000,1.98789367911077000000,2.00990956914061000000,2.02171627823590000000,2.05015859852502000000,2.07386322663938000000,2.09222267789035000000,2.11502206727535000000,2.13333036800960000000,2.14779496046853000000,2.16102719238666000000,2.17262477583216000000,2.18350220094679000000,2.19401291044632000000,2.20581175014314000000,2.22035286468202000000,2.23058667816668000000,2.24085668798753000000,2.25075631636256000000,2.26051572840143000000,2.27007371352583000000,2.27944369011881000000,2.28538472657209000000
Inner Mongolia,1.89130657461683000000,1.93004632465901000000,1.95951526082053000000,1.98621897280017000000,1.98518857290108000000,1.98789367911077000000,2.00990956914061000000,2.02171627823590000000,2.05015859852502000000,2.07386322663938000000,2.09222267789035000000,2.11502206727535000000,2.13333036800960000000,2.14779496046853000000,2.16102719238666000000,2.17262477583216000000,2.18350220094679000000,2.19401291044632000000,2.20581175014314000000,2.22035286468202000000,2.23058667816668000000,2.24085668798753000000,2.25075631636256000000,2.26051572840143000000,2.27007371352583000000,2.27944369011881000000,2.28538472657209000000
Shandong,1.89130657461683000000,1.93004632465901000000,1.95951526082053000000,1.98621897280017000000,1.98518857290108000000,1.98789367911077000000,2.00990956914061000000,2.02171627823590000000,2.05015859852502000000,2.07386322663938000000,2.09222267789035000000,2.11502206727535000000,2.13333036800960000000,2.14779496046853000000,2.16102719238666000000,2.17262477583216000000,2.18350220094679000000,2.19401291044632000000,2.20581175014314000000,2.22035286468202000000,2.23058667816668000000,2.24085668798753000000,2.25075631636256000000,2.26051572840143000000,2.27007371352583000000,2.27944369011881000000,2.28538472657209000000
