,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Under Ground specific rates,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs
Province,Electricity,Diesel,LabourRMB,LabourHours,Tax - Royalty,Tax - Other,In Mine Transport,Water,Transport,Spare,Electricity Use,Diesel Use,Labour Prodty,In Mine Freight,Dressing - Guangxi,Base electricy use,Thermal CoalRMB,Thermal CoalKcal,Anthratcite CoalRMB,Anthratcite CoalKcal,Caustic Soda,Lime,Mud disposal
,RMB/kWh,RMB/t,RMB/year,Hours/year,RMB/dpt,RMB/dpt,RMB/t/klm,RMB/t,RMB/t/klm,,kWh/t_total,kg/t_total,hrs/t_total,km/t_total,RMB/t_total,kWh/t_total,RMB/t del.,kCal/kg,RMB/t del.,kCal/kg,RMB/t del,RMB/t del,RMB/dmt
Beijing,0.60000000000000000000,6500.00000000000000000000,55000.00000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.78661179528436000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Chongqing,0.65311750000000000000,6719.19121320734000000000,50850.45000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,354.00000000000000000000,4500.00000000000000000000,676.00000000000000000000,5750.00000000000000000000,3143.01643835616000000000,250.00000000000000000000,22.00000000000000000000
Fujian,0.58640000000000000000,6574.19121320734000000000,45982.65000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Guangdong,0.71793333333333400000,6606.23129140871000000000,82514.25000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Guangxi,0.60350000000000000000,6644.19121320734000000000,46840.50000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,2.71000000000000000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,390.00000000000000000000,4500.00000000000000000000,412.00000000000000000000,5750.00000000000000000000,3331.97534246575000000000,250.00000000000000000000,22.00000000000000000000
Guizhou,0.51465625000000000000,6669.19121320734000000000,52824.45000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.23000000000000000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,467.00000000000000000000,4500.00000000000000000000,450.00000000000000000000,5750.00000000000000000000,3338.27397260274000000000,250.00000000000000000000,22.00000000000000000000
Hainan,0.67966666666666700000,6657.21174106658000000000,54125.40000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,385.91000000000000000000,4500.00000000000000000000,667.87240000000000000000,5750.00000000000000000000,3275.28767123288000000000,260.00000000000000000000,22.00000000000000000000
Hebei,0.56424114583333400000,6509.19121320734000000000,62331.15000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,4.64601769911504000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,335.00000000000000000000,4500.00000000000000000000,535.00000000000000000000,5750.00000000000000000000,2299.00000000000000000000,260.00000000000000000000,22.00000000000000000000
