Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit
Beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,Fengdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,Nanchuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,Qinjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,Wulong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Binyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Chongzuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Debao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Donglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Guigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Heng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Jingxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Laibin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Lingyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Long'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Longzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Mashan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Napo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Ningming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Pingguo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Pingxiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Shanglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Tiandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Tianyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Tian'e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Tianlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Yizhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Yongning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Daozhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Fuquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Guiyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Huangping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Kaili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Kaiyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Jinsha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Longli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Qingzhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Tongzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Weng'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Wuchuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Xifeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Xiuwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Zheng'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
