Name,Province,year,estimated_reserves_consumed_per_year,cumulative_factored_up_production
Bosai Xianfeng domestic,Chongqing,2009,0.018420288150904345,0.7549999999999999
Bosai Xianfeng import,Chongqing,2009,0.0,0.0
Bosai Wanzhou,Chongqing,2009,0.0,0.0
Shuijiang,Chongqing,2009,0.0,0.0
Tuoyuan,Chongqing,2009,0.09541178635163573,0.42100000000000004
Chalco Pingguo ,Guangxi,2009,0.052016578982805116,6.0
Jinjiang Chongzuo domestic,Guangxi,2009,0.0,0.0
Jinjiang Chongzuo import,Guangxi,2009,0.0,0.0
Huayin,Guangxi,2009,0.018232861492650927,2.189
Jinjiang Tiandong,Guangxi,2009,0.0,0.0
Xinfa Jingxi,Guangxi,2009,0.026697138369091447,1.573539394
Fangcheng,Guangxi,2009,0.0,0.0
Tiangui,Guangxi,2009,0.0,0.0
Beihai_GIG,Guangxi,2009,0.0,0.0
Baise Mining,Guangxi,2009,0.0,0.0
Chalco Guizhou,Guizhou,2009,0.31405579672984224,5.3926
Chalco Zunyi,Guizhou,2009,0.0,0.0
Xian,Guizhou,2009,0.07877705263167843,0.1
Huafei,Guizhou,2009,0.012180654085167563,0.1
Qingzhen Guanglv,Guizhou,2009,0.0,0.0
Qizheng Chemical,Guizhou,2009,0.0,0.0
Qizheng Chemical Added LT,Guizhou,2009,0.0,0.0
SPIC - Wuchuan,Guizhou,2009,0.0,0.0
Kaisheng,Guizhou,2009,0.40839874329004816,0.605627
Huajin,Guizhou,2009,0.0,0.0
Chalco Zhengzhou domestic,Henan,2009,0.15237380307537132,9.142999999999999
Chalco Zhengzhou import,Henan,2009,0.0,0.0
Chalco Zhongzhou Dom. Sinter,Henan,2009,0.19915871663229032,5.19
Chalco Zhongzhou Dom. Bayer,Henan,2009,0.11332784215696105,3.6
Chalco Zhongzhou LT Amt,Henan,2009,0.0,0.0
Kaiman,Henan,2009,0.13271168030327876,4.61
Kaiman Import,Henan,2009,0.0,0.0
East Hope Mianchi,Henan,2009,0.09895614840004636,4.218
East Hope Mianchi Added LT,Henan,2009,0.0,0.0
Huiyuan Lushan,Henan,2009,0.17805956582785054,1.495931725
