refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,0.5730967677887153,0.5586439595346957,0.554236061119834,0.5510372627913677,0.5481803096774691,0.5459074061864052,0.5444627644326214,0.5421972372844105,0.5391209887754776,0.536123670417963,0.5330632196841487,0.5298832203643598,0.5250469583116839,0.5165763614472514,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672,0.5215204865541672
Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,0.6259035085965127,0.6186509088569193,0.6167537294340962,0.6154664002208241,0.6143824607244073,0.6135653462466988,0.6130674917119282,0.6123213483019003,0.6113758954540587,0.6105308450914497,0.6097464849093048,0.6090154524238095,0.6080659868702889,0.6068482381222312,0.6048509634243816,0.6034814641597566,0.602345761352705,0.6012896414639498,0.6002713874403564,0.5992965917788997,0.5983970833327115,0.5975768436371229,0.5968397204947161,0.5962472353647669,0.5958454159528783,0.5956883401833386,0.5956883401833386
Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,0.5331418847844958,0.5331418847844958,0.5331418847844958,0.5331418847844958,0.5331418847844958,0.5331418847844958,0.5280037225574132,0.5268370134321275,0.5261503988139653,0.5257212048831531,0.5252881382724417,0.5248821075975201,0.5246269251014429,0.524467743410401,0.5243038285711366,0.5241063297593451,0.5239330458471283,0.5237995287951511,0.5236772354302177,0.5235643178193461,0.52345935849541,0.5234094959847889,0.5234094959847889,0.5234094959847889,0.5234094959847889,0.5234094959847889,0.5234094959847889
Bosai Wanzhou,Guangxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Guizhou,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Henan,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Shanxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Other,Chongqing,L-B,Bosai,Other,Imported,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.551310030459652,0.5469001054609367,0.5458404137657844,0.5448468702010582,0.543927034778237,0.5431590341728807,0.5424069023072174,0.5417196534365736,0.5411319508837037
Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,0.6009736071066655,0.6009736071066655,0.6009736071066655,0.6009736071066655,0.6009736071066655,0.6009736071066655,0.5930493232944788,0.59084463029715,0.5889348913542672,0.5872469521593776,0.5864585074353726,0.5864585074353726,0.5864585074353726,0.5864585074353726,0.5864585074353726,0.5852263954984221,0.5837206302201399,0.5818797286251605,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193,0.5828695209146193
Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,0.6071471115859414,0.593326837735932,0.5894741912007696,0.5858177856819449,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315,0.5840958754161315
