refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.5323512812782567,4.750833567438522,2874.2412000000004,0.9793184500372141,0.9398950091047793,0.8936544462362758,0.8538692865352789,0.800646771731849,0.770231783412457,0.7435090643325571,0.6751974679421309,0.606662767785255,0.5365697167853924,0.46356122473493183,0.3903333058761113,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764,0.25413980805027764
Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.5797482765786945,4.87066138758991,76082.15999999999,0.9987251336708727,0.9962834623394938,0.9934143227688161,0.990942171027504,0.9876305882086482,0.9857360226801735,0.9840702530544037,0.9798071402512306,0.9755233123430769,0.9711351984375395,0.9665571779879074,0.9619576769054087,0.9533815836261239,0.9378727964561749,0.922291496555665,0.9092650251030151,0.8962033123018925,0.8831085403928969,0.8692815395443563,0.855807867937323,0.8427970268307784,0.8306079759432476,0.8193235088472204,0.811195823799341,0.8058881194822265,0.8058881194822265,0.8058881194822265
Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,10.0,0.51,25.5,,0.9999999797979797,0.9999999797979797,0.9999999797979797,0.9999999797979797,0.9999999797979797,0.9999932429504184,0.9999477551428291,0.9998565125981655,0.999765112054969,0.9996736124130599,0.9995018626127753,0.9993299361375527,0.9992244196648927,0.9991280396277501,0.9989902965685565,0.9988065470204144,0.998668674165531,0.9985307545046276,0.9983927919412202,0.9982547897381615,0.9981167506666041,0.9981167506666041,0.9981167506666041,0.9981167506666041,0.9981167506666041,0.9981167506666041,0.9981167506666041
