refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,80.0,150.0,175.0,150.0,200.0,114.0,100.0,255.0,255.0,260.0,270.0,270.0,500.0,600.0,600.0,555.4545454545454,666.6666666666667,666.6666666666667,526.6666666666667,512.0,1659.9999999999989,1065.0000000000002,684.9999999999999,371.25000000000006,200.0,0.0,0.0
Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,15.0,100.0,200.0,200.0,200.0,375.0,375.0,230.0,210.0,300.0,400.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1200.0,1200.0,2400.0,2400.0,2900.0,3600.0,3600.0,3600.0
Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,40.0,160.0,400.0,600.0,720.0,0.0,0.0,0.0,0.0,244.0,777.6363636363636,933.3333333333334,933.3333333333334,921.6666666666666,895.9999999999999,2904.9999999999977,1863.7500000000002,1198.7499999999998,618.7500000000001,500.0,499.999999999986,499.999999999986
Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,70.0,80.0,121.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,910.0,940.0,900.0,1250.0,2000.0,1700.0,2000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2421.0526315789475,2450.7042253521126,2450.7042253521126
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,500.0,500.0,400.0,400.0,300.0,300.0,363.1578947368421,367.60563380281684,367.60563380281684
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.0,0.0,65.0,514.0,1610.0,1700.0,1500.0,1500.0,1900.0,1900.0,2000.0,2200.0,2200.0,2160.0,2300.0,2200.0,2200.0,2200.0,2200.0,2000.0,2000.0,2000.0,2000.0,2000.0,2421.0526315789475,2450.7042253521126,2450.7042253521126
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,500.0,800.0,700.0,1000.0,950.0,880.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,800.0,800.0,968.421052631579,980.2816901408451,980.2816901408451
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0.0,0.0,0.0,640.0,933.539393939394,1800.0,1800.0,2040.0,2040.0,2160.0,2180.0,1800.0,2400.0,2200.0,2352.0,2500.0,2500.0,2500.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2421.0526315789475,2450.7042253521126,2450.7042253521126
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,3000.0,4000.0,4000.0,4000.0,4000.0
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,700.0,700.0,800.0,800.0,1550.0,1600.0,1600.0,1600.0,1936.842105263158,1960.5633802816901,1960.5633802816901
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,700.0
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,900.0,1000.0,1000.0
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,900.0,1050.0,1110.0,1152.6000000000001,1180.0,992.5,1020.0,1080.0,1020.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,240.0,600.0,720.0,720.0,720.0,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1256.4102564102564,1250.0,1300.0,1348.8372093023256,1079.0697674418604,1047.6190476190477,994.2857142857142,1119.9999999999998,2722.2222222222213,2449.999999999999,2728.1250000000036
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.0,0.0,0.0,0.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,250.0,650.0,674.4186046511628,674.4186046511628,785.7142857142857,994.2857142857142,0.0,0.0,0.0,0.0
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0.0,0.0,0.0,100.0,0.0,40.0,27.417218543046303,40.0,30.0,120.0,160.0,160.0,160.0,150.0,40.0,100.0,125.64102564102564,125.0,130.0,134.88372093023256,134.88372093023256,130.95238095238096,165.7142857142857,223.99999999999997,544.4444444444443,544.4444444444443,606.2500000000008
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,450.0,450.0,450.0,450.0,500.0,550.0,500.0,500.0,628.2051282051282,625.0,1040.0,1079.0697674418604,1079.0697674418604,1309.5238095238096,1657.142857142857,2239.9999999999995,5444.4444444444425,5444.4444444444425,6062.500000000008
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,50.0,200.0,450.0,750.0,500.0,600.0,1000.0,1000.0,900.0,1000.0,1256.4102564102564,1250.0,1300.0,1348.8372093023256,1213.953488372093,1178.5714285714287,1491.4285714285713,2016.0,4899.999999999998,4899.999999999998,5456.250000000007
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1005.1282051282051,1000.0,1040.0,1079.0697674418604,1079.0697674418604,1047.6190476190477,1325.7142857142856,1791.9999999999998,4355.555555555555,4355.555555555555,4850.000000000006
Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0.0,52.227000000000004,172.0,190.0,191.39999999999998,73.5,57.5761589403973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,1440.0,1600.0,1600.0,1600.0,1600.0,2010.2564102564102,2000.0,2080.0,2158.139534883721,2158.139534883721,2095.2380952380954,2651.428571428571,3583.9999999999995,8711.11111111111,8711.11111111111,9700.000000000013
Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1680.0,2300.0,2000.0,1890.0,1273.0,1650.0,1670.0,1900.0,1900.0,1900.0,1900.0,950.0,1600.0,1600.0,1200.0,1416.0714285714284,1450.0,1400.0,1262.3076923076924,1575.0000000000002,2384.6153846153848,1507.6923076923074,1253.8461538461538,800.0,800.0,800.0,800.0
Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1540.0,1000.0,1000.0,1000.0,650.0,600.0,600.0,550.0,550.0,500.0,450.0,450.0,400.0,450.0,200.0,217.85714285714286,207.1428571428572,300.0,315.5769230769231,472.50000000000006,715.3846153846154,452.3076923076922,376.15384615384613,300.0,300.0,300.0,300.0
Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.0,700.0,900.0,1000.0,1000.0,1000.0,1700.0,1700.0,1700.0,1750.0,2050.0,1920.0,1650.0,1650.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,200.0,150.0,150.0,200.0,200.0,0.0,0.0,200.0,1500.0,2100.0,2000.0,1800.0,1500.0,1400.0,1400.0,1400.0,1400.0,1300.0,1300.0,1300.0,1300.0
