Province,Inventory,Geological Endowment,Excluded,deep Bauxite,minable shallow inventory,refractory allocation,remaining_inventory_available_to_mining_for_SGA000t,mining losses,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,refractory_depletion_end_2009,SGA_depletion_end_2009_000t,geol_endowment_end_2009,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,AS_end_2009_2,SiO2_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated
Beijing,419.99999999999994,419.99999999999994,419.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongqing,145857.99999999997,164808.0,-2.9103830456733704e-11,0.0,145858.0,0.0,145858.0,43757.40000000001,102100.59999999999,0.6029578702707002,5.882555593729768,0.5806315286662479,4.697503320423941,0.12360428275628062,0.0,0.0,164808.0,102100.59999999999,0.5806315286662479,0.12360428275628062,4.697503320423941,0.0,0.0,0.0,0.0,102100.59999999999,0.5806315286662479,0.12360428275628062,4.697503320423941,102100.59999999999
Fujian,652.9999999999999,652.9999999999999,652.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangdong,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangxi,1540372.1099999999,5670295.702,101350.0,0.0,1439022.1099999999,0.0,1439022.1099999999,431706.6329999999,1007315.477,0.5256923695820818,5.881393334119812,0.511591596277172,5.785062389551159,0.08843320293333334,0.0,0.0,5670295.702,1007315.477,0.511591596277172,0.08843320293333334,5.785062389551159,0.0,0.0,0.0,0.0,1007315.477,0.511591596277172,0.08843320293333337,5.7850623895511575,1007315.477
Guizhou,1039162.8899999998,1309768.85666667,-2.3283064365386963e-10,0.0,1039162.89,96556.47939999998,942606.4106000001,377042.5642400001,565563.84636,0.6378849162237915,5.663130094097111,0.5828996044596362,5.110400164486102,0.1140614405326617,0.0,1067.1589040309154,1308701.697762639,661053.1668559691,0.5999739057276193,0.10880008700803069,5.514461635341656,96556.47939999998,0.7,9.0,0.07777777777777778,564496.687455969,0.5828645626159702,0.11410641568753246,5.108078797357714,317418.20999999996
Hainan,21906.0,21906.0,21906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebei,24886.340000000004,70416.34,7.275957614183426e-12,0.0,24886.339999999997,0.0,24886.339999999997,7465.902000000002,17420.437999999995,0.6104923054173494,4.999999999999999,0.5591090495099164,4.0,0.1397772623774791,0.0,0.0,70416.34,17420.437999999995,0.5591090495099164,0.1397772623774791,4.0,0.0,0.0,0.0,0.0,17420.437999999995,0.5591090495099162,0.13977726237747906,4.0,17420.437999999995
Henan,880961.112173913,1838008.7121739103,2256.0,0.0,878705.112173913,68552.17,810152.9421739131,243045.88265217398,567107.0595217391,0.6504717392373252,5.531939116607677,0.6160454176561868,4.555659114172917,0.13522640790651658,0.0,883.9255073388463,1837124.7866665714,634775.3040144002,0.6250814841568743,0.1290596524002744,4.843353228770553,68552.17,0.7,9.0,0.07777777777777778,566223.1340144003,0.6160111609473407,0.13526830686148658,4.5539947622626045,281952.3785217391
Hubei,44425.400000000016,44425.400000000016,0.0,0.0,44425.400000000016,0.0,44425.400000000016,13327.620000000006,31097.78000000001,0.673,5.25,0.611428496922708,4.2,0.1455782135530257,0.0,0.0,44425.400000000016,31097.78000000001,0.611428496922708,0.1455782135530257,4.2,0.0,0.0,0.0,0.0,31097.78000000001,0.611428496922708,0.1455782135530257,4.2,31097.78000000001
Hunan,4815.000000000001,4815.000000000001,0.0,0.0,4815.000000000001,0.0,4815.000000000001,1444.5000000000005,3370.5000000000005,0.6219,5.000000000000001,0.590805,4.250000000000001,0.13901294117647056,0.0,0.0,4815.000000000001,3370.5000000000005,0.590805,0.13901294117647056,4.250000000000001,0.0,0.0,0.0,0.0,3370.5000000000005,0.590805,0.13901294117647056,4.250000000000001,3370.5000000000005
Inner Mongolia,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangxi,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liaoning,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shandong,57945.99999999999,207675.99999999997,-1.4551915228366852e-11,0.0,57946.00000000001,0.0,57946.00000000001,0.0,57946.00000000001,0.5510768663928489,3.8203950230760353,0.5216171702685845,3.4276201417706647,0.15218056514253173,0.0,57946.00000000001,149729.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaanxi,41262.0,41405.0,6332.0,0.0,34930.0,0.0,34930.0,10479.000000000004,24450.999999999996,0.4970686286859433,5.000000000000001,0.472215197251646,4.249999999999999,0.1111094581768579,0.0,0.0,41405.0,24450.999999999996,0.472215197251646,0.1111094581768579,4.249999999999999,0.0,0.0,0.0,0.0,24450.999999999996,0.47221519725164607,0.1111094581768579,4.25,24450.999999999996
Shanxi,1526761.17,3628160.4700000007,17026.300000000047,24341.0,1485393.8699999999,146024.668,1339369.202,401810.76060000004,937558.4414,0.6134890117478045,5.261357212686241,0.5861522277596799,4.130493300382746,0.14190852886878305,0.0,1861.961426090797,3626298.5085739098,1081721.147973909,0.6014923239797614,0.1332601862490701,4.513668642602235,146024.668,0.7,9.0,0.07777777777777778,935696.4799739091,0.5861192291844189,0.14191876352306684,4.129962907189181,511454.81799999997
Sichuan,20220.0,135526.0,1160.0,0.0,19060.0,0.0,19060.0,5718.0,13342.0,0.5595278069254985,4.501482079056219,0.5315514165792234,3.8262597671977856,0.13892193654392485,0.0,0.0,135526.0,13342.0,0.5315514165792234,0.13892193654392485,3.8262597671977856,0.0,0.0,0.0,0.0,13342.0,0.5315514165792234,0.13892193654392487,3.826259767197785,13342.0
Xinjiang,553.2,553.2,553.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunnan,144083.4,181147.80000000002,-5494285.622,5494285.622,144083.40000000002,0.0,144083.40000000002,43225.02000000003,100858.37999999999,0.5452006278513232,6.4437997563267,0.5197211373579056,5.3172945438232135,0.09774164908010124,0.0,0.0,181147.80000000002,100858.37999999999,0.5197211373579056,0.09774164908010124,5.3172945438232135,0.0,0.0,0.0,0.0,100858.37999999999,0.5197211373579056,0.09774164908010124,5.3172945438232135,100858.37999999999
