refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Guangxi,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Guizhou,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Henan,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Shanxi,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Other,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Guizhou,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Other,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
