Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Metro BH1 Xinfa,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Weiqiao Self Supply,20.14216978,20.14216978,17.68400134,18.263134100000002,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIC,23.62306187,23.62306187,19.64177263,19.94800457,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Gove,0.0,0.0,0.0,26.55587967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam Others,30.0,30.0,26.6662338,27.30872183,21.83604328,10.0,23.67490696,23.52644951,23.44806393,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383,23.80658383
Other,31.89260607,0.0,0.0,28.34400443,30.0,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dian Dian,0.0,0.0,0.0,29.47705532,0.0,0.0,0.0,0.0,31.58008504,32.16504883,32.16504883,32.16504883,32.16504883,32.16504883,32.16504883,32.16504883,32.16504883,32.16504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,33.67632417,33.67632417,27.84349979,30.0,33.52302311,21.13839208,36.05504323,34.66499343,34.59421756,34.41847696,34.41847696,34.41847696,34.41847696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro LT,33.97448041,33.97448041,29.376793100000004,31.3141252,34.45736719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.86614515,34.86614515,34.86614515,34.86614515,34.86614515,34.86614515,34.86614515,34.86614515,34.86614515
