Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,Gove,Gove,Gove,Vietnam Others,Metro BH1 Xinfa,Metro LT,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
1,Vietnam Others,Vietnam Others,Vietnam Others,Gove,Ashapura Guinea,Metro BH1,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa
2,Other,Other,Mokanji,Dian Dian,Weiqiao Self Supply,Metro Blend,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC
3,Weipa,Huntly,GAC,Solomon Islands,Gove,Metro BH1 Xinfa,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others
4,Huntly,Alufer (Bel Air),Weipa,Huntly,Other,Weiqiao Self Supply,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT
5,Alufer (Bel Air),GAC,Solomon Islands,SPIC,Solomon Islands,Gove,Other,Other,Other,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
6,GAC,West Kalimantan,Henan-Chine,Other,West Kalimantan,Other,West Kalimantan,Metro LT,Dian Dian,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
7,West Kalimantan,Solomon Islands,Other,West Kalimantan,GAC,Weipa,Metro LT,West Kalimantan,Metro LT,Metro BH1,Metro BH1,Metro BH1,Metro BH1,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa
8,Solomon Islands,Dynamic,Juruti,Mokanji,Weipa,West Kalimantan,Huntly,Solomon Islands,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,Weipa,Weipa,Weipa,Weipa,Weipa,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
9,AMC,AMC,MRN,Alufer (Bel Air),Alufer (Bel Air),GAC,Weipa,Huntly,Solomon Islands,Weipa,Weipa,Weipa,Weipa,Huntly,Huntly,Huntly,Huntly,Huntly,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
10,,Discovery Bay,GDM,Henan-Chine,AMC,AMC,Metro BH1,Metro Blend,Huntly,Huntly,Huntly,Huntly,Huntly,GAC,GAC,GAC,GAC,GAC,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic
11,,SMB Kaboye,Amrun,Dynamic,Amrun,Juruti,Dynamic,Weipa,GAC,GAC,GAC,GAC,GAC,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
12,,,AMRUN HT,CBG,Metro LT,SMB Malapouya,CBG,Dynamic,Metro Blend,Metro Blend,Dynamic,Dynamic,Dynamic,CBG,CBG,CBG,CBG,CBG,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC
13,,,Metro LT,GDM,Metro BH1,SMB Santou-Houda,Alufer (Bel Air),Alufer (Bel Air),Weipa,Dynamic,Metro Blend,Metro Blend,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Amrun,Amrun,Amrun,Amrun,Amrun,Amrun
14,,,SMB Dabiss S,AMR,Chalco Boffa,CBG,Amrun,Juruti,Dynamic,Henan-Chine,Henan-Chine,CBG,Henan-Chine,Metro Blend,AMC,AMC,AMC,AMC,Amrun,Amrun,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT
15,,,,Amrun,Kuantan & Johor,Mokanji,AMRUN HT,Amrun,Alufer (Bel Air),Alufer (Bel Air),Amrun,Henan-Chine,Metro Blend,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
16,,,,AMRUN HT,Dabiss N,Aurum Xinfa-Fiji,AGB2A,AGB2A,Juruti,Amrun,AMRUN HT,Amrun,Amrun,AMRUN HT,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Juruti,Juruti,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A
17,,,,SMB Dabiss S,Gujarat & Maharashtra,MRN,GDM,GDM,Amrun,AMRUN HT,AGB2A,AMRUN HT,AMRUN HT,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,GDM,GDM,GDM,GDM,GDM,GDM
18,,,,Ashapura Guinea,SPIC,Gujarat & Maharashtra,SMB Santou-Houda,SMB Santou-Houda,AGB2A,AGB2A,GDM,AGB2A,AGB2A,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda
19,,,,Metro Blend,Discovery Bay,Kuantan & Johor,Aurum Xinfa-Fiji,Awaso,GDM,GDM,SMB Santou-Houda,GDM,GDM,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji
20,,,,,Aurukun,Aurukun,Gujarat & Maharashtra,Aurum Xinfa-Fiji,SMB Santou-Houda,SMB Santou-Houda,Awaso,SMB Santou-Houda,SMB Santou-Houda,Awaso,Awaso,Awaso,Awaso,Awaso,AMR,AMR,AMR,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
21,,,,,,Dom. Rep.,Rundi,Gujarat & Maharashtra,Awaso,Awaso,AMR,Awaso,Awaso,AMR,AMR,AMR,AMR,AMR,Mokanji,Mokanji,Mokanji,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N
22,,,,,,,Dabiss N,Rundi,Aurum Xinfa-Fiji,AMR,Gujarat & Maharashtra,AMR,AMR,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Kaboye,SMB Kaboye,SMB Kaboye,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica
23,,,,,,,Discovery Bay,SMB Kaboye,Gujarat & Maharashtra,Gujarat & Maharashtra,Mokanji,Gujarat & Maharashtra,Gujarat & Maharashtra,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Dabiss N,Dabiss N,Dabiss N,,,,,,
24,,,,,,,Aurukun,Dabiss N,SMB Kaboye,Mokanji,SMB Kaboye,Mokanji,Mokanji,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,Metallica,Metallica,Metallica,,,,,,
25,,,,,,,,Discovery Bay,Dabiss N,SMB Kaboye,Dabiss N,SMB Kaboye,SMB Kaboye,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,,,,,,,,,
