index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0, , , , , , ,"Chalco Boffa,[$/dmt 10.0,[2.86 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]"
1, , , , ,"Metro BH1 Xinfa,[$/dmt 10.0,[0.57 mln dmt]", ,"Metro BH1 Xinfa,[$/dmt 10.0,[0.76 mln dmt]","Metro BH1 Xinfa,[$/dmt 10.0,[0.76 mln dmt]", , , , , , , , , , , , , , , , , , , 
2,"Gove,[$/dmt 20.1,[1.89 mln dmt]","Gove,[$/dmt 20.1,[2.87 mln dmt]","Gove,[$/dmt 17.7,[3.48 mln dmt]","Vietnam Others,[$/dmt 18.3,[0.17 mln dmt]","Ashapura Guinea,[$/dmt 10.0,[0.07 mln dmt]", ,"Weiqiao Self Supply,[$/dmt 10.0,[12.03 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.03 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.58 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.58 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.68 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.72 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[13.61 mln dmt]", , , , , , , , , 
3, ,"Vietnam Others,[$/dmt 23.6,[0.01 mln dmt]","Vietnam Others,[$/dmt 19.6,[0.04 mln dmt]","Gove,[$/dmt 19.9,[4.28 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[11.0 mln dmt]","Metro Blend,[$/dmt 10.0,[0.36 mln dmt]","SPIC,[$/dmt 10.0,[2.38 mln dmt]","SPIC,[$/dmt 10.0,[2.38 mln dmt]","SPIC,[$/dmt 10.0,[2.38 mln dmt]","SPIC,[$/dmt 10.0,[2.38 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]","SPIC,[$/dmt 10.0,[2.65 mln dmt]", , , , , , , , , , , 
4, , , , ,"Vietnam Others,[$/dmt 21.5,[0.28 mln dmt]","AMRUN HT,[$/dmt 10.0,[5.89 mln dmt]","Gove,[$/dmt 22.5,[3.06 mln dmt]","Gove,[$/dmt 22.3,[3.06 mln dmt]","Gove,[$/dmt 22.2,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]"
5, ,"Other,[$/dmt 30.0,[0.06 mln dmt]", ,"Solomon Islands,[$/dmt 27.3,[0.64 mln dmt]","Gove,[$/dmt 21.8,[3.17 mln dmt]","Metro BH1 Xinfa,[$/dmt 10.0,[0.73 mln dmt]","Vietnam Others,[$/dmt 23.7,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.5,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.4,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[0.46 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]","Vietnam Others,[$/dmt 23.8,[3.0 mln dmt]"
6,"Weipa,[$/dmt 31.9,[4.2 mln dmt]","Weipa,[$/dmt 31.9,[4.67 mln dmt]","Huntly,[$/dmt 27.7,[0.01 mln dmt]","Huntly,[$/dmt 28.3,[0.15 mln dmt]","Other,[$/dmt 30.0,[0.21 mln dmt]","Weiqiao Self Supply,[$/dmt 10.0,[12.03 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.19 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]","Other,[$/dmt 30.0,[0.5 mln dmt]"
7, , , , , ,"SPIC,[$/dmt 10.0,[0.71 mln dmt]", , , ,"Dian Dian,[$/dmt 32.2,[0.82 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[1.23 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]","Dian Dian,[$/dmt 32.2,[6.0 mln dmt]"
8, , , ,"Other,[$/dmt 30.0,[0.32 mln dmt]","Solomon Islands,[$/dmt 33.5,[0.68 mln dmt]","Gove,[$/dmt 21.1,[2.83 mln dmt]","West Kalimantan,[$/dmt 36.1,[5.94 mln dmt]", , ,"Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[0.76 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]","Solomon Islands,[$/dmt 34.4,[2.8 mln dmt]"
9, , ,"Weipa,[$/dmt 29.4,[4.7 mln dmt]","West Kalimantan,[$/dmt 31.3,[0.53 mln dmt]","West Kalimantan,[$/dmt 34.5,[2.99 mln dmt]","Vietnam Others,[$/dmt 23.1,[0.09 mln dmt]","Solomon Islands,[$/dmt 36.6,[0.76 mln dmt]", , , , , , , , , , , ,"Metro LT,[$/dmt 34.9,[2.98 mln dmt]","Metro LT,[$/dmt 34.9,[3.05 mln dmt]","Metro LT,[$/dmt 34.9,[2.2 mln dmt]", , , , , , 
