Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,0.0,0.0,0.0,0.0,0.0,0.0,2.86,3.81,3.81,3.81,3.81,4.23,4.23,4.23,4.23,4.23,4.23,4.23,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Metro BH1 Xinfa,0.0,0.0,0.0,0.0,0.57,0.0,3.61,4.57,3.81,3.81,3.81,4.23,4.23,4.23,4.23,4.23,4.23,4.23,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Weiqiao Self Supply,1.89,2.87,3.48,0.17,0.65,0.0,15.65,17.59,17.39,17.39,17.49,17.95,17.95,17.95,17.95,17.95,17.95,17.84,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
SPIC,1.89,2.88,3.52,4.45,11.65,0.36,18.03,19.97,19.77,19.77,20.13,20.6,20.6,20.6,20.6,20.6,17.95,17.84,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Gove,1.89,2.88,3.52,4.45,11.92,6.25,21.09,23.03,22.83,22.83,23.19,23.66,23.66,23.66,23.66,23.66,21.01,20.9,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Vietnam Others,1.89,2.94,3.52,5.09,15.09,6.98,21.55,23.49,23.29,23.29,23.65,24.12,24.12,24.12,24.12,24.12,21.47,21.36,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Other,6.09,7.61,3.53,5.24,15.3,19.0,21.74,23.68,23.48,23.48,23.84,24.31,24.31,24.31,24.31,24.31,21.66,21.55,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
Dian Dian,6.09,7.61,3.53,5.24,15.3,19.71,21.74,23.68,23.48,24.3,25.07,25.54,25.54,25.54,25.54,25.54,22.89,22.78,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5
Solomon Islands,6.09,7.61,3.53,5.56,15.97,22.54,27.68,23.68,23.48,25.06,25.83,26.3,26.3,26.3,26.3,26.3,23.65,23.54,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3
Metro LT,6.09,7.61,8.24,6.09,18.96,22.63,28.43,23.68,23.48,25.06,25.83,26.3,26.3,26.3,26.3,26.3,23.65,23.54,40.28,40.35,39.5,37.3,37.3,37.3,37.3,37.3,37.3
Metro BH1,6.09,7.61,8.34,6.09,19.4,22.63,28.43,28.08,23.96,25.06,25.83,26.3,26.3,26.3,26.3,26.3,23.65,23.54,40.28,40.35,39.5,37.3,37.3,37.3,37.3,37.3,37.3
