Name,Name1,Name3,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,Guinea,Africa,0,0,0,0,0,0,2.85768,3.81024,3.81024,3.81024,3.81024,4.2336,4.2336,4.2336,4.2336,4.2336,4.2336,4.2336,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Alufer (Bel Air),Guinea,Africa,0,0,0,0,0.119556,1.2393,1.9190925,1.9190925,3.0410235,3.0410235,3.0410235,3.0410235,3.0410235,3.378915,3.378915,3.378915,3.378915,3.378915,9,9,9,9,9,9,9,9,9
Weipa,Australia,Australasia,4.20216012,4.66889508,4.70289564,5.3241786,7.12582191,2.31822,2.21022,2.21022,2.21022,2.38275,2.38275,2.38275,2.38275,2.38275,2.38275,2.38275,2.38275,2.38275,0,0,0,0,0,0,0,0,0
Gove,Australia,Australasia,1.8891675,2.8676025,3.4773075,4.284,3.1674825,2.8305,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
AMR,Guinea,Africa,0,0,0,1.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Gujarat & Maharashtra,India,Asia ex-China,1.875519177,2.859628934,1.655497213,0.78003,0.237988611,0.1458,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,8,8,8,8,8,8,8,8,8
West Kalimantan,Indonesia,Asia ex-China,3.48084,0,0,0.53064,2.987354304,5.5836,5.94,4.3956,0.4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan-Chine,Guinea,Africa,0,0,0,0.72675,0,0,0,0,1.9125,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,0,0,0,0,0,0,0,0,0
Kuantan & Johor,Malaysia,Asia ex-China,1.102206226,8.162987526,2.586504142,1.64025,0.187214963,0.30375,2.0952,2.0952,2.0952,2.0952,2.0952,1.3968,0.6984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurum Xinfa-Fiji,Fiji,Australasia,0.139941,0.05661253,0.019064034,0.03942,0.018992556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
