cmaaxdata1_id,day,date,nax,sax,wacif,creation_date,updation_date
1,18-07-1908,40858,2758.522,2720,-,,2020-08-18 04:04:46.387
2,27-11-1907,41092,2621.82,2560,-,,
3,27-01-1907,41396,2521.18,2420,-,,
4,28-03-1906,41701,2491.91,2330,-,,
5,24-03-1909,40609,2822.86,-,-,,2020-08-14 20:36:19.250
6,23-03-1909,40610,2826.67,-,-,,
7,21-03-1909,40612,2817,-,-,,
8,20-03-1909,40613,2811,-,-,,
9,17-03-1909,40616,2814.29,-,-,,
10,16-03-1909,40617,2812.5,-,-,,
11,15-03-1909,40618,2808,-,-,,
12,14-03-1909,40619,2812.5,-,-,,
13,13-03-1909,40620,2812.5,-,-,,
14,10-03-1909,40623,2815,-,-,,
15,09-03-1909,40624,2815,-,-,,
16,08-03-1909,40625,2820,-,-,,
17,07-03-1909,40626,2798.73,-,-,,
18,06-03-1909,40627,2795,-,-,,
19,03-03-1909,40630,2764.29,-,-,,
20,02-03-1909,40631,2758.33,-,-,,
21,01-03-1909,40632,2765,-,-,,
22,28-02-1909,40633,2765,-,-,,
23,27-02-1909,40634,2750.95,-,-,,
24,22-02-1909,40639,2728.18,-,-,,
25,21-02-1909,40640,2707.67,-,-,,
26,20-02-1909,40641,2713.64,-,-,,
27,17-02-1909,40644,2708.33,-,-,,
28,16-02-1909,40645,2702,-,-,,
29,15-02-1909,40646,2720,-,-,,
30,14-02-1909,40647,2720,-,-,,
31,13-02-1909,40648,2700.38,-,-,,
32,10-02-1909,40651,2700.38,-,-,,
33,09-02-1909,40652,2697,-,-,,
34,08-02-1909,40653,2705,-,-,,
35,07-02-1909,40654,2697.5,-,-,,
36,06-02-1909,40655,2695.76,-,-,,
37,03-02-1909,40658,2697.5,-,-,,
38,02-02-1909,40659,2697.5,-,-,,
39,01-02-1909,40660,2697.5,-,-,,
40,31-01-1909,40661,2697.5,-,-,,
41,30-01-1909,40662,2702.14,-,-,,
42,26-01-1909,40666,2673.33,-,-,,
43,25-01-1909,40667,2676.2,-,-,,
44,24-01-1909,40668,2676.2,-,-,,
45,23-01-1909,40669,2676.2,-,-,,
46,20-01-1909,40672,2643.89,-,-,,
47,19-01-1909,40673,2643.89,-,-,,
48,18-01-1909,40674,2670,-,-,,
49,17-01-1909,40675,2687.14,-,-,,
50,16-01-1909,40676,2633.67,-,-,,
51,13-01-1909,40679,2628.58,-,-,,
52,12-01-1909,40680,2620,-,-,,
53,11-01-1909,40681,2618.1,-,-,,
54,10-01-1909,40682,2643.33,-,-,,
55,09-01-1909,40683,2660,-,-,,
56,06-01-1909,40686,2656.92,-,-,,
57,05-01-1909,40687,2631.76,-,-,,
58,04-01-1909,40688,2596.92,-,-,,
59,03-01-1909,40689,2575.45,-,-,,
60,02-01-1909,40690,2582.78,-,-,,
61,30-12-1908,40693,2612,-,-,,
62,29-12-1908,40694,2615.25,-,-,,
63,28-12-1908,40695,2603.7,-,-,,
64,27-12-1908,40696,2598.75,-,-,,
65,26-12-1908,40697,2616.67,-,-,,
66,23-12-1908,40700,2616.67,-,-,,
67,22-12-1908,40701,2616.67,-,-,,
68,21-12-1908,40702,2622.94,-,-,,
69,20-12-1908,40703,2634.01,-,-,,
70,19-12-1908,40704,2638.33,-,-,,
71,16-12-1908,40707,2641.33,-,-,,
72,15-12-1908,40708,2649.33,-,-,,
73,30-03-1909,40603,2794.71,-,-,,
74,29-03-1909,40604,2804,-,-,,
75,28-03-1909,40605,2812.27,-,-,,
76,27-03-1909,40606,2812.27,-,-,,
77,22-03-1909,40611,2820,-,-,,
78,15-07-1908,40861,2774.62,2720,-,,
79,14-07-1908,40862,2765,2660,-,,
80,13-07-1908,40863,2751.39,2660,-,,
81,12-07-1908,40864,2749.35,2655,-,,
82,11-07-1908,40865,2746.32,2655,-,,
83,10-07-1908,40866,2748.57,2655,-,,
84,07-07-1908,40869,2749.17,2655,-,,
85,06-07-1908,40870,2735.56,2655,-,,
86,05-07-1908,40871,2715.25,2655,-,,
87,04-07-1908,40872,2734.81,2655,-,,
88,01-07-1908,40875,2734.81,2655,-,,
89,30-06-1908,40876,2734.81,2655,-,,
90,29-06-1908,40877,2726.88,2645,-,,
91,28-06-1908,40878,2703.53,2645,-,,
92,27-06-1908,40879,2700.56,2645,-,,
93,24-06-1908,40882,2700.06,2615,-,,
94,23-06-1908,40883,2705.4,2615,-,,
95,22-06-1908,40884,2701.07,2625,-,,
96,21-06-1908,40885,2687.04,2625,-,,
97,20-06-1908,40886,2683.71,2600,-,,
98,17-06-1908,40889,2675.26,2600,-,,
99,16-06-1908,40890,2677.32,2600,-,,
100,15-06-1908,40891,2685.69,2600,-,,2020-08-12 19:35:16.743
101,14-06-1908,40892,2660.85,2600,-,,
102,13-06-1908,40893,2653.8,2600,-,,
103,10-06-1908,40896,2656.65,2580,-,,
104,09-06-1908,40897,2656.65,2570,-,,
105,08-06-1908,40898,2659.21,2580,-,,
106,07-06-1908,40899,2651.55,2575,-,,
107,06-06-1908,40900,2634.5,2575,-,,
108,03-06-1908,40903,2622.83,2570,-,,
109,02-06-1908,40904,2622.83,2570,-,,
110,01-06-1908,40905,2609.16,2570,-,,
111,31-05-1908,40906,2634.25,2570,-,,
112,30-05-1908,40907,2634.25,2570,-,,
113,25-05-1908,40912,2628.91,2550,-,,
114,24-05-1908,40913,2631.74,2540,-,,
115,23-05-1908,40914,2614.75,2540,-,,
116,20-05-1908,40917,2608.52,2530,-,,
117,19-05-1908,40918,2608.8,2530,-,,
118,18-05-1908,40919,2612.14,2530,-,,
119,17-05-1908,40920,2612.14,2530,-,,
120,16-05-1908,40921,2612.75,2530,-,,
121,13-05-1908,40924,2624.55,2530,-,,
122,12-05-1908,40925,2624.55,2530,-,,
123,11-05-1908,40926,2620.56,2530,-,,
124,10-05-1908,40927,2620.56,2530,-,,
125,09-05-1908,40928,2620.56,2530,-,,
126,29-04-1908,40938,2628.86,2540,-,,
127,28-04-1908,40939,2629.71,2550,-,,
128,26-04-1908,40941,2629.71,2550,-,,
129,25-04-1908,40942,2627.97,2550,-,,
130,14-12-1908,40709,2650.45,-,-,,
131,13-12-1908,40710,2668.18,-,-,,
132,12-12-1908,40711,2656.15,-,-,,
133,09-12-1908,40714,2658.33,-,-,,
134,08-12-1908,40715,2669.09,-,-,,
135,07-12-1908,40716,2687.5,-,-,,
