Importer.Exporter Combination,Exporter,Importer,2018_10,2018_11,2018_12,2019_1,2019_10,2019_11,2019_12,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9
Algeria_India,India,Algeria,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria_Spain,Spain,Algeria,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina_Brazil,Brazil,Argentina,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina_India,India,Argentina,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina_Spain,Spain,Argentina,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_Brazil,Brazil,Australia,0.0,1.4406e-05,2.1142000000000002e-05,7.2249999999999994e-06,0,0,5.5989166666666674e-06,0,0,0,0,2.4414e-05,0,0,0
Australia_Canada,Canada,Australia,0.0,0.0,0.0,0,5.6999e-05,0,0.0,0,0,0,0,0,0,0,0
Australia_China,China,Australia,0.00047625,0.0007097,0.00017023,0.000934,0.000189862,0.000303418,0.00047022308333333337,0.00012127000000000001,0.0007119100000000001,0.000238256,0.000927047,0.000348946,0.000344175,0.00041025,0.000250643
Australia_Denmark,Denmark,Australia,0.0,0.0,0.0,1.25e-06,0,0,1.0416666666666668e-07,0,0,0,0,0,0,0,0
Australia_Germany,Germany,Australia,4.08e-05,4.092e-05,0.0,0,5.505e-05,0,1.3752083333333332e-05,2.2245e-05,0,2.054e-05,4.052e-05,0,0,0,0
Australia_Guyana,Guyana,Australia,6.945e-05,0.0,0.0,6.39e-05,0,0.00015276500000000002,2.561375e-05,6.4675e-05,0,0,0,0,0,0.00010934000000000001,0
Australia_India,India,Australia,0.0,0.0,2e-05,0,0,0,1.6666666666666669e-06,0,0,0,0,0,0,0,0
Australia_Malaysia,Malaysia,Australia,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Australia_Netherlands,Netherlands,Australia,0.0,0.0,0.0,0,0,0,8.333333333333333e-08,0,0,1e-06,0,0,0,0,0
Australia_Spain,Spain,Australia,0.0,0.0,0.0,0,0,0,1.125e-07,0,0,0,0,0,0,1.35e-06,0
Australia_Suriname,Suriname,Australia,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Australia_United Arab Emirates,United Arab Emirates,Australia,0.0,0.0,0.0,0,7e-07,0,0.0,0,0,0,0,0,0,0,0
Australia_United States,United States,Australia,0.0,1.595e-06,0.0,0,9.98e-07,0,1.3031666666666669e-06,0,0,0,0,3.843e-06,1.02e-05,0,0
Austria_Germany,Germany,Austria,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Austria_Turkey,Turkey,Austria,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan_Russia,Russia,Azerbaijan,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh_China,China,Bangladesh,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh_India,India,Bangladesh,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus_Russia,Russia,Belarus,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Brazil,Brazil,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_France,France,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Germany,Germany,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Greece,Greece,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_India,India,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_United States,United States,Belgium,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Benin_Turkey,Turkey,Benin,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia_Brazil,Brazil,Bolivia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia & Herzegovina_Montenegro,Montenegro,Bosnia & Herzegovina,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil_Canada,Canada,Brazil,0.0,0.0,9.999999999999999e-10,0,0,0,0,0,3e-09,0,0,0,0,0,0
Brazil_China,China,Brazil,0.00023999999999999998,0.00029499999999999996,0.000489,0.000116,0.000166,0.000200105,5e-05,0.000304,0.000248,7.199999999999999e-05,0,0,0,2.5e-05,9.975e-05
Brazil_Germany,Germany,Brazil,0.0,0.0,1.4999999999999999e-05,0,0,0,0,0,2.2499999999999998e-05,0,2.2499999999999998e-05,2.2499999999999998e-05,0,0,0
Brazil_Ghana,Ghana,Brazil,0.0,0.0,0.0,0,0.05,0,0.05095,0,0,0.05015,0.050475,0.047654,0.04918,0,0
Brazil_Guyana,Guyana,Brazil,0.0,0.0,0.0,0,0.000203201,0,0.000197876,0,0,0,0,0,0,0,0.00019690299999999998
Brazil_Hong Kong,Hong Kong,Brazil,0.000193,0.0,3e-06,0,0.00028799999999999995,9.6e-05,0,0,0,0,0,7.199999999999999e-05,0,7.199999999999999e-05,0
Brazil_India,India,Brazil,0.0,0.0,0.0,0,5e-05,0,0,0,0,0,2.5e-05,0,0,5e-05,0
Brazil_Japan,Japan,Brazil,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil_Singapore,Singapore,Brazil,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0001425,0
Brazil_Spain,Spain,Brazil,0.0,0.0,0.0,0,0,4.118e-05,0,0,0.00018496000000000002,0.00016112,1.5640000000000003e-05,6.947e-05,0,0,6.936e-05
Brazil_Turkey,Turkey,Brazil,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil_United States,United States,Brazil,1.9999999999999997e-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_India,India,Bulgaria,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Canada_Brazil,Brazil,Canada,0.222142,0.201151,0.208139,0.160956,0.284823,0.215131,0.106821,0.21581,0.163545,0.27324,0.165326,0.111181,0.168186,0.277473,0.217915
Canada_Chile,Chile,Canada,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Canada_China,China,Canada,0.001525,0.000144,0.000119,0.000375,0.000435,8.7e-05,6.8e-05,0.000555,0.000153,0.00018,0.000218,0.00012,0.020138,0.00931,1.9e-05
Canada_France,France,Canada,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Canada_Ghana,Ghana,Canada,0.0,0.0,0.0,0,0,0.05638,0,0,0,0.05261,0.0585,0,0,0.05631,0
Canada_Guinea,Guinea,Canada,0.12789,0.0,0.12113,0.062283,0.064719,0.053283,0.065162,0.122486,0.062463,0.128456,0.055216,0.061277,0.129642,0.125293,0.064821
Canada_Guyana,Guyana,Canada,0.0,0.0,0.0,0,0.000289,0.000291,0.000332,0,0,0,0.007216,0,0,0,0
Canada_Italy,Italy,Canada,0.0,0.0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0
Canada_Mexico,Mexico,Canada,0.0,0.0,0.0,0,0,0,0,0,0,2e-06,0,0,0,0,0
Canada_Netherlands,Netherlands,Canada,0.0,3.8e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Canada_Sierra Leone,Sierra Leone,Canada,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Canada_Singapore,Singapore,Canada,0.0,0.0,0.0,0,0,5.7e-05,0,0.02,0,0,0,0,0,0,0
Canada_South Africa,South Africa,Canada,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
