Date,Shanxi,Henan,Guizhou,Guangxi
2006,,,,
2008,,11.5,,
2009,5.4,5.5,,10
2009,8.5,7,,15
2009,6.5,,,12
2009,9.5,,,
2009,7.5,,,
2010,7.5,5.3,10.5,8
2010,7,6.5,10.5,
2010,5.25,10.5,,
2010,8,10.5,,
2010,7.5,,,
2010,7.5,,,
2010,7,,,
2010,8,,,
2010,8,,,
2011,,7.5,7.5,
2011,,5.6,5.5,
2012,7.5,,,
2012,6.5,,,
2013,4.5,4.75,6.5,
2013,5.5,4.55,7,
2013,4.5,6.5,6.5,
2013,4.2,7,,
2013,5.5,6.5,,
2013,5.5,,,
2013,5.5,,,
2013,5.5,,,
2013,7,,,
2013,5.5,,,9
2014,4.5,,5.5,
2014,6,,,
2014,7.25,,,
2015,5.5,4.5,,7.5
2015,6,5.3,,9.81
2015,,5.75,,
2015,,4.5,,
2015,,,5.5,
2015,,,4.25,
2015,,,6,
2016,,5,,7.1
2016,,5,,10
2017,5,5.2,4.5,8.5
2017,5,5.5,5,9
2017,5,,6,10
2017,5.25,,6,5.5
2017,,,,
2017,,,,
2017,,,,
