Unloading rate Handysize,Unloading rate Supramax,Unloading rate Panamax,Unloading rate NeoPanamax,Unloading rate Suezmax,Unloading rate Capesize,Unloading rate VLOC,Currency,RMB Fixed fee,RMB per day berthed,RMB per day anchored,RMB/T_Cargo (wet),RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,42500.0,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,USD,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
