Vessel dwt,Vessel Class for timecharter & fuel burn rates,"Vessel Class for distance, canals, loading and unloading rates, fuel prices",Estimated LOA (length over all) (m),Estimated NRT (net register tons),Estimated GRT (gross register tons)
165000.0,Capesize,Capesize,289.93499999999995,66561.0,90415.5
57000.0,Supramax,Supramax,195.65099999999998,22993.8,34374.3
76000.0,Panamax,Panamax,212.238,30658.399999999998,44233.4
95000.0,Panamax,Panamax,228.825,38323.0,54092.5
180000.0,Capesize,Capesize,303.03,72612.0,98199.0
57000.0,Supramax,Supramax,195.65099999999998,22993.8,34374.3
66000.0,Panamax,Panamax,203.50799999999998,26624.399999999998,39044.4
47500.0,Supramax,Supramax,187.3575,19161.5,29444.75
84000.0,Panamax,Panamax,219.22199999999998,33885.6,48384.600000000006
63500.0,Panamax,Panamax,201.32549999999998,25615.899999999998,37747.15
180000.0,Capesize,Capesize,303.03,72612.0,98199.0
72000.0,Panamax,Panamax,208.74599999999998,29044.8,42157.8
60000.0,Panamax,Panamax,198.26999999999998,24204.0,35931.0
54390.054390054385,Supramax,Supramax,193.37251748251748,21940.94794094794,33019.99922299922
