,province,creation_date,updation_date,taxtrance_id,Royalty,Other,total,To refinery,In Mine
0,Guangxi,,2020-08-13 10:46:45.210,1,25.0,25.0,0.0,0.61,0.1
1,Hunan,,,10,25.0,30.0,0.0,0.7,0.0
2,Guizhou,,,3,25.0,30.0,0.0,0.5,0.0
3,Hubei,,,9,25.0,30.0,0.0,0.7,0.0
4,Shandong,,,12,25.0,30.0,0.0,0.7,0.0
5,Shaanxi,,,13,25.0,30.0,0.0,0.7,0.0
6,Inner Mongolia,,,11,25.0,30.0,0.0,0.7,0.0
7,Hainan,,,7,25.0,30.0,0.0,0.7,0.0
8,Hebei,,,8,25.0,30.0,0.0,0.7,0.0
9,Sichuan,,,14,25.0,30.0,0.0,0.7,0.0
10,Henan,,,5,25.0,27.25,0.0,0.75,0.0
11,Shanxi,,,4,25.0,21.0,0.0,0.7,0.0
12,Yunnan,,,2,25.0,28.0,0.0,0.8,0.0
13,Chongqing,,,6,25.0,30.0,0.0,0.7,0.0
