province_id,expence_id,year_id,lookup
province_6,expence_1,Y_3,0.45925
province_6,expence_1,Y_4,0.45925
province_6,expence_1,Y_5,0.481175
province_6,expence_1,Y_6,0.49871
province_6,expence_1,Y_7,0.536367039
province_6,expence_1,Y_8,0.562198177
province_6,expence_1,Y_9,0.564241146
province_6,expence_1,Y_10,0.564241146
province_6,expence_1,Y_11,0.564241146
province_6,expence_1,Y_14,0.527915625
province_6,expence_2,Y_3,5058.333333
province_6,expence_2,Y_4,5979.345878
province_6,expence_2,Y_5,6290.519713
province_6,expence_2,Y_6,7262.897849
province_6,expence_2,Y_7,8260.826613
province_6,expence_2,Y_8,8523.954765
province_6,expence_2,Y_9,8414.044355
province_6,expence_2,Y_10,8070.417627
province_6,expence_2,Y_11,6509.191213
province_6,expence_2,Y_14,8192.827381
province_6,expence_3,Y_3,30703
province_6,expence_3,Y_4,37249
province_6,expence_3,Y_5,42784
province_6,expence_3,Y_6,49514
province_6,expence_3,Y_7,57900
province_6,expence_3,Y_8,62091
province_6,expence_3,Y_9,61544
province_6,expence_3,Y_10,59363
province_6,expence_3,Y_11,62331.15
province_6,expence_3,Y_14,60268
province_6,expence_4,Y_11,4.646017699
province_6,expence_4,Y_14,4.5
province_2,expence_1,Y_3,0.34206
province_2,expence_1,Y_4,0.34206
province_2,expence_1,Y_5,0.396635
province_2,expence_1,Y_6,0.44394
province_2,expence_1,Y_7,0.443142857
province_2,expence_1,Y_8,0.453
province_2,expence_1,Y_9,0.453
province_2,expence_1,Y_10,0.453
province_2,expence_1,Y_11,0.453
province_2,expence_1,Y_14,0.453
province_2,expence_2,Y_3,5073.333333
province_2,expence_2,Y_4,5994.345878
province_2,expence_2,Y_5,6305.519713
province_2,expence_2,Y_6,7277.897849
province_2,expence_2,Y_7,8275.826613
province_2,expence_2,Y_8,8538.954765
province_2,expence_2,Y_9,8430.458333
province_2,expence_2,Y_10,8085.417627
province_2,expence_2,Y_11,6524.191213
province_2,expence_2,Y_14,8207.827381
province_2,expence_3,Y_3,27317
province_2,expence_3,Y_4,32123
province_2,expence_3,Y_5,37156
province_2,expence_3,Y_6,42248
province_2,expence_3,Y_7,51159
province_2,expence_3,Y_8,59315
province_2,expence_3,Y_9,69278
province_2,expence_3,Y_10,68787
province_2,expence_3,Y_11,72226.35
province_2,expence_3,Y_14,85135
province_2,expence_4,Y_11,3.938053097
province_2,expence_4,Y_14,4.45
province_233,expence_4,Y_11,4.159292035
province_233,expence_4,Y_14,3.55
province_230,expence_1,Y_3,0.49032
province_230,expence_1,Y_4,0.49032
province_230,expence_1,Y_5,0.51622
province_230,expence_1,Y_6,0.53648
province_230,expence_1,Y_7,0.555542857
province_230,expence_1,Y_8,0.5864
province_230,expence_1,Y_9,0.5864
province_230,expence_1,Y_10,0.5864
province_230,expence_1,Y_11,0.5864
province_230,expence_1,Y_14,0.5864
province_230,expence_2,Y_3,5103.333333
province_230,expence_2,Y_4,6024.345878
province_230,expence_2,Y_5,6335.519713
province_230,expence_2,Y_6,7307.897849
province_230,expence_2,Y_7,8305.826613
province_230,expence_2,Y_8,8580.782722
province_230,expence_2,Y_9,8463.490591
province_230,expence_2,Y_10,8135.417627
province_230,expence_2,Y_11,6574.191213
province_230,expence_2,Y_14,8257.827381
province_230,expence_3,Y_3,20637
province_230,expence_3,Y_4,23797
province_230,expence_3,Y_5,26014
province_230,expence_3,Y_6,29328
province_230,expence_3,Y_7,33539
province_230,expence_3,Y_8,36341
province_230,expence_3,Y_9,38110
province_230,expence_3,Y_10,43793
province_230,expence_3,Y_11,45982.65
province_230,expence_3,Y_14,48460
province_230,expence_4,Y_11,2.654867257
province_230,expence_4,Y_14,3
province_227,expence_4,Y_11,2.805309735
province_227,expence_4,Y_14,2.25
province_5,expence_3,Y_3,31168
province_5,expence_3,Y_4,37649
province_5,expence_3,Y_5,41029
province_5,expence_3,Y_6,46887
province_5,expence_3,Y_7,52619
province_5,expence_3,Y_8,55425
province_5,expence_3,Y_9,51158
province_5,expence_3,Y_10,51239
province_5,expence_3,Y_11,53800.95
province_5,expence_3,Y_14,56661
province_5,expence_4,Y_3,3.05
province_5,expence_4,Y_4,3.05
province_5,expence_4,Y_5,3.05
province_5,expence_4,Y_6,3.05
province_5,expence_4,Y_7,3.05
province_5,expence_4,Y_8,3.05
province_5,expence_4,Y_9,3.05
province_5,expence_4,Y_10,3.05
province_5,expence_4,Y_11,3.05
province_5,expence_4,Y_14,4.55
province_10,expence_1,Y_3,0.51055
province_10,expence_1,Y_4,0.51055
province_10,expence_1,Y_5,0.5262
province_10,expence_1,Y_6,0.55833
province_10,expence_1,Y_7,0.597202571
province_10,expence_1,Y_8,0.638147
