Mine_id,Mine
Mine_1,Xiaoguan Bx Mine
Mine_2,Chenlou Bx Mine
Mine_3,Yangtai Bx Mine
Mine_4,Jiaocun Bx Mine
Mine_5,Zhangyaoyuan Bx Mine
Mine_6,Caoyao Bx Mine
Mine_7,Leigou Bx Mine
Mine_8,Zhijian Bx Mine
Mine_9,Weijiatan Bx Mine
Mine_10,Hejiagetai Bx Mine
Mine_11,Ducun Bx Mine
Mine_12,Chaichang Bx Mine
Mine_13,Xiangwang Bx Mine
Mine_14,Ke'e Bx Mine
Mine_15,CPI Wutai Tianhe Bx Mine
Mine_16,Houwucheng Bx Mine
Mine_17,Chaclo Niucaogou Bx Mine
Mine_18,Gu County Jindui Bauxite Mine
Mine_19,Qianmuping Bx Mine
Mine_20,Caoping Bx Mine
Mine_21,Caochuan Bx Mine
Mine_22,Dongling Bx Mine
Mine_23,Lutong East and Sanhe East Bx Mine
Mine_24,Jiaomei Bx Mine
Mine_25,Nadou Bx Mine
Mine_26,Maijiuping Bx Mine
Mine_27,Hongsheke Bx Mine
Mine_28,Banmao Bx Mine
Mine_29,Maiba Bx Mine
Mine_30,Maochang Bx Mine
Mine_31,Wachangping Bx Mine
Mine_32,Dazhuyuan Bx Mine
Mine_33,Shilaogong Bx Mine
Mine_34,Chenqian 213 Bx Mine
Mine_35,Xianrenyan Bx Mine
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_38,Fusui-Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_37,Other
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_37,Other
Mine_36,County Total
Mine_37,Other
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_38,Fenxi County-Total
Mine_36,County Total
Mine_37,Other
Mine_41,Hequ County-Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_39,Jingle county-Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_37,Other
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_37,Other
Mine_36,County Total
Mine_36,County Total
Mine_40,Guangyuan-Total
Mine_37,Other
