,initialisation,bar,x,area 1,area 2,area 3,area 4,area 5,area 6,area 7,area 8,area 9,area 10
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,bar 1 start,1,0,0,0,0,0,0,0,0,0,0,0
2,bar 1 an,1,0,22.23696303,0.0,0,0,0,0,0,0,0,0
3,bar 1 naming,1,3.1057989366005914,22.23696303,0.0,0,0,0,0,0,0,0,0
4,bar 1 bn,1,6.211597873201183,22.23696303,0.0,0,0,0,0,0,0,0,0
5,bar 1 end,1,6.211597873201183,0,0,0,0,0,0,0,0,0,0
6,bar 2 start,2,6.211597873201183,0,0,0,0,0,0,0,0,0,0
7,bar 2 an,2,6.211597873201183,23.25931928,0.0,0,0,0,0,0,0,0,0
8,bar 2 naming,2,32.921468727966264,23.25931928,0.0,0,0,0,0,0,0,0,0
9,bar 2 bn,2,59.63133958273135,23.25931928,0.0,0,0,0,0,0,0,0,0
10,bar 2 end,2,59.63133958273135,0,0,0,0,0,0,0,0,0,0
11,bar 3 start,3,59.63133958273135,0,0,0,0,0,0,0,0,0,0
12,bar 3 an,3,59.63133958273135,32.93129375,0.0,0,0,0,0,0,0,0,0
13,bar 3 naming,3,68.327576605213,32.93129375,0.0,0,0,0,0,0,0,0,0
14,bar 3 bn,3,77.02381362769465,32.93129375,0.0,0,0,0,0,0,0,0,0
15,bar 3 end,3,77.02381362769465,0,0,0,0,0,0,0,0,0,0
16,bar 4 start,4,77.02381362769465,0,0,0,0,0,0,0,0,0,0
17,bar 4 an,4,77.02381362769465,34.06173177,0.0,0,0,0,0,0,0,0,0
18,bar 4 naming,4,90.06816916141713,34.06173177,0.0,0,0,0,0,0,0,0,0
19,bar 4 bn,4,103.11252469513961,34.06173177,0.0,0,0,0,0,0,0,0,0
20,bar 4 end,4,103.11252469513961,0,0,0,0,0,0,0,0,0,0
21,bar 5 start,5,103.11252469513961,0,0,0,0,0,0,0,0,0,0
22,bar 5 an,5,103.11252469513961,34.36529686,0.0,0,0,0,0,0,0,0,0
23,bar 5 naming,5,112.42992150494138,34.36529686,0.0,0,0,0,0,0,0,0,0
