Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,% Bauxite Allocation Self Supply,Bauxite Origin Province Category,Bauxite Origin County,"Economic Inventory at CBIX = US$55/dmt, (kt)",,,,,,,,,,,,
,,,,,,,,,,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Chongqing,Nanchuan,28556.71392,27405.99465,26251.58324,25123.10333,24059.64168,23240.25412,21653.26895,20636.76673,19780.06901,19085.56333,18563.46329,18214.88444,18214.88444
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Chongqing,Wulong,5346.932912,5131.473292,4915.322358,4704.026816,4504.905231,4351.483857,4054.33821,3864.009266,3703.601972,3573.563366,3475.805833,3410.538249,3410.538249
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Guizhou,Zunyi,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688,646.6748688
3,Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Chongqing,Nanchuan,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896,2180.828896
4,Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,1,Chongqing,Wulong,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Guangxi,Longzhou,7024.786991,6822.041786,6618.714484,6414.821857,6210.377404,6005.391858,5799.873569,5593.828778,5387.26183,5180.175313,4922.588888,4712.495731,4501.445649
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.95,Guangxi,Pingguo,194186.4289,188581.9362,182961.3526,177325.1417,171673.6766,166007.2541,160326.105,154630.4017,148920.2645,143195.7647,136075.2943,130267.6819,124433.6172
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Guangxi,Tiandong,1249.658064,1213.59118,1177.420745,1141.149742,1104.780574,1068.31515,1031.754954,995.1010975,958.354353,921.5151809,875.6924459,838.3184147,800.7741535
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Chongzuo,19171.4013,19171.4013,19171.4013,19171.4013,18777.74171,18054.33556,17318.91242,16724.63058,16125.95356,15674.3729,15138.20697,14592.45522,14043.3488
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Longzhou,13750.61674,13750.61674,13750.61674,13750.61674,13468.26585,12949.40546,12421.92593,11995.67948,11566.2806,11242.38604,10857.82301,10466.38458,10072.54003
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Napo,7225.842138,7225.842138,7225.842138,7225.842138,7077.468942,6804.811844,6527.625455,6303.636258,6077.990487,5907.786417,5705.701534,5500.003685,5293.041437
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Guangxi,Debao,106488.9325,103627.4355,100876.7956,98113.36413,95337.50655,92549.51288,90004.63411,87450.04728,84885.85542,82312.13228,79196.01034,76021.25512,72827.64146
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Guangxi,Jingxi,105038.9693,102216.4347,99503.24773,96777.44343,94039.38218,91289.3501,88779.12264,86259.31929,83730.04171,81191.36262,78117.67009,74986.14263,71836.01351
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Guangxi,Tiandong,1339.380294,1303.389392,1268.792812,1234.035344,1199.121585,1164.055182,1132.046593,1099.9159,1067.664397,1035.293014,996.0995297,956.1685765,916.0004285
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Guangxi,Tianyang,17410.19479,16942.36006,16492.6497,16040.84801,15587.01473,15131.19729,14715.12743,14297.47037,13878.24296,13457.45724,12947.99313,12428.94288,11906.80941
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Chongzuo,1886.248352,1835.736874,1777.826336,1719.396695,1660.465604,1601.045322,1541.14397,1480.766399,1419.914745,1370.891699,1311.229069,1250.29324,1188.837625
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Napo,19195.40364,18681.37365,18092.04714,17497.43799,16897.72582,16293.03541,15683.44939,15069.01712,14449.76035,13950.8774,13343.72073,12723.60735,12098.20438
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Tiandong,6738.810755,6558.353452,6351.462266,6142.716534,5932.179322,5719.894427,5505.89086,5290.185952,5072.787336,4897.647605,4684.496896,4466.797558,4247.241231
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Guangxi,Tianyang,56311.54709,54803.59112,53074.74561,51330.40294,49571.09012,47797.17314,46008.89441,44206.39876,42389.74997,40926.22924,39145.07725,37325.91554,35491.23626
9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,1,Guangxi,Jingxi,80899.02892,74974.29805,69101.61643,62626.79296,56052.33835,50716.95027,45310.19204,39827.33899,34262.30412,28607.12889,21760.21779,14684.88485,7412.99983
9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0,Guangxi,Napo,4570.842708,4236.09193,3904.281965,3538.450631,3166.99008,2865.537516,2560.052496,2250.268074,1935.840331,1616.319605,1229.465102,829.7046299,418.8388498
11,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0,Guangxi,Jingxi,28419.89972,28419.89972,27296.67964,26089.64943,24360.88785,22340.21925,20276.30729,16160.94686,11747.08026,7139.613862,7139.613862,7139.613862,7139.613862
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Guizhou,Guiyang,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Guizhou,Qingzhen,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.5,Guizhou,Xiuwen,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0,Guizhou,Zhijin,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893
