Bx Origin Cty / Mine,Bx origin Prov,Country,Destination,Refiney Prov,Bx Prov category,Self Supply,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Baofeng,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.5,105.8069862,79.85234578,87.02249069,94.34395704,94.99199707,81.9630306,68.80661929,69.56021997,70.38064078,71.02619907,57.24092372,57.59442339,57.97672156
Baofeng,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.5,17.85968508,7.985883842,8.017664535,8.050669303,12.13656392,12.21256102,12.3142724,12.47884158,12.65868626,12.80027659,12.92679693,13.0494991,13.18475128
Baofeng,Henan,China,Zhongmei,Henan,Henan,0,36.98154255,44.68873844,29.98782537,30.14855127,0,0,0,0,0,0,0,0,0
Baofeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,32.63098373,8.129079028,3.537770493,0,5.723203918,53.05321214,97.44129195,36.14114848,18.29545292,0,0,0,0
Baofeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,4.982987537,0.735626217,0.295517635,0,0.665885476,7.20143086,15.87199037,5.886949457,2.980104706,0,0,0,0
Baofeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,10.20545733,4.06783785,1.089428111,0,0,0,0,0,0,0,0,0,0
Chongzuo,Guangxi,China,Jinjiang Chongzuo domestic,Guangxi,Guangxi,1,0,0,0,0,393.6595931,723.4061522,735.4231363,594.2818424,598.677021,451.5806538,453.6214762,455.7442964,457.9626523
Chongzuo,Guangxi,China,Jinjiang Tiandong,Guangxi,Guangxi,1,54.0265435,50.51147783,57.91053834,58.42964104,58.93109094,59.42028157,59.90135206,60.37757138,60.85165413,49.02304603,49.32781263,49.66662142,50.04413785
Chongzuo,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,82.5444569,90.00745568,91.14376841
Chongzuo,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,10.33481724,11.2692074,11.41147721
Daozhen,Guizhou,China,SPIC - Wuchuan,Guizhou,Guizhou,1,0,0,921.4427351,1138.4611,1152.640687,1162.496312,1170.690306,1177.788216,1183.906119,1189.689345,1195.66395,1201.963471,1207.577615
Daozhen,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,0,0,283.7893169,322.1064081,391.2803108,461.3159912,467.6813495,379.0158286,632.939335,853.3800748,1089.83965,548.6335908,0
Debao,Guangxi,China,Huayin,Guangxi,Guangxi,1,2673.5443,2861.497015,2750.639919,2763.431437,2775.857581,2787.993666,2544.87877,2554.586834,2564.191861,2573.723139,2583.206614,2593.658023,2605.180306
Debao,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,532.9153276,581.0971993,588.4333488
Dengfeng,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.3,366.2942281,276.4416076,301.2640016,326.6102567,328.8537127,283.7486078,238.2023003,240.8111978,243.6514205,245.886285,198.162907,199.386691,200.7101727
Dengfeng,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.3,66.24494613,29.62115192,29.73903251,29.86145343,45.01680848,45.29869609,45.67596281,46.28638099,46.95345889,47.47864419,47.94793202,48.40305755,48.90473346
Dengfeng,Henan,China,Jingxin,Henan,Henan,0,102.4063286,115.5481569,0,0,0,0,0,0,0,0,0,0,0
Dengfeng,Henan,China,Zhongmei,Henan,Henan,0.7,460.5044158,556.4765548,373.4167114,375.4181149,0,0,0,0,0,0,0,0,0
Dengfeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,112.9655179,28.14213725,12.24744186,0,19.81321496,183.6654278,337.3329503,125.1173912,63.3372053,0,0,0,0
Dengfeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,18.48284219,2.728576616,1.096130738,0,2.469895034,26.7114676,58.87221093,21.83580774,11.05377137,0,0,0,0
Dengfeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,25.80096464,9.522332666,0,0,0,0,0,0,0,0,0,0,0
Dengfeng,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,127.0811828,50.65384415,13.56586073,0,0,0,0,0,0,0,0,0,0
Fenyang,Shanxi,China,Xinfa - Jiaokou,Shanxi,Shanxi,0,184.1128504,76.21437807,85.164535,164.6891617,0,0,0,0,0,0,0,0,0
Fenyang,Shanxi,China,Xinfa - Xiaoyi,Shanxi,Shanxi,0,256.3566432,407.6971677,0,0,0,0,0,0,0,0,0,0,0
Fenyang,Shanxi,China,Xingan Chemical,Shanxi,Shanxi,0,420.4269391,0,0,0,0,0,0,0,0,0,0,0,0
Fenyang,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,13.40929528,31.70036196,104.4505105,0,0,0,0,0,0,0,0,0
Fenyang,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,64.09014412,0,0,0,0,0,0,0,0,0,0,0
Fuquan,Guizhou,China,Qizheng Chemical,Guizhou,Guizhou,0.2,153.7180865,139.9009619,157.101821,159.0461928,161.2658393,163.698185,166.5974686,153.1383717,0,0,0,0,0
Fuquan,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,3.048840876,0,39.58685625,39.31537201,47.75853753,56.30688914,57.08382627,41.63541343,0,0,0,0,0
Gongyi,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.85,629.2585114,474.9002883,517.5427911,561.0852374,564.9392807,487.4530169,409.2088093,413.690646,418.5698775,422.4091613,340.4249544,342.5272983,344.8009136
Gongyi,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.85,448.0332367,200.3361969,201.1334565,201.9614237,304.4613603,306.3678456,308.9194067,313.0478369,317.5594727,321.1114489,324.2853747,327.3635169,330.7564924
Gongyi,Henan,China,Jingxin,Henan,Henan,0.75,133.131899,150.216747,0,0,0,0,0,0,0,0,0,0,0
Gongyi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,194.0639743,48.34550489,21.03993578,0,34.0372116,315.5196693,579.5058013,214.9397324,108.8072715,0,0,0,0
Gongyi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,125.0046697,18.4541325,7.413441039,0,16.70459606,180.657182,398.1693511,147.6817205,74.75977046,0,0,0,0
Gongyi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,33.54217914,12.3793739,0,0,0,0,0,0,0,0,0,0,0
Gu,Shanxi,China,Chalco Shanxi,Shanxi,Shanxi,1,193.6245266,128.5077466,80.42391279,81.91839023,0,0,0,0,0,0,0,0,0
Gu,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,24.5975634,32.82997047,58.95400859,0,0,0,0,0,0,0,0,0
Guiyang,Guizhou,China,Huajin,Guizhou,Guizhou,1,195.9892922,198.3704981,200.5525753,202.8850646,205.4178602,208.0195036,210.8446833,213.9831933,217.5002815,222.0947322,0,0,0
Guiyang,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,3.786429298,0,49.16387519,48.82671234,59.31248401,69.92888883,70.89378586,57.45336439,95.94452661,129.3601816,0,0,0
Heshun,Shanxi,China,Xinfa - Jiaokou,Shanxi,Shanxi,0,13.80035949,5.712723546,6.383591348,12.34443783,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,Xinfa - Xiaoyi,Shanxi,Shanxi,0,19.21546392,30.55934154,0,0,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,Xingan Chemical,Shanxi,Shanxi,0,15.75675703,0,0,0,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,Yangquan Zhaofeng,Shanxi,Shanxi,0.5,63.35828076,32.7346064,42.13467974,56.69255298,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,1.005106895,2.376131759,7.829190583,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,4.803939685,0,0,0,0,0,0,0,0,0,0,0
Heshun,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,5.062120381,13.7237959,31.54474845,0,0,0,0,0,0,0,0,0
Huairen,Shanxi,China,SPIC Shanxi,Shanxi,Shanxi,0.9,35.57091773,23.45601961,11.93306697,12.1136427,10.96878047,11.21633489,11.52474892,0,0,0,0,0,0
Huairen,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,4.201439859,4.556170044,8.181685335,10.9002631,22.85786414,8.968686877,0,0,0,0,0,0
Huangping,Guizhou,China,Qizheng Chemical,Guizhou,Guizhou,0.5,438.5008391,399.0856937,448.1533821,453.6999557,460.031786,466.9703684,475.240952,436.8471273,0,0,0,0,0
Huangping,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,8.697215228,0,112.9266574,112.1522133,136.2374413,160.6227263,162.8390406,118.7704332,0,0,0,0,0
Hubin,Henan,China,Kaiman,Henan,Henan,1,89.6934848,91.12869366,68.96608441,65.38329388,66.88695242,68.88702627,0,0,0,0,0,0,0
Hubin,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,24.08424549,7.957765994,2.368010365,0,3.303115783,35.72259915,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,Chalco Shanxi,Shanxi,Shanxi,0.8,812.5405239,539.2795715,337.4969555,343.768493,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,East Hope Lingshi,Shanxi,Shanxi,0,1414.158993,1479.777954,1294.610003,0,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,Senze,Shanxi,Shanxi,1,293.5970201,291.0649255,302.5720605,318.5290027,341.4706126,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,Xinfa - Jiaokou,Shanxi,Shanxi,0,4591.920147,1900.846885,2124.07088,4107.477986,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,Xinghua (Chalco Jiaokou),Shanxi,Shanxi,0.9,1436.224908,1073.235604,505.6773024,513.4641168,522.8219945,354.480326,359.4174796,363.4102039,366.4178655,369.4929076,372.6490634,375.8969236,0
Jiaokou,Shanxi,China,Tiantong,Shanxi,Shanxi,0.9,121.004201,0,0,0,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,103.2230648,137.7701569,247.399035,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,255.278072,448.9157167,0,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,69.46520759,150.6603967,270.5465218,405.4979709,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,334.438433,790.6321068,2605.078368,0,0,0,0,0,0,0,0,0
Jiaokou,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,219.1007954,219.3227189,393.8460275,590.3005662,825.2406401,323.7977465,1453.640815,1465.671462,1477.97163,1490.596254,1127.690771,0
Jiaxian,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.8,10.94679594,8.261527579,9.00335112,9.760830385,9.827876638,8.479899133,7.118736179,7.196703742,7.281584519,7.348374011,5.922148752,5.958721845,5.998274433
Jiaxian,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.8,7.589030251,3.393403287,3.406907705,3.420932262,5.157131847,5.18942493,5.232644658,5.30257425,5.378994787,5.439160088,5.492921767,5.545061011,5.602533074
