No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,1.2,Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,0,-,General Imports,-,,,,37.5,250.0,500.0,500.0,500.0,937.5,937.5,575.0,554.4,798.0,1068.0,804.0,810.0,798.0,801.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,
,2,Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,3204.0,3216.0,6456.0,6456.0,7830.0,9720.0,9576.0,9540.0,
,3,Shuijiang,Chongqing,Other,H-B,Bosai,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.34999999999997,468.99999999999994,850.5,1117.2,1401.75,1688.4,1788.8500000000001,1882.9999999999998,1350.0,1350.0,1330.0,1325.0,
,4,Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,6.2,Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,1335.0,1340.0,1345.0,1345.0,1350.0,1350.0,1330.0,1325.0,
,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,
,10,Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.5,5360.0,5400.0,5320.0,8010.0,8040.0,8070.0,8070.0,10800.0,10800.0,10640.0,10600.0,
,11,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,
,12,Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,1854.9999999999998,
,13,Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.0,2136.0,2144.0,2152.0,2152.0,2160.0,2430.0,2660.0,2650.0,
,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.4,645.6,807.0,1080.0,1215.0,1197.0,1192.5,
,16,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,484.2,807.0,0.0,0.0,0.0,0.0,
