No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,183.69587664329185,161.37477787849397,412.4378729617982,419.18612156862963,429.16866878278336,472.8024360072684,705.1102952205742,1235.6878291760809,1427.8624481993916,1150.7192653262168,1154.411418579059,1128.4799029192814,1063.461658167206,819.387554422688,1586.9851687278797,1016.5022262527032,856.6977141158479,694.5056801041558,522.10004249796,348.578848792253,0.0,0.0,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,34.39504739169957,30.21566533980491,77.22448889911352,78.48802477637032,80.35714775721668,88.52709429596692,132.02420469992933,231.36905532391944,267.35165465914497,215.45961939196465,216.1509347792747,211.29554158071858,199.12158509112726,153.42137385731212,297.1456468471202,190.32894414729697,160.40729392415204,130.03860629584418,97.75753290204005,65.26758380774709,0.0,0.0,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,,3.573049602433741,3.13888420621031,8.022286645423108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,80.01971952000001,326.49182528,821.0858820000001,1238.437347,1494.33116904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,,133.16853013573572,157.39365266897144,197.6875183325505,198.6055815295596,199.42744249519427,200.17975113549647,200.87976244707986,201.5392927569657,194.06842790092264,202.7452053858519,203.32730142410307,203.89262752994176,204.4444531158885,204.9855453552422,205.51828949396304,206.04479042616927,206.56694807339227,207.0865174971458,257.5864249439219,210.09315685883158,211.05008255270488,285.6825467595015,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,,3681.1822682106563,4350.838165318489,5464.682882589462,5490.060935185535,5512.779666184107,5533.575759856384,5552.9261966684535,5571.157615755413,5364.640241055609,5604.492700117629,5620.583600965013,5636.2109299927415,5651.4650636838,5666.422495105059,5681.149159692804,5695.703243107696,5710.137264946103,5724.499740433943,7120.47042247022,5807.612375933189,5834.06470586948,7897.132486154314,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,23.689704453607746,27.999176012540158,35.1671590779882,35.330475784906206,35.4766788206985,35.61050900811957,35.735035884467095,35.85236148762173,34.52334944346902,36.06688449651931,36.17043511088541,36.271002477316344,36.36916820031181,36.46542453969893,36.56019581323346,36.65385646613549,36.74674448050566,36.839172068910436,45.822735085858056,37.374031151640565,37.54426121161656,50.820829015596715,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.6595931751821,723.4061522953639,735.4231362909618,594.2818423448921,598.6770208754162,451.5806537910182,536.1659329898912,545.7517520671529,549.1064207776328,704.4614845307893,
10,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.3508885083197,518.8603895195455,527.4795268838352,426.2464553626937,429.39888092213874,323.8945551984081,384.56303413446705,391.4384274450027,393.8445511810336,505.27239657193775,
11,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.37319561649818,272.6570986850908,277.1863883252031,223.98919669241417,225.645771802445,170.20406931057357,202.08488307564176,205.69784877939372,206.96224808640392,265.51671408668483,
12,7,Huayin,Guangxi,Guangxi,Guangxi,Debao,,,1,,,,,,,1994.9173795779507,1777.1185122766324,1789.8363205975845,2282.7056455619304,2297.967109838072,2433.69946998238,2693.0721494134614,2708.604022100895,2673.544299899386,2861.4970150358768,2750.639919456403,2763.4314369333792,2775.8575809049908,2787.993666711306,2544.878770252461,2554.5868337014012,2564.1918614589063,2573.72313876472,3116.121941415374,3174.755222657669,3193.6136544546134,4194.454492431417,
13,7,Huayin,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,,1967.7543987828237,1752.9211011388102,1765.4657425974576,2251.6241129400405,2266.6777756975407,2400.561991387538,2656.403028264251,2671.7234175269364,2637.1410717674758,2822.5346052336345,2713.18695018992,2725.8042971738614,2738.0612456121057,2750.0320853440435,2510.227463952789,2519.803341505852,2529.277586311048,2538.67908485757,3073.692534906395,3131.5274599317136,3150.1291135653264,4137.3424094999145,
14,7,Huayin,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,25.091368311884935,22.351970854469986,22.51193096909311,28.711067779925276,28.903021103432003,30.610214932653534,33.872513159271115,34.06786758455369,33.62689874460277,35.99090181008622,34.59658029900744,34.75746750143918,34.91375916458273,35.06640257826402,32.00858902086987,32.130693624341745,32.25150228116963,32.371383330786585,39.193484470690535,39.93095323508418,40.168147949434605,52.75637157429689,
15,7,Huayin,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,,326.15502242734067,290.54643273008736,292.62570533586535,373.2063887181032,375.70153126095477,397.89282169742825,440.2984385630155,442.83779098761556,437.1057719085355,467.8347247204013,449.71036585467084,451.8016893913206,453.8332769183207,455.8174419663872,416.0698587738788,417.65705916840614,419.2274139488766,420.7857110469232,509.4641172075399,519.0502481191945,522.1334696644287,685.7639384237831,
16,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,23.510408262525598,27.150765400677177,44.01289213017608,38.954666092158845,56.25513661281256,54.026543480166836,50.51147781105352,57.91053832495101,58.42964102091906,58.93109093467045,59.42028155835617,59.901352046607705,60.37757136258707,60.85165410998201,49.02304601850096,59.66262985345972,60.935828813434576,61.455615050733265,81.02492983090306,
