,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
1,26,Beijing,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,27,Chongqing,Fengdu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,28,Chongqing,Nanchuan,1.1,Bosai Xianfeng domestic,Chongqing,33611.34426,1,0
,29,Chongqing,Qinjiang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,30,Chongqing,Wulong,1.1,Bosai Xianfeng domestic,Chongqing,6293.357259,1,0
,31,Chongqing,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,32,Fujian,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,33,Guangdong,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,34,Guangxi,Binyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,35,Guangxi,Chongzuo,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,36,Guangxi,Debao,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,37,Guangxi,Donglan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,38,Guangxi,Guigang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,39,Guangxi,Heng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,40,Guangxi,Jingxi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,41,Guangxi,Laibin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,42,Guangxi,Lingyun,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,43,Guangxi,Long'an,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,44,Guangxi,Longzhou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,45,Guangxi,Mashan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,46,Guangxi,Napo,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,47,Guangxi,Ningming,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,48,Guangxi,Pingguo,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,49,Guangxi,Pingxiang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,50,Guangxi,Shanglin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,51,Guangxi,Tiandong,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,52,Guangxi,Tianyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,53,Guangxi,Tian'e,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,54,Guangxi,Tianlin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,55,Guangxi,Yizhou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,56,Guangxi,Yongning,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,57,Guangxi,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,58,Guizhou,Daozhen,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,59,Guizhou,Fuquan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,60,Guizhou,Guiyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,61,Guizhou,Huangping,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,62,Guizhou,Kaili,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,63,Guizhou,Kaiyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,64,Guizhou,Jinsha,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,65,Guizhou,Longli,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,66,Guizhou,Qingzhen,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,67,Guizhou,Tongzi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,68,Guizhou,Weng'an,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,69,Guizhou,Wuchuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,70,Guizhou,Xifeng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,71,Guizhou,Xiuwen,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,72,Guizhou,Zheng'an,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,73,Guizhou,Zhijin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,74,Guizhou,Zunyi,1.1,Bosai Xianfeng domestic,Chongqing,1197.816501,1,0
