,snapshot_id,model_id,output_set,output_id,output_label,output_row,output_value,override_value,actual_value
0,1,1,Guinea FOB output,1,Field,0,Owner,,
1,1,1,Guinea FOB output,2,Kamsar,0,CBG,,
2,1,1,Guinea FOB output,3,Rusal Nunez,0,Rusal,0,
3,1,1,Guinea FOB output,4,GAC Kamsar,0,GAC,0,
4,1,1,Guinea FOB output,5,Rusal Conakry,0,Rusal,,
5,1,1,Guinea FOB output,6,Rusal Conakry.1,0,Rusal,,
6,1,1,Guinea FOB output,7,Alufer Cap Verga,0,Alufer,,
7,1,1,Guinea FOB output,8,Dapilon,0,GDM,0,
8,1,1,Guinea FOB output,9,Dapilon.1,0,Henan Chine,,
9,1,1,Guinea FOB output,10,Dapilon.2,0,AMR,,
10,1,1,Guinea FOB output,11,Dapilon.3,0,SMB,,
11,1,1,Guinea FOB output,12,Ashapura,0,Ashapura,,
12,1,1,Guinea FOB output,13,Katougouma,0,SMB,,
13,1,1,Guinea FOB output,14,Katougouma.1,0,SMB,,
14,1,1,Guinea FOB output,15,Katougouma.2,0,SMB,,
15,1,1,Guinea FOB output,16,AGB2A Pongo,0,AGB2A,,
16,1,1,Guinea FOB output,17,Dynamic,0,Dynamic,,
17,1,1,Guinea FOB output,18,AMC,0,AMC,,
18,1,1,Guinea FOB output,19,Chalco,0,Chalco,,
19,1,1,Guinea FOB output,20,Dapilon.4,0,SMB,,
20,1,1,Guinea FOB output,21,Rundi Boffa,0,Rundi Kimbo,,
21,1,1,Guinea FOB output,22,SPIC,0,SPIC,,
22,1,1,Guinea FOB output,1,Field,1,Project / units,,
23,1,1,Guinea FOB output,2,Kamsar,1,CBG,,
24,1,1,Guinea FOB output,3,Rusal Nunez,1,Dian Dian,,
25,1,1,Guinea FOB output,4,GAC Kamsar,1,GAC,,
26,1,1,Guinea FOB output,5,Rusal Conakry,1,Kindia,,
27,1,1,Guinea FOB output,6,Rusal Conakry.1,1,Friguia,,
28,1,1,Guinea FOB output,7,Alufer Cap Verga,1,Bel Air,,
29,1,1,Guinea FOB output,8,Dapilon,1,GDM,,
30,1,1,Guinea FOB output,9,Dapilon.1,1,Henan Chine,,
31,1,1,Guinea FOB output,10,Dapilon.2,1,AMR,,
32,1,1,Guinea FOB output,11,Dapilon.3,1,Malapouya,,
33,1,1,Guinea FOB output,12,Ashapura,1,Ashapura,,
34,1,1,Guinea FOB output,13,Katougouma,1,Kaboye,,
35,1,1,Guinea FOB output,14,Katougouma.1,1,Dabiss (S),,
36,1,1,Guinea FOB output,15,Katougouma.2,1,Dabiss (N),,
37,1,1,Guinea FOB output,16,AGB2A Pongo,1,3rd Party Mines,,
38,1,1,Guinea FOB output,17,Dynamic,1,Dynamic,,
39,1,1,Guinea FOB output,18,AMC,1,AMC,,
40,1,1,Guinea FOB output,19,Chalco,1,Boffa,,
41,1,1,Guinea FOB output,20,Dapilon.4,1,Santou-Houda,,
42,1,1,Guinea FOB output,21,Rundi Boffa,1,Rundi Kimbo,,
43,1,1,Guinea FOB output,22,SPIC,1,SPIC,,
44,1,1,Guinea FOB output,1,Field,2,% continuous mining,,
45,1,1,Guinea FOB output,2,Kamsar,2,0,,
46,1,1,Guinea FOB output,3,Rusal Nunez,2,0,,
47,1,1,Guinea FOB output,4,GAC Kamsar,2,0,,
48,1,1,Guinea FOB output,5,Rusal Conakry,2,0,,
49,1,1,Guinea FOB output,6,Rusal Conakry.1,2,0,,
50,1,1,Guinea FOB output,7,Alufer Cap Verga,2,1,,
51,1,1,Guinea FOB output,8,Dapilon,2,0,,
52,1,1,Guinea FOB output,9,Dapilon.1,2,1,,
53,1,1,Guinea FOB output,10,Dapilon.2,2,0.6,,
54,1,1,Guinea FOB output,11,Dapilon.3,2,0.9,,
55,1,1,Guinea FOB output,12,Ashapura,2,0,,
56,1,1,Guinea FOB output,13,Katougouma,2,0,,
57,1,1,Guinea FOB output,14,Katougouma.1,2,0,,
58,1,1,Guinea FOB output,15,Katougouma.2,2,0,,
59,1,1,Guinea FOB output,16,AGB2A Pongo,2,0,,
60,1,1,Guinea FOB output,17,Dynamic,2,1,,
61,1,1,Guinea FOB output,18,AMC,2,1,,
62,1,1,Guinea FOB output,19,Chalco,2,0,,
63,1,1,Guinea FOB output,20,Dapilon.4,2,0.6,,
64,1,1,Guinea FOB output,21,Rundi Boffa,2,0,,
65,1,1,Guinea FOB output,22,SPIC,2,0,,
66,1,1,Guinea FOB output,1,Field,3,average worker wage,,
67,1,1,Guinea FOB output,2,Kamsar,3,108036000,,
68,1,1,Guinea FOB output,3,Rusal Nunez,3,102634200,,
69,1,1,Guinea FOB output,4,GAC Kamsar,3,108036000,,
70,1,1,Guinea FOB output,5,Rusal Conakry,3,102634200,,
71,1,1,Guinea FOB output,6,Rusal Conakry.1,3,102634200,,
72,1,1,Guinea FOB output,7,Alufer Cap Verga,3,102634200,,
73,1,1,Guinea FOB output,8,Dapilon,3,86428800,,
74,1,1,Guinea FOB output,9,Dapilon.1,3,86428800,,
75,1,1,Guinea FOB output,10,Dapilon.2,3,86428800,,
76,1,1,Guinea FOB output,11,Dapilon.3,3,86428800,,
77,1,1,Guinea FOB output,12,Ashapura,3,86428800,,
78,1,1,Guinea FOB output,13,Katougouma,3,86428800,,
79,1,1,Guinea FOB output,14,Katougouma.1,3,86428800,,
80,1,1,Guinea FOB output,15,Katougouma.2,3,86428800,,
81,1,1,Guinea FOB output,16,AGB2A Pongo,3,86428800,,
82,1,1,Guinea FOB output,17,Dynamic,3,102634200,,
83,1,1,Guinea FOB output,18,AMC,3,102634200,,
84,1,1,Guinea FOB output,19,Chalco,3,86428800,,
85,1,1,Guinea FOB output,20,Dapilon.4,3,86428800,,
86,1,1,Guinea FOB output,21,Rundi Boffa,3,86428800,,
87,1,1,Guinea FOB output,22,SPIC,3,86428800,,
88,1,1,Guinea FOB output,1,Field,4,worker hours per year,,
89,1,1,Guinea FOB output,2,Kamsar,4,15360,,
90,1,1,Guinea FOB output,3,Rusal Nunez,4,15360,,
91,1,1,Guinea FOB output,4,GAC Kamsar,4,15360,,
92,1,1,Guinea FOB output,5,Rusal Conakry,4,15360,,
93,1,1,Guinea FOB output,6,Rusal Conakry.1,4,15360,,
94,1,1,Guinea FOB output,7,Alufer Cap Verga,4,15360,,
95,1,1,Guinea FOB output,8,Dapilon,4,15360,,
96,1,1,Guinea FOB output,9,Dapilon.1,4,15360,,
97,1,1,Guinea FOB output,10,Dapilon.2,4,15360,,
98,1,1,Guinea FOB output,11,Dapilon.3,4,15360,,
99,1,1,Guinea FOB output,12,Ashapura,4,15360,,
100,1,1,Guinea FOB output,13,Katougouma,4,15360,,
101,1,1,Guinea FOB output,14,Katougouma.1,4,15360,,
102,1,1,Guinea FOB output,15,Katougouma.2,4,15360,,
103,1,1,Guinea FOB output,16,AGB2A Pongo,4,15360,,
104,1,1,Guinea FOB output,17,Dynamic,4,15360,,
105,1,1,Guinea FOB output,18,AMC,4,15360,,
106,1,1,Guinea FOB output,19,Chalco,4,15360,,
107,1,1,Guinea FOB output,20,Dapilon.4,4,15360,,
108,1,1,Guinea FOB output,21,Rundi Boffa,4,15360,,
109,1,1,Guinea FOB output,22,SPIC,4,15360,,
110,1,1,Guinea FOB output,1,Field,5,cost of diesel,,
111,1,1,Guinea FOB output,2,Kamsar,5,1,,
112,1,1,Guinea FOB output,3,Rusal Nunez,5,1,,
113,1,1,Guinea FOB output,4,GAC Kamsar,5,1,,
114,1,1,Guinea FOB output,5,Rusal Conakry,5,1,,
115,1,1,Guinea FOB output,6,Rusal Conakry.1,5,1,,
116,1,1,Guinea FOB output,7,Alufer Cap Verga,5,1,,
117,1,1,Guinea FOB output,8,Dapilon,5,1,,
118,1,1,Guinea FOB output,9,Dapilon.1,5,1,,
119,1,1,Guinea FOB output,10,Dapilon.2,5,1,,
120,1,1,Guinea FOB output,11,Dapilon.3,5,1,,
121,1,1,Guinea FOB output,12,Ashapura,5,1,,
122,1,1,Guinea FOB output,13,Katougouma,5,1,,
123,1,1,Guinea FOB output,14,Katougouma.1,5,1,,
124,1,1,Guinea FOB output,15,Katougouma.2,5,1,,
125,1,1,Guinea FOB output,16,AGB2A Pongo,5,1,,
126,1,1,Guinea FOB output,17,Dynamic,5,1,,
127,1,1,Guinea FOB output,18,AMC,5,1,,
128,1,1,Guinea FOB output,19,Chalco,5,1,,
129,1,1,Guinea FOB output,20,Dapilon.4,5,1,,
130,1,1,Guinea FOB output,21,Rundi Boffa,5,1,,
131,1,1,Guinea FOB output,22,SPIC,5,1,,
132,1,1,Guinea FOB output,1,Field,6,exchange rate,,
133,1,1,Guinea FOB output,2,Kamsar,6,9003,,
134,1,1,Guinea FOB output,3,Rusal Nunez,6,9003,,
