Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,Gove,7.599999999999999,12.736079195247656,0,0
2,Weipa,17.200000000000006,13.629658472608321,0,0
3,Juruti,1.8000000000000016,15.770757320869887,0,0
4,Huntly,7.000000000000003,16.535945390614067,0,0
5,Metro Blend,5.3999999999999915,19.86659961901157,0,0
6,Vietnam,1.000000000000001,20.879819026637964,0,0
7,Dynamic,9.000000000000009,21.69511649730163,0,0
8,Chalco Boffa,34.8,0,22.119058426133048,0
9,Dian Dian,3.0000000000000027,23.174175280804448,0,0
10,CBG,10.499999999999996,23.291753038434585,0,0
11,GAC,3.0,24.135283704362774,0,0
12,Alufer (Bel Air),9.269999999999996,24.46859700653373,0,0
13,Other,0.500000000000001,25.804741580106057,0,0
14,Henan-Chine,10.000000000000009,26.869364926726853,0,0
15,Awaso,0.3000000000000066,0,27.90385199736085,0
16,AGB2A,9.000000000000018,28.1238629894147,0,0
17,Amrun,10.879999999999995,28.21102257372738,0,0
18,Solomon Islands,1.5999999999999972,28.855239084358786,0,0
19,GDM,2.0000000000000075,30.624752674116426,0,0
20,SMB Santou-Houda,1.2040864726907257,32.37847152072075,0,0
21,SMB Santou-Houda,34.552565541142684,0,32.37847152072075,0
22,AMC,10.0,32.94367616501193,0,0
23,SPIC,7.500000000000003,0,33.18825745435313,0
24,AMR,0.0,31.567570717420878,0,0
25,Gujarat & Maharashtra,0.0,24.15777457975427,0,0
26,West Kalimantan,0.0,27.57544101408839,0,0
27,Kuantan & Johor,0.0,32.09,0,0
28,Aurum Xinfa-Fiji,0.0,0,22.88875359048986,0
29,Dom. Rep.,0.0,29.53264794847596,0,0
30,Discovery Bay,0.0,23.277116829423218,0,0
31,Metallica,0.0,26.030817953151434,0,0
32,Aurukun,0.0,26.642219042526182,0,0
33,Metro LT,0.0,19.86659961901157,0,0
34,MRN,0.0,21.020794159642122,0,0
35,Mirai,0.0,34.8283429653501,0,0
36,Metro BH1,0.0,19.86659961901157,0,0
37,Amrun,0.0,28.21102257372738,0,0
38,Rondon do Para,0.0,45.850630337709426,0,0
39,SMB Malapouya-Boké,0.0,28.136796496442365,0,0
40,Rundi,0.0,32.105072762748826,0,0
41,Dabiss N,0.0,0.0,0,0
42,Metro BH1 Xinfa,0.0,0,0,19.86659961901157
43,Ashapura Guinea,0.0,36.56660676069284,0,0
44,SMB Kaboye,0.0,29.58168724576273,0,0
45,SMB Dabiss S,0.0,33.649468980691424,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,34.694724345184184,0,0
48,Henan-Chine,0.0,0,26.869364926726853,0
49,SMB Malapouya-Boké,0.0,0,28.136796496442365,0
50,AMR,0.0,0,31.567570717420878,0
51,GDM,0.0,0,30.624752674116426,0
52,Ashapura Guinea,0.0,0,36.56660676069284,0
53,SMB Kaboye,0.0,0,29.58168724576273,0
54,SMB Dabiss S,0.0,0,33.649468980691424,0
