Line,Currency_Code,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4
Australia,AUD,1.3202679615854833,1.331754,1.331754,1.300906081085476,1.2720294054323027,1.3217406825396827,1.367053998632946,1.393152,1.403879,1.429472,1.458519,1.4633303333333334
Azerbaijan,New Manat,,,,,,,,,,,,
Bosnia,BAM,,,,,,,,,,,,
Brazil,Real,3.142171,3.210438,3.210438,3.249,3.2449469089629903,3.6075163285187437,3.95,3.8057650719458,3.7664651424529,3.9221965308589,3.9653972519851,4.1189704771862
Canada,CAD,,,,,,,,,,,,
China,RMB,6.889,6.860639,6.860639,6.6131,6.363324561403507,6.381567825396826,6.807,6.917181,6.747314,6.82756,7.015584,7.044526333333333
Dominican Republic,DOP,46.34,46.732757,46.732757,46.732757,48.775,48.32,49.66,50.05,50.42,50.469667,50.614933,53.41
Fiji,FJD,2.0579,2.065866,2.065866,2.070393374741201,2.0190942943369885,2.087900615930682,2.1031599978968396,2.1031599978968396,2.1186440677966103,2.129267,2.153746,2.1947
France,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.9031846666666666
Germany,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.9031846666666666
Brazil,GHS,4.4011,4.272441,4.272441,4.41,4.41,4.42,4.7043,4.7043,4.797733,5.2631578947368425,5.259,5.42
Greece,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.9031846666666666
Guinea,GNF,9269,9077.866,9077.866,8950,9008.115368888886,9022.79274725275,9072,9095,9172,9185,9185,9400
Guyana,GYD,,,,,,,,,,,,
Hungary,HUF,,,,,,,,,,,,
India,INR,66.891,64.384027,64.384027,64.71,64.36919873015871,67.04283804761904,70.12381643,72.145675,70.498272,69.557651,70.401745,71.231474
Indonesia,IDR,13333,13288.0472,13288.0472,13536,13574.88903092063,13970.921822984123,14606.68668,14795.892214,14137.921539,14257.623556,14121.532232,14065.425082
Iran,IRR,,,,,,,,,,,,
Ireland,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.9031846666666666
Italy,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.9031846666666666
Jamaica,JMD,127.06,127.94,127.94,126.84,125.80061009535926,127.5,134.48,131,126.8049,132.02,131.871829,139.24
Japan,JPY,,,,,,,,,,,,108.704941
Kazakhstan,KZT,,,,,,,,,,,,389.19
Malaysia,MYR,4.444,4.33033,4.33033,4.159,3.924783333333333,3.9541811269841265,4.093082954,4.170206,4.091104,4.149272,4.164726,4.163998666666667
Montenegro,EUR,0.9384,0.90957,0.90957,0.8491126772522714,0.8136209365079363,0.8397209047619046,0.859986046,0.876153,0.880493,0.889949,0.899407,0.904767
