column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
Mine,,Mine,,,,,, ,Weipa,Gove,Huntly,Metro,MRN,Dominic Rep.,Fiji,Ghana,Greece,CBG,SMB,Alufer,Guinea-Bissau,Guyana,Gujarat,Antam,Jamaica,Malaysia,Montenegro,Pakistan,Sierra Leone,Solomon Islands,Turkey,Vietnam,*
Mine type,,Mine type,,,,"(open pit, underground, or mixed)",,,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Under Ground,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,Under Ground,Open Pit,Open Pit,Open Pit,Open Pit,Open Pit,*
Comment,,Comment,,,,,, ,,,copy of Weipa,copy of Weipa,,??,??,??,??,,??,copy of CBG,copy of CBG,copy of SMB+ extra transport,needs more work,values tuned using 2014 numbers,needs more work,needs more work,copy of Greece,copy of India but less taxes,Copy of SMB but less taxes,copy of Fiji + few changes,copy of Greece,copy off Fiji with few changes,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
Tuning values,,Tuning values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,"labour rates & costs, diesel usage, royalties, and community charges estimated off 2013-2014 actuals",adjusted from Weipa - reduced processing costs,"labour rates & costs, diesel usage, royalties, and community charges estimated off 2013-2014 actuals","labour rates & costs, diesel usage, royalties, and community charges estimated off 2013-2014 actuals","data suggests 1,400 regulr employees in 2013  + nearly 3000 outsourced … but the outsourced make up ~10% of staff costs, alligned to 2013 costs per dpt! to the cent","data suggests 1,400 regulr employees in 2013  + nearly 3000 outsourced … but the outsourced make up ~10% of staff costs, alligned to 2013 costs per dpt! to the cent", , , , , , , , , ,,built off MRN,, , , , , , ,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
Prices for energy and water,,Prices for energy and water,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,*
Diesel,,,,Diesel,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,*
