Country_id,mine_id,mine
Country_1,Mine_1,Xiaoguan Bx mine
,Mine_2,Chenlou Bx mine
,Mine_3,Yangtai Bx mine
,Mine_4,Jiaocun Bx mine
,Mine_5,Zhangyaoyuan Bx mine
,Mine_6,Caoyao Bx mine
,Mine_7,Leigou Bx mine
,Mine_8,Zhijian Bx mine
,Mine_9,Weijiatan Bx mine
,Mine_10,Hejiagetai Bx mine
,Mine_11,Ducun Bx mine
,Mine_12,Chaichang Bx mine
,Mine_13,Xiangwang Bx mine
,Mine_14,Ke'e Bx mine
,Mine_15,CPI Wutai Tianhe Bx mine
,Mine_16,Houwucheng Bx mine
,Mine_17,Chaclo Niucaogou Bx mine
,Mine_18,Gu County Jindui Bauxite mine
,Mine_19,Qianmuping Bx mine
,Mine_20,Caoping Bx mine
,Mine_21,Caochuan Bx mine
,Mine_22,Dongling Bx mine
,Mine_23,Lutong East and Sanhe East Bx mine
,Mine_24,Jiaomei Bx mine
,Mine_25,Nadou Bx mine
,Mine_26,Maijiuping Bx mine
,Mine_27,Hongsheke Bx mine
,Mine_28,Banmao Bx mine
,Mine_29,Maiba Bx mine
,Mine_30,Maochang Bx mine
,Mine_31,Wachangping Bx mine
,Mine_32,Dazhuyuan Bx mine
,Mine_33,Shilaogong Bx mine
,Mine_34,Chenqian 213 Bx mine
,Mine_35,Xianrenyan Bx mine
,Mine_36,County Total
,Mine_37,Other
,Mine_38,Fusui-Total
,Mine_38,Fenxi County-Total
,Mine_41,Hequ County-Total
,Mine_39,Jingle county-Total
,Mine_40,Guangyuan-Total
,Mine_41,Guinea 45/3 LT
,Mine_42,Australia HT
,Mine_43,Indonesian LT
,Mine_44,CBIX LT
,Mine_45,CBIX HT
,Mine_46,CBIX
,Mine_47,SMB Generic
,Mine_48,Alufer Bel Air
,Mine_66,CBG LT
,Mine_49,GAC Generic
,Mine_50,Weipa/Amrun Generic
,Mine_51,West Kalimantan Generic
,Mine_52,MRN
,Mine_53,Juruti
,Mine_56,Gove
,Mine_57,Central Kalimantan Generic
,Mine_58,Huntly
,Mine_59,Turkey
,Mine_60,Bauxite Hills
,Mine_61,Chalco Boffa
,Mine_62,Rennell Island
,Mine_63,Discovery Bay
,Mine_64,Malaysia Kuantan washed
,Mine_65,India Gujarat
,Mine_66,Boddington
,Mine_67,Huntly
,Mine_68,Willowdale
,Mine_69,Metro BH1
,Mine_70,Metro LT
,Mine_71,Metro Blend
,Mine_72,Metallica
,Mine_73,QBL South Johnston
,Mine_74,Aurukun
,Mine_75,Amrun
,Mine_76,Amrun HT
,Mine_77,ABx Tasmania
,Mine_78,Jajce
,Mine_79,Milici (Vlasenica)
,Mine_52,MRN
,Mine_81,Mirai
,Mine_82,Rondon do Para
,Mine_83,Paragominas
,Mine_53,Juruti
,Mine_84,Cataguases
,Mine_85,"Pocos de Caldas, Alcoa"
,Mine_86,Brazil others
,Mine_87,Dom. Rep.
,Mine_88,Aurum Xinfa-Fiji
,Mine_89,Awaso
,Mine_90,Other Ghana
,Mine_91,Delphi-Distomon
,Mine_92,Parnasse
,Mine_93,SMB Malapouya
,Mine_94,SMB Kaboye
,Mine_95,SMB Dabiss S
,Mine_61,Chalco Boffa
,Mine_97,CBG
,Mine_98,CBK Kindia
,Mine_99,GAC
,Mine_100,Alufer (Bel Air)
,Mine_101,AMC
,Mine_102,Fria Kimbo
,Mine_103,Dian Dian
,Mine_104,AMR
,Mine_105,Henan-Chine
,Mine_106,Ashapura Guinea
,Mine_107,Dabiss N
,Mine_108,GDM
,Mine_109,Rundi
,Mine_110,AGB2A
,Mine_111,Dynamic
,Mine_112,Aroaima
,Mine_113,Kurubuka
,Mine_114,Guyana Others
,Mine_115,Bakony
,Mine_116,Chhattisgarh
,Mine_117,Goa
,Mine_118,Gujarat & Maharashtra
,Mine_119,Jharkhand
,Mine_120,Karnataka
,Mine_121,Madhya Pradesh
,Mine_122,Odisha
,Mine_123,Andhra Pradesh
,Mine_124,Tamil Nadu
,Mine_125,Bintan
,Mine_126,West Kalimantan
,Mine_127,Indonesia Other
,Mine_128,Jajarm
,Mine_129,Discovery Bay
,Mine_130,UCRusal
,Mine_131,Jamaica Other
,Mine_132,Turgai
,Mine_133,Krasnogorsky
,Mine_134,Kuantan
,Mine_135,Malaysia Other
,Mine_136,Niksic
,Mine_137,Kola Apatit
,Mine_138,North Onega
,Mine_139,North Ural
,Mine_140,South Ural
,Mine_141,Tikhvin
,Mine_142,Timan
,Mine_143,Kiya-Shaltyr
,Mine_144,Al-Baitha
,Mine_145,Mokanji
,Mine_146,Solomon Islands
,Mine_147,Suriname - AWACS
,Mine_148,Seydisehir
,Mine_149,Los Pijiguaos
,Mine_150,Nhan Co.
,Mine_151,Tan Rai
,Mine_152,Vietnam Others
,Mine_153,SPIC
,Mine_154,Weiqiao Self Supply
,Mine_155,SMB Santou-Houda
