country_id,mining diesel,mining local currency,royalties diesel,royalty local currency,transport diesel,transport local currency,local currency
country_17,0.33,0.33,0,1,0.33,0.33,
country_16,0.5,0.25,0,1,0.5,0.25,
country_12,0.5,0.25,0,1,0.5,0.25,
country_4,0.33,0.33,0,1,0.33,0.33,
country_2,0.33,0.33,0,1,0.33,0.33,
country_1,0.5,0.25,0,1,0.5,0.25,
country_44,0.5,0.25,0,1,0.5,0.25,
country_45,0.5,0.25,0,1,0.5,0.25,
country_31,0.33,0.33,0,1,0.33,0.33,
country_25,0.33,0.33,0,1,0.33,0.33,
country_43,0.5,0.25,0,1,0.5,0.25,
country_13,0.5,0.25,0,1,0.5,0.25,
country_46,0.5,0.25,0,1,0.5,0.25,
country_47,0.5,0.25,0,1,0.5,0.25,
country_48,0.5,0.25,0,1,0.5,0.25,
country_24,0.5,0.25,0,0.5,0.5,0.25,
country_26,0.5,0.25,0,1,0.5,0.25,
country_8,0.5,0.25,0,1,0.5,0.25,
country_49,0.33,0.33,0,1,0.33,0.33,
country_50,0.33,0.33,0,1,0.33,0.33,
country_51,0.4,0.3,0,1,0.5,0.25,
country_52,0.33,0.33,0,1,0.33,0.33,
country_36,0.5,0.25,0,1,0.5,0.25,
country_37,0.4,0.25,0,1,0.4,0.5,
country_29,0.5,0.25,0,1,0.5,0.25,
country_53,0.5,0.25,0,1,0.5,0.25,
country_18,0.5,0.25,0,1,0.5,0.25,
country_33,0.33,0.33,0,1,0.33,0.33,
country_54,0.5,0.25,0,1,0.5,0.25,
country_55,0.5,0.25,0,1,0.5,0.25,
country_6,0.5,0.25,0,1,0.5,0.25,
country_56,0.5,0.25,0,1,0.5,0.25,
country_23,0.5,0.25,0,1,0.5,0.25,
country_20,0.33,0.33,0,1,0.33,0.33,
country_56,0.5,0.25,0,1,0.5,0.25,
country_19,0.33,0.33,0,1,0.33,0.33,
country_5,0.5,0.25,0,1,0.5,0.25,
country_57,0.5,0.25,0,1,0.5,0.25,
country_58,0.5,0.25,0,1,0.5,0.25,
