Available Alumina Check,Reactive Silica Check,Contract Date
加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.1%,SiO2:6.1%,水分:10.8%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA"
加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,天然开采|红褐色颗粒|AL2O3:40.96%SIO2:3.35%Moisture:20.07%FE2O3:27.12%|马来西亚 关丹矿区|
加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3,天然开采|红褐色颗粒|AL2O3:40.96%SIO2:3.35%Moisture:20.07%FE2O3:27.12%|马来西亚 关丹矿区|
加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,"天然开采|红褐色颗粒|AL2O3:40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
天然红褐色颗粒状,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3,"天然开采|红褐色颗粒|AL2O3:40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
天然红褐色颗粒状,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,"天然开采|红褐色颗粒|AL2O3：40%,SIO2：4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
天然红褐色颗粒状,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量,天然粉红色粉末;AL2O3：53.88%SIO2：10.77%
天然红褐色颗粒状,铝钒土,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49%,SiO2:6%,水分:9.3%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
天然红褐色颗粒状,天然红褐色颗粒状铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:53.28% Si02:11.02% 水份:12.8%|开采RIO TINTO ALCAN WEIPA铝矿山|
"天然原矿,红色颗粒状",天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3:40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
天然红褐色颗粒状,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
4|3|煅烧破碎加工|灰色粉末|成分含量：二氧化硅63.8%，氧化钙33.8%.氧化钠0.69%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ALUJANG NW,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3:40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
天然红褐色颗粒状,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3:40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
0|3|露天开采|褐色颗粒|48.17% FE2O3:18.51% SIO2:4.32% MOISTURE:15.28%|印尼西加里曼丹|20200110|现价|需要二次结算|20200110|滞期费未确定,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦|"
,天然红褐色颗粒状铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦|"
,天然红褐色颗粒状铝矿砂,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA|"
,天然红褐色颗粒状铝矿砂,"天然|红色颗粒|AL2O3:47.45%,SIO2:4.95%,FE2O3:10.10%,TI02:2.60%,L.O.I:27.83%,H20:10.77%|来源:NEW AMSTERDAM,GUYANA矿区|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：51%,SIO2:2%,水≤11%,其他:36%|加纳/TAKORADI|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:40.43% Si02:3.14% 水份:17.4%|开采KUANTAN MALAYSIA铝矿山|
,天然红褐色颗粒状铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.31% Si02:3.96% 水分:17.21%|开采KUANTAN MALAYSIA铝矿山|
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2：4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:54.09% Si02:11.06% TiO2:2.23% 水份:12.2%|开采AUSTRALIA WEIPA铝矿山|
,铝矿砂,"天然开采|颗粒|AL2O3：54.04%,SIO2:10.34%，水:11.5%,其他:24.12%|澳大利亚/WEIPA|"
,铝矾土,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.31% Si02:3.51% 水分:16.65%|开采KUANTAN MALAYSIA铝矿山|
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹|"
,天然红褐色颗粒状铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|多米尼加共和国/CABOROJO|"
,铝土矿,"天然开采|红褐色颗粒|AL2O3：51%,SIO2:2%,水≤11%,其他:36%|加纳/TAKORADI|"
,铝土矿,天然粉红色粉末;;AL2O3：53.14%，SIO2：11.04%
,铝土矿,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝土矿,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝土矿,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|颗粒|AL2O3≥43%,SIO2≤7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,天然红褐色颗粒状铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:48.58%,RSiO2:5.25%,水分:5.21%|来源:PORTO TROMBETAS-BRAZIL|"
,铝矿砂,天然粉红色粉末;;AL2O3：53.14%，SIO2：11.04%
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49%,SiO2:6%,水分:9.3%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：51%,SIO2:2%,水≤11%,其他:36%|加纳/TAKORADI|"
,铝矿砂,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.13%,SIO2:3.44%,水分:18.24%|MALAYSIA|"
,铝矿砂,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.13%,SIO2:3.44%,水分:18.24%|MALAYSIA|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.37%,SIO2:3.92%,TIO2:4.68%,水分:16.78%|MALAYSIA|"
,铝矿砂,"加工方法:水洗方式去除泥土杂质,未作任何化学或热处理类的深加工|橘红色颗粒矿石|三氧化二铝46.5%三氧化二铁21.5%总二氧化硅4.5%其他11%水分含量16.5%|原产国:马来西亚,关丹矿区|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3
,铝矿砂,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3
,铝矿砂,天然粉红色粉末;;AL2O3：54.62%，SIO2：10.37%
,铝矿砂,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
