,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic Bx,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.58000000199999,45.857899999999994,32.51199999999999,26.008000000000003,19.796,17.099999999999994,14.27600000000001,12.25800000000001,11.600000000000009,11.599999999999994,11.099999999999994,11.0,11.0,10.5,10.019999999999996
CBIX US$45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10.718,12.677,12.240999999999993,9.024999999999999,8.90099999999999,6.4979999999999905,4.674999999999997,3.0500000000000114,1.7549999999999955,0.8999999999999915,0.8999999999999915,0.8999999999999915,1.2800000000000011
CBIX US$55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9050000000000011,5.3799999999999955,7.153000000000006,9.340000000000003,7.813000000000002,7.294000000000004,8.130000000000003,7.3999999999999915,8.190000000000005,8.25,6.6000000000000085,3.769999999999996,3.2349999999999994
CBIX US$65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550000000000004,1.0350000000000037,4.755000000000003,6.609999999999999,5.759999999999998,6.170000000000002,4.484999999999999,5.150000000000006,5.954999999999998,4.75,3.299999999999997,4.8300000000000125,3.3950000000000102
Depletion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7449999999999974,2.8049999999999997,6.899999999999999,10.959999999999994,12.509999999999998,13.299999999999997,13.100000000000001,13.100000000000001,15.899999999999999,16.949999999999996,18.919999999999995
Planned Additional - Imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649999999999999,6.939999999999998,9.649999999999999,11.259999999999998,13.89,15.560000000000002,17.54,18.54,19.04,21.14,21.439999999999998,22.189999999999998,22.189999999999998
Existing Demand - Imports,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,23.81,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96
Imported Alumina,6.953235,7.038453,5.093697,4.586207733,5.1408664,4.312312779,1.88087572,5.01913829,3.8310656610000002,5.2764048180000005,4.653557365,2.93230901,2.809690128,0.0,1.0,1.0,1.5,2.0,2.5,2.8,3.5,3.5,3.5,3.5,3.5,3.5,3.5
domestic L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.58000000199999,45.857899999999994,32.51199999999999,26.008000000000003,19.796,17.099999999999994,14.27600000000001,12.25800000000001,11.600000000000009,11.599999999999994,11.099999999999994,11.0,11.0,10.5,10.019999999999996
CBIX US$45 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.58000000199999,45.857899999999994,43.22999999999999,38.685,32.03699999999999,26.124999999999993,23.177,18.756,16.275000000000006,14.650000000000006,12.85499999999999,11.899999999999991,11.899999999999991,11.399999999999991,11.299999999999997
CBIX US$55 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.58000000199999,45.857899999999994,44.13499999999999,44.065,39.19,35.464999999999996,30.990000000000002,26.050000000000004,24.40500000000001,22.049999999999997,21.044999999999995,20.14999999999999,18.5,15.169999999999987,14.534999999999997
CBIX US$65 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.58000000199999,45.857899999999994,44.489999999999995,45.1,43.945,42.074999999999996,36.75,32.220000000000006,28.890000000000008,27.200000000000003,26.999999999999993,24.89999999999999,21.799999999999997,20.0,17.930000000000007
Demand L,15.320689000000002,20.735471,24.82890881,27.18896699,28.91520898,33.25230107,35.75087572,46.86913829,50.33106566,55.83640482,61.77516637,63.20873601,72.19969013,70.8179,75.1,78.0,80.8,83.1,85.0,86.5,87.4,87.5,87.6,87.6,87.6,87.6,87.5
