Exporter,Importer,Importer.Exporter Combination,2019_10,2019_11,2019_12,Total
India,Algeria,Algeria_India,0,4.166666666666667e-06,4.166666666666667e-06,8.333333333333334e-06
Spain,Algeria,Algeria_Spain,0,0,0,0.0
Brazil,Argentina,Argentina_Brazil,0.0014420820000000001,0.002505274,0.00146838,0.005415736
India,Argentina,Argentina_India,7.5e-05,6.666666666666666e-05,6.666666666666666e-05,0.00020833333333333332
Spain,Argentina,Argentina_Spain,0,0,0,0.0
Brazil,Australia,Australia_Brazil,0,0,5.5989166666666674e-06,5.5989166666666674e-06
Canada,Australia,Australia_Canada,5.6999e-05,0,0.0,5.6999e-05
China,Australia,Australia_China,0.000189862,0.000303418,0.00047022308333333337,0.0009635030833333334
Denmark,Australia,Australia_Denmark,0,0,1.0416666666666668e-07,1.0416666666666668e-07
Germany,Australia,Australia_Germany,5.505e-05,1.0916666666666665e-05,1.2334374999999998e-05,7.830104166666667e-05
Guyana,Australia,Australia_Guyana,0,0.00015276500000000002,2.561375e-05,0.00017837875000000002
India,Australia,Australia_India,0,5.416666666666668e-06,3.5416666666666673e-06,8.958333333333335e-06
Malaysia,Australia,Australia_Malaysia,3.3e-07,0,0.0,3.3e-07
Netherlands,Australia,Australia_Netherlands,0,0,8.333333333333333e-08,8.333333333333333e-08
Spain,Australia,Australia_Spain,0,0,9.791666666666666e-08,9.791666666666666e-08
Suriname,Australia,Australia_Suriname,0,0,0.0,0.0
United Arab Emirates,Australia,Australia_United Arab Emirates,7e-07,0,0.0,7e-07
United States,Australia,Australia_United States,9.98e-07,0,1.3031666666666669e-06,2.3011666666666667e-06
Germany,Austria,Austria_Germany,0.000131,0.00011858333333333333,0.00011858333333333333,0.00036816666666666665
Turkey,Austria,Austria_Turkey,0,1.4402e-05,1e-06,1.5402e-05
Russia,Azerbaijan,Azerbaijan_Russia,0,0,4.166666666666667e-07,4.166666666666667e-07
China,Bangladesh,Bangladesh_China,0,0,0,0.0
India,Bangladesh,Bangladesh_India,0.0001,1.575e-05,1.575e-05,0.0001315
Russia,Belarus,Belarus_Russia,0,0,2.5208333333333334e-07,2.5208333333333334e-07
Brazil,Belgium,Belgium_Brazil,0,0,0,0.0
France,Belgium,Belgium_France,0.001139,8e-06,0.000742,0.001889
Germany,Belgium,Belgium_Germany,2.4e-05,1.1333333333333334e-05,1.1333333333333334e-05,4.666666666666667e-05
Greece,Belgium,Belgium_Greece,0.02203,0,0,0.02203
India,Belgium,Belgium_India,0.0001,3.3333333333333335e-05,3.3333333333333335e-05,0.0001666666666666667
United States,Belgium,Belgium_United States,0,0,0,0.0
Turkey,Benin,Benin_Turkey,0,0,0.0022916666666666667,0.0022916666666666667
Brazil,Bolivia,Bolivia_Brazil,0,0,0.00035476999999999997,0.00035476999999999997
Montenegro,Bosnia & Herzegovina,Bosnia & Herzegovina_Montenegro,0.0020764900000000003,0.0020207000000000003,0.010489697083333334,0.014586887083333335
Canada,Brazil,Brazil_Canada,0,0,0,0.0
China,Brazil,Brazil_China,0.000166,0.000200105,5e-05,0.00041610500000000006
Germany,Brazil,Brazil_Germany,0,1.125e-05,1.125e-05,2.25e-05
Ghana,Brazil,Brazil_Ghana,0.025008227458333334,5e-05,0.025483227458333334,0.05054145491666667
Guyana,Brazil,Brazil_Guyana,0.000203201,0,0.000197876,0.000401077
Hong Kong,Brazil,Brazil_Hong Kong,0.00028799999999999995,9.6e-05,0,0.00038399999999999996
India,Brazil,Brazil_India,5e-05,1.0416666666666666e-05,1.0416666666666666e-05,7.083333333333334e-05
Japan,Brazil,Brazil_Japan,0,0,0,0.0
Singapore,Brazil,Brazil_Singapore,0,0,0,0.0
Spain,Brazil,Brazil_Spain,2.3e-05,2.959e-05,4.583333333333333e-05,9.842333333333332e-05
Turkey,Brazil,Brazil_Turkey,0,0,6.2499999999999995e-06,6.2499999999999995e-06
United States,Brazil,Brazil_United States,0,0,0,0.0
India,Bulgaria,Bulgaria_India,0,1.3333333333333335e-05,1.3333333333333335e-05,2.666666666666667e-05
Brazil,Canada,Canada_Brazil,0.33946750000000003,0.21162399999999998,0.1344995,0.6855910000000001
Chile,Canada,Canada_Chile,0,0,0,0.0
China,Canada,Canada_China,0.000435,8.7e-05,6.8e-05,0.00059
France,Canada,Canada_France,0,0,0,0.0
Ghana,Canada,Canada_Ghana,0.004889118333333334,0.02821819,0.004889118333333334,0.037996426666666666
