Shanxi,index,month,Date,Shandong,Henan
3150,0,2018 01,01-26-2018,2350,3000
2950,1,2018 02,02-02-2018,2350,2850
2950,2,2018 02,02-09-2018,2350,2850
2950,3,2018 02,02-16-2018,2350,2850
2950,4,2018 02,02-23-2018,2350,2850
3150,5,2018 03,03-02-2018,2650,3150
3450,6,2018 03,03-09-2018,2850,3350
3575,7,2018 03,03-16-2018,3000,3500
3575,8,2018 03,03-23-2018,2950,3500
3575,9,2018 04,03-30-2018,2950,3500
3575,10,2018 04,04-06-2018,2900,3500
3575,11,2018 04,04-13-2018,2800,3500
3575,12,2018 04,04-20-2018,2800,3500
3575,13,2018 04,04-27-2018,2800,3500
3575,14,2018 05,05-04-2018,2800,3500
3575,15,2018 05,05-11-2018,2800,3500
3275,16,2018 05,05-18-2018,2750,3200
3275,17,2018 05,05-25-2018,2750,3200
3275,18,2018 06,06-01-2018,2750,3200
3175,19,2018 06,06-08-2018,2750,3100
3075,20,2018 06,06-15-2018,2600,3000
3075,21,2018 06,06-22-2018,2600,3000
3075,22,2018 07,06-29-2018,2600,3000
3075,23,2018 07,07-06-2018,2600,3000
3075,24,2018 07,07-13-2018,2600,3000
3075,25,2018 07,07-20-2018,2600,3000
3075,26,2018 07,07-27-2018,2600,3000
3075,27,2018 08,08-03-2018,2600,3000
3075,28,2018 08,08-10-2018,2600,3000
3075,29,2018 08,08-17-2018,2600,3000
3075,30,2018 08,08-24-2018,2600,3000
3225,31,2018 09,08-31-2018,2700,3200
3225,32,2018 09,09-07-2018,2700,3200
3225,33,2018 09,09-14-2018,2700,3200
3225,34,2018 09,09-21-2018,2700,3200
3225,35,2018 09,09-28-2018,2700,3200
3225,36,2018 10,10-05-2018,2700,3200
3225,37,2018 10,10-12-2018,2700,3200
3225,38,2018 10,10-19-2018,2700,3200
3225,39,2018 10,10-26-2018,2700,3200
3225,40,2018 11,11-02-2018,2700,3200
3225,41,2018 11,11-09-2018,2700,3200
3225,42,2018 11,11-16-2018,2700,3200
3225,43,2018 11,11-23-2018,2700,3200
3025,44,2018 12,11-30-2018,2700,3000
3025,45,2018 12,12-07-2018,2700,3000
3025,46,2018 12,12-14-2018,2700,3000
3025,47,2018 12,12-21-2018,2700,3000
3025,48,2018 12,12-28-2018,2700,3000
2925,49,2019 01,01-04-2019,2650,2900
2925,50,2019 01,01-11-2019,2600,2900
2925,51,2019 01,01-18-2019,2600,2900
2925,52,2019 01,01-25-2019,2500,2900
2925,53,2019 02,02-15-2019,2500,2900
2925,54,2019 02,02-22-2019,2500,2900
2900,55,2019 03,03-01-2019,2500,2800
2900,56,2019 03,03-08-2019,2500,2800
2900,57,2019 03,03-15-2019,2500,2800
2900,58,2019 03,03-22-2019,2500,2800
2750,59,2019 03,03-29-2019,2450,2750
2750,60,2019 04,04-05-2019,2450,2750
2650,61,2019 04,04-12-2019,2350,2550
2650,62,2019 04,04-19-2019,2350,2550
2650,63,2019 04,04-26-2019,2350,2550
2650,64,2019 05,05-03-2019,2350,2550
2650,65,2019 05,05-10-2019,2350,2550
2650,66,2019 05,05-17-2019,2350,2550
2650,67,2019 05,05-24-2019,2350,2550
2650,68,2019 06,05-31-2019,2350,2550
2650,69,2019 06,06-07-2019,2350,2550
2450,70,2019 06,06-14-2019,2350,2250
2450,71,2019 06,06-21-2019,2350,2250
2450,72,2019 06,06-28-2019,2350,2250
2450,73,2019 07,07-05-2019,2350,2350
2450,74,2019 07,07-12-2019,2350,2350
2450,75,2019 07,07-19-2019,2350,2350
2450,76,2019 07,07-26-2019,2350,2350
2250,77,2019 08,08-02-2019,2350,2350
2250,78,2019 08,08-09-2019,2350,2250
2250,79,2019 08,08-16-2019,2350,2250
2250,80,2019 08,08-23-2019,2350,2300
2250,81,2019 09,08-30-2019,2350,2300
2150,82,2019 09,09-06-2019,2350,2300
2150,83,2019 09,09-13-2019,2350,2300
2150,84,2019 09,09-20-2019,2500,2300
2350,85,2019 09,09-27-2019,2500,2500
2350,86,2019 10,10-04-2019,2500,2500
2350,87,2019 10,10-11-2019,2500,2550
2350,88,2019 10,10-18-2019,2500,2550
2350,89,2019 10,10-25-2019,2500,2550
2250,90,2019 11,11-01-2019,2450,2450
2250,91,2019 11,11-08-2019,2250,2250
2250,92,2019 11,11-15-2019,2230,2250
2250,93,2019 11,11-22-2019,2200,2250
2250,94,2019 12,11-29-2019,2200,2250
2150,95,2019 12,12-06-2019,2200,2050
2150,96,2019 12,12-13-2019,2100,2050
2150,97,2019 12,12-20-2019,1900,2050
2150,98,2019 12,12-27-2019,1900,2050
