date,CBIX1,CBIX2,index,day
2011-07-01,51.0,51.0,1,Friday
2011-07-02,51.0,0.0,2,Saturday
2011-07-03,51.0,0.0,3,Sunday
2011-07-04,44.5,0.0,4,Monday
2011-07-05,45.3,0.0,5,Tuesday
2011-07-06,45.3,0.0,6,Wednesday
2011-07-07,46.0,0.0,7,Thursday
2011-07-08,45.9,45.9,8,Friday
2011-07-09,45.9,0.0,9,Saturday
2011-07-10,45.9,0.0,10,Sunday
2011-07-11,46.8,0.0,11,Monday
2011-07-12,45.5,0.0,12,Tuesday
2011-07-13,47.2,0.0,13,Wednesday
2011-07-14,47.1,0.0,14,Thursday
2011-07-15,47.1,47.1,15,Friday
2011-07-16,47.1,0.0,16,Saturday
2011-07-17,47.1,0.0,17,Sunday
2011-07-18,48.2,0.0,18,Monday
2011-07-19,48.1,0.0,19,Tuesday
2011-07-20,47.4,0.0,20,Wednesday
2011-07-21,47.4,0.0,21,Thursday
2011-07-22,45.9,45.9,22,Friday
2011-07-23,45.9,0.0,23,Saturday
2011-07-24,45.9,0.0,24,Sunday
2011-07-25,45.6,0.0,25,Monday
2011-07-26,46.3,0.0,26,Tuesday
2011-07-27,45.8,0.0,27,Wednesday
2011-07-28,45.6,0.0,28,Thursday
2011-07-29,45.9,45.9,29,Friday
2011-07-30,45.9,0.0,30,Saturday
2011-07-31,45.5,0.0,31,Sunday
2011-08-01,45.8,0.0,32,Monday
2011-08-02,45.0,0.0,33,Tuesday
2011-08-03,45.7,0.0,34,Wednesday
2011-08-04,45.4,0.0,35,Thursday
2011-08-05,46.1,46.1,36,Friday
2011-08-06,45.9,0.0,37,Saturday
2011-08-07,46.0,0.0,38,Sunday
2011-08-08,46.0,0.0,39,Monday
2011-08-09,46.4,0.0,40,Tuesday
2011-08-10,45.9,0.0,41,Wednesday
2011-08-11,46.4,0.0,42,Thursday
2011-08-12,46.1,46.1,43,Friday
2011-08-13,46.2,0.0,44,Saturday
2011-08-14,46.1,0.0,45,Sunday
2011-08-15,46.3,0.0,46,Monday
2011-08-16,45.8,0.0,47,Tuesday
2011-08-17,45.1,0.0,48,Wednesday
2011-08-18,44.6,0.0,49,Thursday
2011-08-19,45.2,45.2,50,Friday
2011-08-20,45.1,0.0,51,Saturday
2011-08-21,46.0,0.0,52,Sunday
2011-08-22,46.0,0.0,53,Monday
2011-08-23,46.0,0.0,54,Tuesday
2011-08-24,45.4,0.0,55,Wednesday
2011-08-25,44.9,0.0,56,Thursday
2011-08-26,45.5,45.5,57,Friday
2011-08-27,45.6,0.0,58,Saturday
2011-08-28,45.4,0.0,59,Sunday
2011-08-29,45.7,0.0,60,Monday
2011-08-30,45.7,0.0,61,Tuesday
2011-08-31,46.1,0.0,62,Wednesday
2011-09-01,47.0,0.0,63,Thursday
2011-09-02,46.2,46.2,64,Friday
2011-09-03,46.3,0.0,65,Saturday
2011-09-04,45.7,0.0,66,Sunday
2011-09-05,46.6,0.0,67,Monday
2011-09-06,46.6,0.0,68,Tuesday
2011-09-07,46.5,0.0,69,Wednesday
2011-09-08,46.2,0.0,70,Thursday
2011-09-09,46.3,46.3,71,Friday
2011-09-10,46.3,0.0,72,Saturday
2011-09-11,45.9,0.0,73,Sunday
2011-09-12,45.9,0.0,74,Monday
2011-09-13,46.8,0.0,75,Tuesday
2011-09-14,46.2,0.0,76,Wednesday
2011-09-15,46.5,0.0,77,Thursday
2011-09-16,46.4,46.4,78,Friday
2011-09-17,47.0,0.0,79,Saturday
2011-09-18,46.8,0.0,80,Sunday
2011-09-19,46.9,0.0,81,Monday
2011-09-20,47.1,0.0,82,Tuesday
2011-09-21,47.2,0.0,83,Wednesday
2011-09-22,47.4,0.0,84,Thursday
2011-09-23,49.4,49.4,85,Friday
2011-09-24,49.4,0.0,86,Saturday
2011-09-25,49.4,0.0,87,Sunday
2011-09-26,49.7,0.0,88,Monday
2011-09-27,49.7,0.0,89,Tuesday
2011-09-28,49.2,0.0,90,Wednesday
2011-09-29,48.7,0.0,91,Thursday
2011-09-30,48.2,48.2,92,Friday
2011-10-01,48.2,0.0,93,Saturday
2011-10-02,48.8,0.0,94,Sunday
2011-10-03,48.8,0.0,95,Monday
2011-10-04,48.8,0.0,96,Tuesday
2011-10-05,48.2,0.0,97,Wednesday
2011-10-06,48.2,0.0,98,Thursday
2011-10-07,48.4,48.4,99,Friday
2011-10-08,48.9,0.0,100,Saturday
2011-10-09,48.1,0.0,101,Sunday
2011-10-10,48.2,0.0,102,Monday
2011-10-11,47.9,0.0,103,Tuesday
2011-10-12,47.6,0.0,104,Wednesday
2011-10-13,46.6,0.0,105,Thursday
2011-10-14,47.2,47.2,106,Friday
2011-10-15,47.3,0.0,107,Saturday
2011-10-16,47.6,0.0,108,Sunday
2011-10-17,47.6,0.0,109,Monday
2011-10-18,48.4,0.0,110,Tuesday
2011-10-19,48.4,0.0,111,Wednesday
2011-10-20,47.8,0.0,112,Thursday
2011-10-21,48.4,48.4,113,Friday
2011-10-22,48.2,0.0,114,Saturday
2011-10-23,47.4,0.0,115,Sunday
2011-10-24,47.8,0.0,116,Monday
2011-10-25,48.0,0.0,117,Tuesday
2011-10-26,47.6,0.0,118,Wednesday
2011-10-27,47.0,0.0,119,Thursday
2011-10-28,47.4,47.4,120,Friday
2011-10-29,47.8,0.0,121,Saturday
2011-10-30,47.8,0.0,122,Sunday
2011-10-31,48.0,0.0,123,Monday
2011-11-01,47.4,0.0,124,Tuesday
2011-11-02,47.4,0.0,125,Wednesday
2011-11-03,47.4,0.0,126,Thursday
2011-11-04,47.8,47.8,127,Friday
2011-11-05,47.8,0.0,128,Saturday
2011-11-06,47.8,0.0,129,Sunday
2011-11-07,47.3,0.0,130,Monday
