Shanxi 4.5 - 5.0,domestic_price_data_id,date,Henan 4.0 - 5.0,Guizhou 5.5 - 6.5,index
365.0,1,07-07-2017,345.8333333,250.0,0
370.0,2,14-07-2017,330.8333333,250.0,1
370.0,3,21-07-2017,330.8333333,250.0,2
370.0,4,28-07-2017,330.8333333,250.0,3
385.0,5,04-08-2017,363.3333333,250.0,4
385.0,6,11-08-2017,363.3333333,250.0,5
385.0,7,18-08-2017,363.3333333,250.0,6
385.0,8,25-08-2017,361.6666667,250.0,7
385.0,9,01-09-2017,361.6666667,250.0,8
390.0,10,08-09-2017,382.5,245.0,9
382.5,11,15-09-2017,382.5,245.0,10
382.5,12,22-09-2017,382.5,255.0,11
382.5,13,29-09-2017,382.5,255.0,12
382.5,14,06-10-2017,382.5,255.0,13
380.0,15,13-10-2017,357.5,255.0,14
390.0,16,20-10-2017,377.5,255.0,15
390.0,17,27-10-2017,397.5,255.0,16
390.0,18,03-11-2017,417.5,265.0,17
430.0,19,10-11-2017,492.5,262.5,18
430.0,20,17-11-2017,492.5,302.5,19
430.0,21,24-11-2017,482.5,302.5,20
430.0,22,01-12-2017,482.5,302.5,21
430.0,23,08-12-2017,478.33333330000005,302.5,22
400.0,24,15-12-2017,398.3333333,282.5,23
400.0,25,22-12-2017,388.3333333,282.5,24
400.0,26,29-12-2017,388.3333333,282.5,25
365.0,27,05-01-2018,370.0,280.0,26
365.0,28,12-01-2018,370.0,280.0,27
365.0,29,19-01-2018,370.0,280.0,28
365.0,30,26-01-2018,370.0,280.0,29
365.0,31,02-02-2018,370.0,280.0,30
365.0,32,09-02-2018,370.0,280.0,31
365.0,33,16-02-2018,370.0,280.0,32
365.0,34,23-02-2018,370.0,275.0,33
365.0,35,02-03-2018,361.6666667,265.0,34
375.0,36,09-03-2018,381.6666667,295.0,35
375.0,37,16-03-2018,381.6666667,290.0,36
375.0,38,23-03-2018,381.6666667,290.0,37
375.0,39,30-03-2018,381.6666667,290.0,38
375.0,40,06-04-2018,381.6666667,290.0,39
402.5,41,13-04-2018,416.6666667,290.0,40
402.5,42,20-04-2018,416.6666667,290.0,41
402.5,43,27-04-2018,416.6666667,297.5,42
410.0,44,04-05-2018,410.0,300.0,43
410.0,45,11-05-2018,410.0,300.0,44
425.0,46,18-05-2018,435.0,305.0,45
432.5,47,25-05-2018,435.0,325.0,46
432.5,48,01-06-2018,435.0,325.0,47
432.5,49,08-06-2018,435.0,325.0,48
442.5,50,15-06-2018,435.0,325.0,49
442.5,51,22-06-2018,435.0,325.0,50
442.5,52,29-06-2018,435.0,325.0,51
475.0,53,06-07-2018,445.0,325.0,52
475.0,54,13-07-2018,445.0,325.0,53
500.0,55,20-07-2018,465.0,325.0,54
500.0,56,27-07-2018,465.0,325.0,55
500.0,57,03-08-2018,465.0,325.0,56
500.0,58,10-08-2018,465.0,325.0,57
500.0,59,17-08-2018,465.0,325.0,58
500.0,60,24-08-2018,465.0,325.0,59
500.0,61,31-08-2018,465.0,325.0,60
520.0,62,07-09-2018,485.0,325.0,61
520.0,63,14-09-2018,485.0,325.0,62
540.0,64,21-09-2018,515.0,335.0,63
540.0,65,28-09-2018,515.0,335.0,64
540.0,66,05-10-2018,515.0,335.0,65
540.0,67,12-10-2018,515.0,335.0,66
552.5,68,19-10-2018,540.0,335.0,67
552.5,69,26-10-2018,540.0,335.0,68
552.5,70,02-11-2018,540.0,335.0,69
552.5,71,09-11-2018,540.0,335.0,70
552.5,72,16-11-2018,540.0,335.0,71
552.5,73,23-11-2018,540.0,335.0,72
575.0,74,30-11-2018,540.0,365.0,73
575.0,75,07-12-2018,560.0,365.0,74
575.0,76,14-12-2018,560.0,365.0,75
575.0,77,21-12-2018,560.0,365.0,76
555.0,78,28-12-2018,540.0,345.0,77
525.0,79,04-01-2019,520.0,345.0,78
525.0,80,11-01-2019,520.0,345.0,79
525.0,81,18-01-2019,520.0,345.0,80
525.0,82,25-01-2019,520.0,345.0,81
515.0,83,15-02-2019,490.0,345.0,82
515.0,84,22-02-2019,490.0,345.0,83
515.0,85,01-03-2019,490.0,345.0,84
515.0,86,08-03-2019,490.0,345.0,85
515.0,87,15-03-2019,490.0,345.0,86
515.0,88,22-03-2019,490.0,345.0,87
515.0,89,29-03-2019,465.0,345.0,88
515.0,90,05-04-2019,465.0,345.0,89
515.0,91,12-04-2019,465.0,345.0,90
515.0,92,19-04-2019,465.0,345.0,91
505.0,93,26-04-2019,440.0,345.0,92
505.0,94,03-05-2019,440.0,345.0,93
505.0,95,10-05-2019,440.0,345.0,94
505.0,96,17-05-2019,440.0,345.0,95
505.0,97,24-05-2019,440.0,345.0,96
505.0,98,31-05-2019,440.0,345.0,97
505.0,99,07-06-2019,475.0,345.0,98
505.0,100,14-06-2019,475.0,345.0,99
505.0,101,21-06-2019,475.0,345.0,100
505.0,102,28-06-2019,475.0,375.0,101
505.0,103,05-07-2019,475.0,375.0,102
505.0,104,12-07-2019,475.0,375.0,103
505.0,105,19-07-2019,475.0,375.0,104
505.0,106,26-07-2019,475.0,375.0,105
505.0,107,02-08-2019,465.0,375.0,106
505.0,108,09-08-2019,465.0,375.0,107
505.0,109,16-08-2019,465.0,375.0,108
505.0,110,23-08-2019,465.0,375.0,109
495.0,111,30-08-2019,435.0,375.0,110
495.0,112,06-09-2019,435.0,375.0,111
495.0,113,13-09-2019,435.0,375.0,112
495.0,114,20-09-2019,435.0,375.0,113
495.0,115,27-09-2019,435.0,375.0,114
495.0,116,04-10-2019,435.0,375.0,115
515.0,117,11-10-2019,435.0,375.0,116
515.0,118,18-10-2019,435.0,375.0,117
515.0,119,25-10-2019,435.0,375.0,118
515.0,120,01-11-2019,435.0,375.0,119
515.0,121,08-11-2019,435.0,375.0,120
515.0,122,15-11-2019,435.0,375.0,121
515.0,123,22-11-2019,435.0,375.0,122
515.0,124,29-11-2019,435.0,375.0,123
515.0,125,06-12-2019,435.0,375.0,124
515.0,126,13-12-2019,435.0,375.0,125
495.0,127,20-12-2019,425.0,375.0,126
495.0,128,27-12-2019,425.0,375.0,127
495.0,129,03-01-2020,425.0,375.0,128
495.0,130,10-01-2020,425.0,375.0,129
495.0,131,17-01-2020,425.0,375.0,130
495.0,132,24-01-2020,425.0,375.0,131
495.0,133,31-01-2020,425.0,375.0,132
495.0,134,07-02-2020,425.0,375.0,133
495.0,135,14-02-2020,425.0,375.0,134
495.0,136,21-02-2020,425.0,375.0,135
495.0,137,28-02-2020,425.0,375.0,136
495.0,138,06-03-2020,425.0,375.0,137
495.0,139,13-03-2020,425.0,375.0,138
495.0,140,20-03-2020,425.0,375.0,139
495.0,141,27-03-2020,425.0,375.0,140
455.0,142,03-04-2020,385.0,375.0,141
455.0,143,10-04-2020,385.0,375.0,142
415.0,144,17-04-2020,385.0,375.0,143
415.0,145,24-04-2020,385.0,375.0,144
415.0,146,01-05-2020,385.0,345.0,145
415.0,147,08-05-2020,385.0,345.0,146
385.0,148,15-05-2020,345.0,325.0,147
385.0,149,22-05-2020,345.0,325.0,148
385.0,150,29-05-2020,345.0,325.0,149
385.0,151,05-06-2020,345.0,325.0,150
385.0,152,12-06-2020,345.0,325.0,151
385.0,153,19-06-2020,345.0,325.0,152
385.0,154,26-06-2020,345.0,325.0,153
405.0,155,03-07-2020,345.0,325.0,154
405.0,156,10-07-2020,345.0,325.0,155
405.0,157,17-07-2020,345.0,325.0,156
405.0,158,24-07-2020,345.0,325.0,157
405.0,159,31-07-2020,345.0,325.0,158
405.0,160,07-08-2020,345.0,325.0,159
405.0,161,14-08-2020,345.0,325.0,160
