,Month,AUS HT,AUS LT,SMB,Indonesia,Brazil
0,"Wednesday,March 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
1,"Saturday,April 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
2,"Monday,May 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
3,"Thursday,June 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
4,"Saturday,July 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
5,"Tuesday,August 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
6,"Friday,September 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
7,"Sunday,October 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
8,"Wednesday,November 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
9,"Friday,December 1,2017",#N/A,#N/A,#N/A,#N/A,#N/A
10,"Monday,January 1,2018",#N/A,#N/A,#N/A,#N/A,#N/A
11,"Thursday,February 1,2018",#N/A,#N/A,#N/A,#N/A,#N/A
12,"Thursday,March 1,2018",#N/A,#N/A,#N/A,#N/A,#N/A
13,"Sunday,April 1,2018",49.26591767,46.82603898,56.69080621,50.25168652,#N/A
14,"Tuesday,May 1,2018",46.42770626,47.59270211,56.68082497,53.14747421,#N/A
15,"Friday,June 1,2018",48.08528896,45.37319006,57.32765728,52.28921809,66.2
16,"Sunday,July 1,2018",49.06894676,45.37178157,58.40574438,49.62552788,64.8
17,"Wednesday,August 1,2018",47.75491062,44.68933622,59.01777441,47.8016189,#N/A
18,"Saturday,September 1,2018",46.96027496,45.85775449,64.39292635,50.11876958,62.29148811
19,"Monday,October 1,2018",45.33479826,44.07209412,65.60648073,50.50577429,64.8
20,"Thursday,November 1,2018",50.57424908,45.83154324,60.62685425,52.48851117,65.1
21,"Saturday,December 1,2018",44.24218853,44.3470032,60.94135369,49.96408354,65.22122529
22,"Tuesday,January 1,2019",47.14340799,44.71208942,59.03068765,49.69292876,66.44790995
23,"Friday,February 1,2019",46.03518208,45.09357684,57.89001878,49.47481604,65.20851161
24,"Friday,March 1,2019",43.698952,46.88248849,60.02076597,50.05759923,64.9
25,"Monday,April 1,2019",44.05806089,45.73442839,61.49833469,49.55835445,65.5
26,"Wednesday,May 1,2019",43.47079779,44.00516523,56.80750677,49.44862184,65.10237747
27,"Saturday,June 1,2019",44.35742601,44.48908809,53.71633113,49.43057324,#N/A
28,"Monday,July 1,2019",44.60002067,44.01324873,52.93872048,46.74580493,#N/A
29,"Thursday,August 1,2019",45.5480002,43.6340059,54.96745137,46.63791821,65.4
30,"Sunday,September 1,2019",43.67081976,43.86512086,54.2056047,48.09185189,63.99794572
31,"Tuesday,October 1,2019",42.42588203,43.81896127,56.09752043,49.04208608,#N/A
32,"Friday,November 1,2019",43.0283787,43.4516751,53.76405018,51.22974585,64.00072295
33,"Sunday,December 1,2019",42.67871514,43.90753226,50.87737255,51.4210849,#N/A
34,"Wednesday,January 1,2020",43.18377953,43.98434241,48.7005305,50.96830272,#N/A
35,"Saturday,February 1,2020",43.42415415,44.16593388,49.53457789,48.5727744,#N/A
36,"Sunday,March 1,2020",#N/A,#N/A,#N/A,#N/A,#N/A
