,Date,RMB_per_US,AU_per_US,MONTH,RMB_per_US1,AU_per_US1
0,2011-06-30,6.47336,1.05426,6 2011,6.47336,1.05426
1,2011-07-07,6.46778,1.07156,7 2011,6.4625,1.075615
2,2011-07-14,6.4706,1.0694,7 2011,6.4625,1.075615
3,2011-07-21,6.46498,1.06744,7 2011,6.4625,1.075615
4,2011-07-28,6.44664,1.09406,7 2011,6.4625,1.075615
5,2011-08-04,6.44174,1.082,8 2011,6.414645,1.04983
6,2011-08-11,6.42498,1.0315,8 2011,6.414645,1.04983
7,2011-08-18,6.3957,1.04362,8 2011,6.414645,1.04983
8,2011-08-25,6.39616,1.0422,8 2011,6.414645,1.04983
9,2011-09-01,6.388325,1.0636,9 2011,6.386043,1.0317720000000001
10,2011-09-08,6.39408,1.05982,9 2011,6.386043,1.0317720000000001
11,2011-09-15,6.39485,1.03452,9 2011,6.386043,1.0317720000000001
12,2011-09-22,6.3805,1.02128,9 2011,6.386043,1.0317720000000001
13,2011-09-29,6.37246,0.97964,9 2011,6.386043,1.0317720000000001
14,2011-10-06,6.36664,0.96165,10 2011,6.362825,1.0046375
15,2011-10-13,6.3601,0.9941200000000001,10 2011,6.362825,1.0046375
16,2011-10-20,6.372,1.0238,10 2011,6.362825,1.0046375
17,2011-10-27,6.35256,1.03898,10 2011,6.362825,1.0046375
18,2011-11-03,6.32622,1.04464,11 2011,6.3364,1.019685
19,2011-11-10,6.3232,1.03156,11 2011,6.3364,1.019685
20,2011-11-17,6.34232,1.01624,11 2011,6.3364,1.019685
21,2011-11-24,6.35386,0.9863,11 2011,6.3364,1.019685
22,2011-12-01,6.35122,0.9949,12 2011,6.333444,1.007834666666666
23,2011-12-08,6.33292,1.02296,12 2011,6.333444,1.007834666666666
24,2011-12-15,6.33632,1.00604,12 2011,6.333444,1.007834666666666
25,2011-12-22,6.33014,1.00104,12 2011,6.333444,1.007834666666666
26,2011-12-29,6.31662,1.01423333333333,12 2011,6.333444,1.007834666666666
27,2012-01-05,6.30416666666667,1.02815,1 2012,6.317436973999502,1.0337625000000001
28,2012-01-12,6.319338250854419,1.02564,1 2012,6.317436973999502,1.0337625000000001
29,2012-01-19,6.32370677903078,1.0354,1 2012,6.317436973999502,1.0337625000000001
30,2012-01-26,6.322536199446139,1.04586,1 2012,6.317436973999502,1.0337625000000001
31,2012-02-02,6.30920356070419,1.06332,2 2012,6.302402405358195,1.07029
32,2012-02-09,6.30772107687213,1.0754,2 2012,6.302402405358195,1.07029
33,2012-02-16,6.29532498385646,1.07102,2 2012,6.302402405358195,1.07029
34,2012-02-23,6.29736,1.07142,2 2012,6.302402405358195,1.07029
35,2012-03-01,6.29692,1.07566,3 2012,6.306708,1.0582799999999999
36,2012-03-08,6.3138,1.0653,3 2012,6.306708,1.0582799999999999
37,2012-03-15,6.32602,1.05516,3 2012,6.306708,1.0582799999999999
38,2012-03-22,6.30814,1.0520200000000002,3 2012,6.306708,1.0582799999999999
39,2012-03-29,6.28866,1.04326,3 2012,6.306708,1.0582799999999999
40,2012-04-05,6.2989,1.03562,4 2012,6.2977099999999995,1.0343641666666676
41,2012-04-12,6.30286,1.03286666666667,4 2012,6.2977099999999995,1.0343641666666676
42,2012-04-19,6.29374,1.03602,4 2012,6.2977099999999995,1.0343641666666676
43,2012-04-26,6.29534,1.03295,4 2012,6.2977099999999995,1.0343641666666676
44,2012-05-03,6.2718,1.03616,5 2012,6.302344,1.002624
45,2012-05-10,6.28378,1.01568,5 2012,6.302344,1.002624
46,2012-05-17,6.3108,0.99868,5 2012,6.302344,1.002624
47,2012-05-24,6.31714,0.98264,5 2012,6.302344,1.002624
48,2012-05-31,6.3282,0.97996,5 2012,6.302344,1.002624
49,2012-06-07,6.3248,0.9792,6 2012,6.31755,0.99725
50,2012-06-14,6.32222,0.9913,6 2012,6.31755,0.99725
51,2012-06-21,6.30308,1.0124,6 2012,6.31755,0.99725
52,2012-06-28,6.3201,1.0061,6 2012,6.31755,0.99725
53,2012-07-05,6.31774,1.025,7 2012,6.322114999999999,1.026065
54,2012-07-12,6.32234,1.0202,7 2012,6.322114999999999,1.026065
55,2012-07-19,6.31776,1.02762,7 2012,6.322114999999999,1.026065
56,2012-07-26,6.33062,1.03144,7 2012,6.322114999999999,1.026065
57,2012-08-02,6.3329,1.04812,8 2012,6.3391280000000005,1.047847
58,2012-08-09,6.33742,1.055075,8 2012,6.3391280000000005,1.047847
59,2012-08-16,6.34646,1.05088,8 2012,6.3391280000000005,1.047847
60,2012-08-23,6.34018,1.04704,8 2012,6.3391280000000005,1.047847
61,2012-08-30,6.33868,1.03812,8 2012,6.3391280000000005,1.047847
62,2012-09-06,6.3433,1.02548,9 2012,6.33953,1.03865
63,2012-09-13,6.33742,1.03894,9 2012,6.33953,1.03865
64,2012-09-20,6.33402,1.04848,9 2012,6.33953,1.03865
65,2012-09-27,6.34338,1.0417,9 2012,6.33953,1.03865
66,2012-10-04,6.34306,1.0301,10 2012,6.32573375,1.0290150000000002
67,2012-10-11,6.342675,1.02322,10 2012,6.32573375,1.0290150000000002
68,2012-10-18,6.31062,1.02892,10 2012,6.32573375,1.0290150000000002
69,2012-10-25,6.30658,1.0338200000000002,10 2012,6.32573375,1.0290150000000002
70,2012-11-01,6.30098,1.03522,11 2012,6.29646,1.0399319999999999
71,2012-11-08,6.30664,1.04098,11 2012,6.29646,1.0399319999999999
72,2012-11-15,6.29218,1.04132,11 2012,6.29646,1.0399319999999999
73,2012-11-22,6.29344,1.03688,11 2012,6.29646,1.0399319999999999
74,2012-11-29,6.28906,1.04526,11 2012,6.29646,1.0399319999999999
75,2012-12-06,6.28934,1.04448,12 2012,6.28995,1.0468733333333324
76,2012-12-13,6.29102,1.05016,12 2012,6.28995,1.0468733333333324
77,2012-12-20,6.28874,1.05242,12 2012,6.28995,1.0468733333333324
78,2012-12-27,6.2907,1.04043333333333,12 2012,6.28995,1.0468733333333324
79,2013-01-03,6.2923,1.043075,1 2013,6.281716571428572,1.048783
80,2013-01-10,6.28534285714286,1.0487799999999998,1 2013,6.281716571428572,1.048783
81,2013-01-17,6.2722,1.05522,1 2013,6.281716571428572,1.048783
82,2013-01-24,6.27724,1.05274,1 2013,6.281716571428572,1.048783
83,2013-01-31,6.2815,1.0441,1 2013,6.281716571428572,1.048783
84,2013-02-07,6.28616,1.03778,2 2013,6.28469375,1.03192
85,2013-02-14,6.28564,1.031,2 2013,6.28469375,1.03192
86,2013-02-21,6.282175,1.0317,2 2013,6.28469375,1.03192
87,2013-02-28,6.2848,1.0272,2 2013,6.28469375,1.03192
88,2013-03-07,6.27894,1.0225,3 2013,6.274665000000001,1.03331
89,2013-03-14,6.2746,1.02846,3 2013,6.274665000000001,1.03331
90,2013-03-21,6.27338,1.03758,3 2013,6.274665000000001,1.03331
91,2013-03-28,6.27174,1.0447,3 2013,6.274665000000001,1.03331
