MONTH KEY,ANALYZED REGION KEY,MONTHLY AVERAGE CIF PRICE,MONTHLY AVERAGE CFR PRICE,MONTHLY AVERAGE VIU CFR PRICE
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 20180,0,0,0,0
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 20180,0,0,0,0
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 20180,0,0,0,0
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 20180,0,0,0,0
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018Indonesia,Indonesia,50.25168651526843,50.101382368163954,43.47371864885997
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS LT,AUS LT,46.82603898055266,46.685981037440335,46.17956386758188
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
4 2018SMB,SMB,56.69080621303233,56.5212424855756,52.79775963034499
4 20180,0,0,0,0
4 2018AUS HT,AUS HT,49.26591767027833,49.118561984325346,65.86861936852836
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 20180,0,0,0,0
5 20180,0,0,0,0
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 20180,0,0,0,0
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 20180,0,0,0,0
5 20180,0,0,0,0
5 20180,0,0,0,0
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 20180,0,0,0,0
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 20180,0,0,0,0
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 20180,0,0,0,0
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 20180,0,0,0,0
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS LT,AUS LT,47.59270211175612,47.45035105858038,48.42085973990072
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
5 2018SMB,SMB,56.68082497274404,56.51129109944569,53.33596182453133
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 2018Indonesia,Indonesia,53.14747420835426,52.98850868230733,45.37198732267555
5 20180,0,0,0,0
5 2018AUS HT,AUS HT,46.42770625902017,46.288839739800764,62.18412479257677
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 20180,0,0,0,0
6 2018AUS LT,AUS LT,45.37319006446135,45.23747763156665,46.36247699721235
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 2018Indonesia,Indonesia,52.289218090639245,52.13281963174402,42.07770246165443
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 2018SMB,SMB,57.327657279659036,57.156188713518496,54.63805128141457
6 20180,0,0,0,0
6 2018AUS LT,AUS LT,45.37319006446135,45.23747763156665,46.36247699721235
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
6 2018AUS HT,AUS HT,48.08528896019763,47.941464566498155,64.25914715266163
