Line,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,Prices including VAT,,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,Prices excluding VAT,,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates,Price Rebates
Line,Denomination per m^3 (i.e. tonne),2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,*,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,*,Rebate Denomination per m^3 (i.e. tonne),2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4
Australia,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,AUD,,,,,,,,,,,,
Azerbaijan,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,New Manat,,,,,,,,,,,,
Bosnia,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,BAM,,,,,,,,,,,,
Brazil,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,Real,,,,,,,,,,,,
Canada,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,CAD,,,,,,,,,,,,
China,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,RMB,,,,,,,,,,,,
Dominican Republic,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,DOP,,,,,,,,,,,,
Fiji,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,FJD,,,,,,,,,,,,
France,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,EUR,,,,,,,,,,,,
Germany,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,EUR,,,,,,,,,,,,
Ghana,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,GHS,,,,,,,,,,,,
Greece,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,EUR,,,,,,,,,,,,
Guinea,USD,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,,,,,,,,,,,,,*,GNF,,,,,,,,,,,,
Guyana,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,GYD,,,,,,,,,,,,
Hungary,USD,,,,,,,,,,,,,*,,,,,,,,,,,,,*,HUF,,,,,,,,,,,,
