mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AGB2A,Guinea,LT Avail AA,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
AGB2A,Guinea,Total Alumina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AGB2A,Guinea,LT React. Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
AGB2A,Guinea,Total Silica,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
AGB2A,Guinea,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
AGB2A,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AGB2A,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
AGB2A,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
AGB2A,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
AGB2A,Guinea,quartz,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
AGB2A,Guinea,LT processing,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002,2.389486260454002
AGB2A,Guinea,HT-B processing,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815,2.314814814814815
AGB2A,Guinea,HT-D processing,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688,2.367844669389688
AGB2A,Guinea,LT processing,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
AGB2A,Guinea,HT-B processing,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667,0.02541666666666667
AGB2A,Guinea,HT-D processing,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532
AGB2A,Guinea,LT - Alumina,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004
