mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Al-Baitha,Saudi Arabia,LT Avail AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Baitha,Saudi Arabia,Total Alumina,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
Al-Baitha,Saudi Arabia,LT React. Silica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Baitha,Saudi Arabia,Total Silica,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
Al-Baitha,Saudi Arabia,Monhydrate,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
Al-Baitha,Saudi Arabia,Moisture,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Al-Baitha,Saudi Arabia,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Al-Baitha,Saudi Arabia,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Al-Baitha,Saudi Arabia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Al-Baitha,Saudi Arabia,quartz,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
Al-Baitha,Saudi Arabia,LT processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Baitha,Saudi Arabia,HT-B processing,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851,2.110372480742851
Al-Baitha,Saudi Arabia,HT-D processing,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866,2.399859848184866
Al-Baitha,Saudi Arabia,LT processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Baitha,Saudi Arabia,HT-B processing,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261,0.08262108262108261
Al-Baitha,Saudi Arabia,HT-D processing,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525,0.12527268407525
Al-Baitha,Saudi Arabia,LT - Alumina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Baitha,Saudi Arabia,HT-B - Alumina,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
Al-Baitha,Saudi Arabia,HT-D - Alumina,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
Al-Baitha,Saudi Arabia,LT - Silica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Baitha,Saudi Arabia,HT-B - Silica,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
Al-Baitha,Saudi Arabia,HT-D - Silica,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
Al-Baitha,Saudi Arabia,Moisture,0.07,,,,,,,,,,,,,,,,
Al-Baitha,Saudi Arabia,2015 C1 mining cost,14.0,14.0,12.52796231,12.97274351,12.98639633,13.00004914,,,,,,,,,,,
Al-Baitha,Saudi Arabia,Duties and royalties,9.0,9.0,8.053690057999999,8.339620831,8.348397639,8.357174447,,,,,,,,,,,
Al-Baitha,Saudi Arabia,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Al-Baitha,Saudi Arabia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Al-Baitha,Saudi Arabia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Al-Baitha,Saudi Arabia,% mining cost = diesel,,,,,,,,,,,,,,,,,
