mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AMC,Guinea,LT Avail AA,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458
AMC,Guinea,Total Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
AMC,Guinea,LT React. Silica,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
AMC,Guinea,Total Silica,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
AMC,Guinea,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
AMC,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AMC,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
AMC,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
AMC,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
AMC,Guinea,quartz,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
AMC,Guinea,LT processing,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194,2.4260067928190194
AMC,Guinea,HT-B processing,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278
AMC,Guinea,HT-D processing,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453,2.4390005951161453
AMC,Guinea,LT processing,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541,0.02620087336244541
AMC,Guinea,HT-B processing,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468,0.02902127659574468
AMC,Guinea,HT-D processing,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124,0.04097520999795124
AMC,Guinea,LT - Alumina,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003
AMC,Guinea,HT-B - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
AMC,Guinea,HT-D - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
AMC,Guinea,LT - Silica,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
AMC,Guinea,HT-B - Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
AMC,Guinea,HT-D - Silica,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
AMC,Guinea,Moisture,0.1,,,,,,,,,,,,,,,,
AMC,Guinea,2015 C1 mining cost,6.073904889,6.073904889,5.008648852,5.301025337,5.31,5.3189746630000005,,,,,,,,,,,
AMC,Guinea,Duties and royalties,21.42932365,21.42932365,17.67099737,18.70252987,18.73419335,18.76585683,,,,,,,,,,,
AMC,Guinea,2015 C1 transp. cost inc ship loading,3.6870155980000003,3.6870155980000003,3.45,3.45,3.45,3.45,,,,,,,,,,,
AMC,Guinea,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
AMC,Guinea,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
AMC,Guinea,% mining cost = diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
AMC,Guinea,other mining cost %,,,,,,,,,,,,,,,,,
AMC,Guinea,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
AMC,Guinea,other royalties n duties cost %,,,,,,,,,,,,,,,,,
AMC,Guinea,% transport cost = diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
AMC,Guinea,other transport cost %,,,,,,,,,,,,,,,,,
AMC,Guinea,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,mining cost broken down - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new mining cost - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,new mining cost - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,new mining cost - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new mining cost - Total,,,,,,,,,,,,,,,,,
AMC,Guinea,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
AMC,Guinea,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,transport cost broken down - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new transport cost - diesel,,,,,,,,,,,,,,,,,
AMC,Guinea,new transport cost - local denomination,,,,,,,,,,,,,,,,,
AMC,Guinea,new transport cost - other,,,,,,,,,,,,,,,,,
AMC,Guinea,new transport cost - Total,,,,,,,,,,,,,,,,,
AMC,Guinea,Freight on Panamax,,,,,,,,,,,,,,,,,
AMC,Guinea,Freight on Capesize,,,,,,,,,,,,,,,,,
AMC,Guinea,Freight for vessel choosen,,,,,,,,,,,,,,,,,
AMC,Guinea,Capital cost of mine (inc. all infrasturure for export),27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
