mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AMR,Guinea,LT Avail AA,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405
AMR,Guinea,Total Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
AMR,Guinea,LT React. Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
AMR,Guinea,Total Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
AMR,Guinea,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
AMR,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AMR,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
AMR,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
AMR,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
AMR,Guinea,quartz,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001
AMR,Guinea,LT processing,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706
AMR,Guinea,HT-B processing,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938,2.629848783694938
AMR,Guinea,HT-D processing,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018,2.674798052747018
AMR,Guinea,LT processing,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
AMR,Guinea,HT-B processing,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361,0.02091715976331361
AMR,Guinea,HT-D processing,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422,0.03209757663296422
