mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Amrun,Australia,LT Avail AA,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645,0.3645
Amrun,Australia,Total Alumina,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
Amrun,Australia,LT React. Silica,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675
Amrun,Australia,Total Silica,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Amrun,Australia,Monhydrate,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
Amrun,Australia,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Amrun,Australia,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Amrun,Australia,Total Organic Carbon,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Amrun,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Amrun,Australia,quartz,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.022499999999999992
Amrun,Australia,LT processing,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515,3.0483158055174515
Amrun,Australia,HT-B processing,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687,2.4089129780186687
Amrun,Australia,HT-D processing,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987,2.588192665061987
Amrun,Australia,LT processing,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852,0.1851851851851852
