mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Andhra Pradesh,India,LT Avail AA,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Andhra Pradesh,India,Total Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Andhra Pradesh,India,LT React. Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Andhra Pradesh,India,Total Silica,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Andhra Pradesh,India,Monhydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,India,Moisture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Andhra Pradesh,India,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Andhra Pradesh,India,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Andhra Pradesh,India,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Andhra Pradesh,India,quartz,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Andhra Pradesh,India,LT processing,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456
Andhra Pradesh,India,HT-B processing,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003,2.710027100271003
Andhra Pradesh,India,HT-D processing,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663,2.8431707039690663
Andhra Pradesh,India,LT processing,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.04761904761904762
Andhra Pradesh,India,HT-B processing,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903,0.04439024390243903
Andhra Pradesh,India,HT-D processing,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576,0.0682360968952576
Andhra Pradesh,India,LT - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Andhra Pradesh,India,HT-B - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Andhra Pradesh,India,HT-D - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Andhra Pradesh,India,LT - Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Andhra Pradesh,India,HT-B - Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Andhra Pradesh,India,HT-D - Silica,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Andhra Pradesh,India,Moisture,0.08,,,,,,,,,,,,,,,,
Andhra Pradesh,India,2015 C1 mining cost,4.818656296,4.818656296,3.9321641360000004,4.143981812,4.147726963999999,4.180269996,,,,,,,,,,,
Andhra Pradesh,India,Duties and royalties,5.318663849,5.318663849,4.340184889,4.5739818119999995,4.578115578999999,4.614035437,,,,,,,,,,,
Andhra Pradesh,India,2015 C1 transp. cost inc ship loading,11.17696776,11.17696776,10.62573348,10.53232391,10.51666815,10.63460689,,,,,,,,,,,
Andhra Pradesh,India,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Andhra Pradesh,India,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% mining cost = diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,other mining cost %,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% transport cost = diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,other transport cost %,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,mining cost broken down - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new mining cost - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new mining cost - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new mining cost - Total,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,transport cost broken down - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new transport cost - diesel,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new transport cost - other,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,new transport cost - Total,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Freight on Panamax,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Freight on Capesize,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Capital cost of mine (inc. all infrasturure for export),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Andhra Pradesh,India,Life of mine,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Andhra Pradesh,India,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Andhra Pradesh,India,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Andhra Pradesh,India,Sustaining Capital Charge ($/t),1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002
Andhra Pradesh,India,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,India,capital payback charge - before adjustment,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564
Andhra Pradesh,India,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,India,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Andhra Pradesh,India,C1 Cost FOB,21.314287905,21.314287905,18.898082504999998,19.250287534,19.242510693,19.428912323,,,,,,,,,,,
Andhra Pradesh,India,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Cost FOB inc. Sustaining Capital,22.814287905,22.814287905,20.398082504999998,20.750287534,20.742510693,20.928912323,,,,,,,,,,,
Andhra Pradesh,India,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Full cost FOB,22.814287905,22.814287905,20.398082504999998,20.750287534,20.742510693,20.928912323,,,,,,,,,,,
Andhra Pradesh,India,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Margin C1,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Margin at Full Cost,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Andhra Pradesh,India,Alumina (%),0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Andhra Pradesh,India,Silica (%),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Andhra Pradesh,India,Moisture (%),0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Andhra Pradesh,India,t/t (dry bauxite/alumina),2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456
Andhra Pradesh,India,2015 C1 mining cost ($/t),4.818656296,4.818656296,3.9321641360000004,4.143981812,4.147726963999999,4.180269996,,,,,,,,,,,
Andhra Pradesh,India,2015 C1 transp. cost ($/t),11.17696776,11.17696776,10.62573348,10.53232391,10.51666815,10.63460689,,,,,,,,,,,
Andhra Pradesh,India,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Andhra Pradesh,India,C1 Cost CFR,,,,,,,,,,,,,,,,,
Andhra Pradesh,India,C1 Cost FOB,21.314287905,21.314287905,18.898082504999998,19.250287534,19.242510693,19.428912323,,,,,,,,,,,
Andhra Pradesh,India,Capital Payback ($/t)Charge,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564,-1.1203742970546564
