mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Ashapura Guinea,Guinea,LT Avail AA,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415
Ashapura Guinea,Guinea,Total Alumina,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Ashapura Guinea,Guinea,LT React. Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Ashapura Guinea,Guinea,Total Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Ashapura Guinea,Guinea,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Ashapura Guinea,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ashapura Guinea,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Ashapura Guinea,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Ashapura Guinea,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Ashapura Guinea,Guinea,quartz,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001
Ashapura Guinea,Guinea,LT processing,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075,2.677376171352075
Ashapura Guinea,Guinea,HT-B processing,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773,2.5690430314707773
Ashapura Guinea,Guinea,HT-D processing,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145,2.611920806561145
Ashapura Guinea,Guinea,LT processing,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301
Ashapura Guinea,Guinea,HT-B processing,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252,0.020780346820809252
Ashapura Guinea,Guinea,HT-D processing,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374,0.03134304967873374
Ashapura Guinea,Guinea,LT - Alumina,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
Ashapura Guinea,Guinea,HT-B - Alumina,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Ashapura Guinea,Guinea,HT-D - Alumina,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Ashapura Guinea,Guinea,LT - Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Ashapura Guinea,Guinea,HT-B - Silica,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
Ashapura Guinea,Guinea,HT-D - Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Ashapura Guinea,Guinea,Moisture,0.1,,,,,,,,,,,,,,,,
Ashapura Guinea,Guinea,2015 C1 mining cost,5.193131487,5.193131487,4.282347606,4.532326748,4.54,4.547673252,,,,,,,,,,,
Ashapura Guinea,Guinea,Duties and royalties,29.45534077,29.45534077,24.28939231,25.70726914,25.75079168,25.79431422,,,,,,,,,,,
Ashapura Guinea,Guinea,2015 C1 transp. cost inc ship loading,3.366405546,3.366405546,3.15,3.15,3.15,3.15,,,,,,,,,,,
Ashapura Guinea,Guinea,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
