mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aurum Xinfa-Fiji,Fiji,LT Avail AA,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365
Aurum Xinfa-Fiji,Fiji,Total Alumina,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Aurum Xinfa-Fiji,Fiji,LT React. Silica,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Aurum Xinfa-Fiji,Fiji,Total Silica,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Aurum Xinfa-Fiji,Fiji,Monhydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurum Xinfa-Fiji,Fiji,Moisture,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Aurum Xinfa-Fiji,Fiji,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Aurum Xinfa-Fiji,Fiji,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Aurum Xinfa-Fiji,Fiji,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Aurum Xinfa-Fiji,Fiji,quartz,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975
Aurum Xinfa-Fiji,Fiji,LT processing,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414
Aurum Xinfa-Fiji,Fiji,HT-B processing,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583,3.0651340996168583
Aurum Xinfa-Fiji,Fiji,HT-D processing,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726,3.167363486633726
Aurum Xinfa-Fiji,Fiji,LT processing,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413,0.09589041095890413
Aurum Xinfa-Fiji,Fiji,HT-B processing,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934,0.041896551724137934
Aurum Xinfa-Fiji,Fiji,HT-D processing,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943,0.07601672367920943
Aurum Xinfa-Fiji,Fiji,LT - Alumina,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Aurum Xinfa-Fiji,Fiji,HT-B - Alumina,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Aurum Xinfa-Fiji,Fiji,HT-D - Alumina,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Aurum Xinfa-Fiji,Fiji,LT - Silica,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Aurum Xinfa-Fiji,Fiji,HT-B - Silica,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006
Aurum Xinfa-Fiji,Fiji,HT-D - Silica,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Aurum Xinfa-Fiji,Fiji,Moisture,0.17,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,2015 C1 mining cost,10.0,10.0,8.230542896000001,8.711907834,8.726683605,8.741459377,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Duties and royalties,6.291821372999999,6.291821372999999,5.17851057,5.481376791000001,5.490673442,5.499970094,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,2015 C1 transp. cost inc ship loading,5.0,5.0,4.647314553999999,4.647314553999999,4.647314553999999,4.647314553999999,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Aurum Xinfa-Fiji,Fiji,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% mining cost = diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,other mining cost %,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% transport cost = diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,other transport cost %,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,mining cost broken down - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new mining cost - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new mining cost - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new mining cost - Total,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,transport cost broken down - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new transport cost - diesel,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new transport cost - other,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,new transport cost - Total,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Freight on Panamax,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Freight on Capesize,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Capital cost of mine (inc. all infrasturure for export),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Aurum Xinfa-Fiji,Fiji,Life of mine,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Aurum Xinfa-Fiji,Fiji,constructiuon period for mine & infrastructure,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Aurum Xinfa-Fiji,Fiji,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Aurum Xinfa-Fiji,Fiji,Sustaining Capital Charge ($/t),1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857
Aurum Xinfa-Fiji,Fiji,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurum Xinfa-Fiji,Fiji,capital payback charge - before adjustment,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544
Aurum Xinfa-Fiji,Fiji,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurum Xinfa-Fiji,Fiji,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Aurum Xinfa-Fiji,Fiji,C1 Cost FOB,21.291821372999998,21.291821372999998,18.05636802,18.840599179,18.864671600999998,18.888744025,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Cost FOB inc. Sustaining Capital,22.490035658714284,22.490035658714284,19.254582305714287,20.038813464714288,20.062885886714284,20.086958310714287,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Full cost FOB,22.490035658714284,22.490035658714284,19.254582305714287,20.038813464714288,20.062885886714284,20.086958310714287,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Margin C1,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Margin at Full Cost,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Aurum Xinfa-Fiji,Fiji,Alumina (%),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Aurum Xinfa-Fiji,Fiji,Silica (%),0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Aurum Xinfa-Fiji,Fiji,Moisture (%),0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Aurum Xinfa-Fiji,Fiji,t/t (dry bauxite/alumina),3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414,3.0441400304414
Aurum Xinfa-Fiji,Fiji,2015 C1 mining cost ($/t),10.0,10.0,8.230542896000001,8.711907834,8.726683605,8.741459377,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,2015 C1 transp. cost ($/t),5.0,5.0,4.647314553999999,4.647314553999999,4.647314553999999,4.647314553999999,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,C1 Cost CFR,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,C1 Cost FOB,21.291821372999998,21.291821372999998,18.05636802,18.840599179,18.864671600999998,18.888744025,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Capital Payback ($/t)Charge,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544,-2.75365043500544
Aurum Xinfa-Fiji,Fiji,Sustaining Capital Charge ($/t),1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857,1.1982142857142857
Aurum Xinfa-Fiji,Fiji,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Full Cost,,,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Mine Gate,10.0,10.0,8.230542896000001,8.711907834,8.726683605,8.741459377,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,Other processing penalties (US$/t_bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
