mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bintan,Indonesia,LT Avail AA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Bintan,Indonesia,Total Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Bintan,Indonesia,LT React. Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Bintan,Indonesia,Total Silica,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bintan,Indonesia,Monhydrate,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Bintan,Indonesia,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bintan,Indonesia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Bintan,Indonesia,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Bintan,Indonesia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Bintan,Indonesia,quartz,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Bintan,Indonesia,LT processing,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777
Bintan,Indonesia,HT-B processing,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475
Bintan,Indonesia,HT-D processing,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143
Bintan,Indonesia,LT processing,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625
Bintan,Indonesia,HT-B processing,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065
Bintan,Indonesia,HT-D processing,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871
Bintan,Indonesia,LT - Alumina,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
Bintan,Indonesia,HT-B - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Bintan,Indonesia,HT-D - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Bintan,Indonesia,LT - Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Bintan,Indonesia,HT-B - Silica,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975
Bintan,Indonesia,HT-D - Silica,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bintan,Indonesia,Moisture,0.13,,,,,,,,,,,,,,,,
Bintan,Indonesia,2015 C1 mining cost,9.363139438,9.363139438,7.568660306,8.0,8.092803782,8.129192961000001,,,,,,,,,,,
Bintan,Indonesia,Duties and royalties,11.7039243,11.7039243,9.460825382000001,10.0,10.11600473,10.1614912,,,,,,,,,,,
Bintan,Indonesia,2015 C1 transp. cost inc ship loading,5.798063562,5.798063562,5.047976535,5.0,5.195604222,5.251470933999999,,,,,,,,,,,
Bintan,Indonesia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Bintan,Indonesia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Bintan,Indonesia,other mining cost %,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Bintan,Indonesia,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% transport cost = diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Bintan,Indonesia,other transport cost %,,,,,,,,,,,,,,,,,
Bintan,Indonesia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Bintan,Indonesia,mining cost broken down - other,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new mining cost - diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new mining cost - other,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new mining cost - Total,,,,,,,,,,,,,,,,,
Bintan,Indonesia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Bintan,Indonesia,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Bintan,Indonesia,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Bintan,Indonesia,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Bintan,Indonesia,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
