mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Boddington,Australia,LT Avail AA,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
Boddington,Australia,Total Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Boddington,Australia,LT React. Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Boddington,Australia,Total Silica,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165
Boddington,Australia,Monhydrate,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Boddington,Australia,Moisture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Boddington,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Boddington,Australia,Total Organic Carbon,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High
Boddington,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Boddington,Australia,quartz,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
Boddington,Australia,LT processing,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418,3.418803418803418
Boddington,Australia,HT-B processing,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274,4.273504273504274
Boddington,Australia,HT-D processing,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523,7.556008916090523
Boddington,Australia,LT processing,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614,0.04615384615384614
Boddington,Australia,HT-B processing,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386,0.3034615384615386
Boddington,Australia,HT-D processing,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618,0.7480448826929618
Boddington,Australia,LT - Alumina,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Boddington,Australia,HT-B - Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Boddington,Australia,HT-D - Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Boddington,Australia,LT - Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Boddington,Australia,HT-B - Silica,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001
Boddington,Australia,HT-D - Silica,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165
Boddington,Australia,Moisture,0.08,,,,,,,,,,,,,,,,
Boddington,Australia,2015 C1 mining cost,6.67,6.67,5.773150337000001,6.047056992999999,5.99964838,5.909109205,,,,,,,,,,,
Boddington,Australia,Duties and royalties,5.824412003,5.824412003,5.041260287,5.2804424789999995,5.239044084,5.159982996,,,,,,,,,,,
Boddington,Australia,2015 C1 transp. cost inc ship loading,3.55,3.55,3.234645214,3.3346409660000003,3.247688138,3.091173047,,,,,,,,,,,
Boddington,Australia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Boddington,Australia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Boddington,Australia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Boddington,Australia,other mining cost %,,,,,,,,,,,,,,,,,
Boddington,Australia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Boddington,Australia,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Boddington,Australia,% transport cost = diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Boddington,Australia,other transport cost %,,,,,,,,,,,,,,,,,
Boddington,Australia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Boddington,Australia,mining cost broken down - other,,,,,,,,,,,,,,,,,
Boddington,Australia,new mining cost - diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Boddington,Australia,new mining cost - other,,,,,,,,,,,,,,,,,
Boddington,Australia,new mining cost - Total,,,,,,,,,,,,,,,,,
Boddington,Australia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Boddington,Australia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
