mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Brazil others,Brazil,LT Avail AA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Brazil others,Brazil,Total Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Brazil others,Brazil,LT React. Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Brazil others,Brazil,Total Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Brazil others,Brazil,Monhydrate,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Brazil others,Brazil,Moisture,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Brazil others,Brazil,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Brazil others,Brazil,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Brazil others,Brazil,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Brazil others,Brazil,quartz,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995
Brazil others,Brazil,LT processing,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777
Brazil others,Brazil,HT-B processing,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706,2.743484224965706
Brazil others,Brazil,HT-D processing,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016,2.8770355026181016
Brazil others,Brazil,LT processing,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Brazil others,Brazil,HT-B processing,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674,0.062345679012345674
Brazil others,Brazil,HT-D processing,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165,0.10357327809425165
Brazil others,Brazil,LT - Alumina,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Brazil others,Brazil,HT-B - Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Brazil others,Brazil,HT-D - Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Brazil others,Brazil,LT - Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Brazil others,Brazil,HT-B - Silica,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Brazil others,Brazil,HT-D - Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Brazil others,Brazil,Moisture,0.05,,,,,,,,,,,,,,,,
Brazil others,Brazil,2015 C1 mining cost,21.0,21.0,16.39948184,18.62643246,18.64691168,19.53843621,,,,,,,,,,,
Brazil others,Brazil,Duties and royalties,10.0,10.0,7.809277067000001,8.869729742999999,8.879481752,9.304017242999999,,,,,,,,,,,
Brazil others,Brazil,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
