Country,Australia,Australia.1,Australia.2,Australia.3,Australia.4,Australia.5,Australia.6,Australia.7,Australia.8,Australia.9,Australia.10,Australia.11,Australia.12,Australia.13,Bosnia,Bosnia.1,Brazil,Brazil.1,Brazil.2,Brazil.3,Brazil.4,Brazil.5,Brazil.6,Brazil.7,Dominican Republic,Fiji,Ghana,Ghana.1,Greece,Greece.1,Guinea,Guinea.1,Guinea.2,Guinea.3,Guinea.4,Guinea.5,Guinea.6,Guinea.7,Guinea.8,Guinea.9,Guinea.10,Guinea.11,Guinea.12,Guinea.13,Guinea.14,Guinea.15,Guinea.16,Guinea.17,Guinea.18,Guyana,Guyana.1,Guyana.2,Hungary,India,India.1,India.2,India.3,India.4,India.5,India.6,India.7,India.8,Indonesia,Indonesia.1,Indonesia.2,Iran,Jamaica,Jamaica.1,Jamaica.2,Kazakhstan,Kazakhstan.1,Malaysia,Malaysia.1,Montenegro,Russia,Russia.1,Russia.2,Russia.3,Russia.4,Russia.5,Russia.6,Saudi Arabia,Sierra Leone,Solomon Islands,Suriname,Turkey,Venezuela,Vietnam,Vietnam.1,Vietnam.2,Guinea.19,Guinea.20,Guinea.21
Producer / Project,Weipa,Gove,Boddington,Huntly,Willowdale,Metro BH1,Metro LT,Metro Blend,Metallica,QBL South Johnston,Aurukun,Amrun,Amrun HT,ABx Tasmania,Jajce,Milici (Vlasenica),MRN,Mirai,Rondon do Para,Paragominas,Juruti,Cataguases,"Pocos de Caldas, Alcoa",Brazil Others,Dom. Rep.,Aurum Xinfa-Fiji,Awaso,Other Ghana,Delphi-Distomon,Parnasse,CBG,Dian Dian,GAC,CBK Kindia,Fria Kimbo,Alufer (Bel Air),GDM,Henan-Chine,AMR,SMB Malapouya,Ashapura Guinea,SMB Kaboye,SMB Dabiss S,AGB2A,Dynamic,AMC,Chalco Boffa,Rundi,Dabiss N,Aroaima,Kurubuka,Guyana Others,Bakony,Chhattisgarh,Goa,Gujarat & Maharashtra,Jharkhand,Karnataka,Madhya Pradesh,Odisha,Andhra Pradesh,Tamil Nadu,Bintan,West Kalimantan,Indonesia Other,Jajarm,Discovery Bay,UCRusal,Jamaica Other,Turgai,Krasnogorsky,Kuantan,Malaysia Other,Niksic,Kola Apatit,North Onega,North Ural,South Ural,Tikhvin,Timan,Kiya-Shaltyr,Al-Baitha,Mokanji,Solomon Islands,Suriname - AWACS,Seydisehir,Los Pijiguaos,Nhan Co.,Tan Rai,Vietnam Others,SMB Santou-Houda,SMB SH no rail capital,SPIC
Alumina (%),,0.46699999999999997,0.34,0.341,0.33,0.45663411,0.460701497,0.46404794699999996,0.48,0.42000000000000004,0.54,0.54,,0.394,0.56,0.52,0.545,0.45999999999999996,0.46699999999999997,0.516,0.507,0.47,0.45,,0.465,0.4,0.515,0.51,0.6,0.57,0.452,0.47000000000000003,0.42,0.365,0.376,0.42200000000000004,0.43,0.44,0.42000000000000004,0.42000000000000004,0.43,0.4,0.42000000000000004,0.48000000000000004,0.39,0.47000000000000003,0.404,0.42000000000000004,0.44,0.5650000000000001,0.525,0.5650000000000001,0.5,0.45,0.4575,0.4575,0.45,0.45,0.48,0.44,0.44,0.43,0.465,0.475,0.465,0.47,0.49,0.46,0.46,0.44,0.44,0.425,0.38999999999999996,0.59,0.41,0.41,0.45,0.45,0.45,0.55,,0.57,0.479,0.48,0.523,0.558636364,0.5,0.48,0.48,0.53,,,0.404
Silica (%),,0.042,0.015,0.011,0.01,0.051264363,0.053436582,0.067902009,0.09,0.03,0.085,0.07875,,0.029,0.06,0.07,0.055,0.03,0.039,0.041,0.046,0.05,0.05,,0.045,0.035,0.02,0.01,0.03,0.04,0.019,0.014,0.01,0.015,0.008,0.017,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.01,0.012,0.012,0.015,0.015,0.045,0.045,0.045,0.060000000000000005,0.060000000000000005,0.0525,0.0525,0.060000000000000005,0.060000000000000005,0.05,0.02,0.02,0.04,0.065,0.035,0.065,0.11,0.0125,0.05500000000000001,0.05500000000000001,0.0625,0.1,0.037,0.04,0.0325,0.07,0.07,0.03,0.03,0.03,0.07,,0.087,0.03,0.010499999999999999,0.06,0.0661,0.05,0.04,0.04,0.055,,,0.012
Moisture (%),,0.095,0.08,0.08,0.08,0.123,0.123,0.123,0.13,0.1,0.13,0.13,,0.1,0.1,0.1,0.07,0.13,0.13,0.13,0.13,0.13,0.05,,0.16,0.17,0.1,0.1,0.07,0.1,0.07,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.13,0.15,0.13,0.05,0.17,0.18,0.18,0.13,0.13,0.17,0.17,0.09,0.1,0.1,0.1,0.1,0.1,0.1,,0.07,0.111,0.15,0.13,0.0175,0.13,0.13,0.13,0.05,,,0.1
Bauxite style,,LT,LT,LT,LT,LT,LT,LT,LT,LT,HT-B,HT-B,,LT,HT-D,HT-D,LT,LT,LT,LT,LT,LT,LT,,HT-B,LT,LT,LT,HT-D,HT-D,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,HT-B,HT-B,LT,LT,HT-B,HT-B,HT-B,LT,LT,LT,LT,LT,LT,HT-D,HT-B,HT-B,HT-B,HT-B,HT-B,LT,LT,HT-B,HT-B,HT-B,HT-D,HT-D,HT-D,HT-D,,HT-D,LT,HT-B,LT,HT-D,LT,LT,LT,HT-D,,,LT
t/t (dry bauxite/alumina),,2.6143790849673203,3.418803418803418,3.3670033670033668,3.4722222222222223,2.740981830375988,2.7282269358044533,2.8048024844599344,2.8490028490028485,2.8490028490028485,2.4420024420024418,2.4089129780186687,,3.0441400304414,2.285296402943461,2.5607538859440218,2.2675736961451247,2.5839793281653747,2.596053997923157,2.3391812865497075,2.4102193299590264,2.6455026455026456,2.7777777777777777,,2.6455026455026456,3.0441400304414,2.244668911335578,2.2222222222222223,1.9732038911580736,2.1334698754053596,2.5660764690787783,2.4366471734892783,2.710027100271003,3.1746031746031744,3.0193236714975846,2.743484224965706,2.6709401709401708,2.6143790849673203,2.743484224965706,2.743484224965706,2.677376171352075,2.886002886002886,2.743484224965706,2.389486260454002,2.9239766081871346,2.4260067928190194,2.834467120181406,2.743484224965706,2.6143790849673203,2.1367521367521367,2.314814814814815,2.1367521367521367,2.5252525252525255,2.8490028490028485,2.743484224965706,2.743484224965706,2.8490028490028485,2.8490028490028485,2.5839793281653747,2.6455026455026456,2.6455026455026456,2.8490028490028485,2.7777777777777777,2.5252525252525255,2.7777777777777777,3.3197224712014077,2.326934264107039,2.743484224965706,2.743484224965706,2.9433406916850626,3.2679738562091503,2.8636884306987396,3.1746031746031744,1.9930244145490785,3.2679738562091503,3.2679738562091503,2.6896904166330455,2.6896904166330455,2.6896904166330455,2.3951522119230675,,2.399859848184866,2.4746349913387773,2.3665838362323983,2.399808015358771,2.3277465916065965,2.4691358024691357,2.5252525252525255,2.5252525252525255,2.403181812720041,,,2.834467120181406
C1 Cost CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.900000000000006,,,,,,,,,,,,,,,,,,,,,
Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.900000000000006,,,,,,,,,,,,,,,,,,,,,
Full Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.900000000000006,,,,,,,,,,,,,,,,,,,,,
