mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Delphi-Distomon,Greece,LT Avail AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphi-Distomon,Greece,Total Alumina,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Delphi-Distomon,Greece,LT React. Silica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphi-Distomon,Greece,Total Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Delphi-Distomon,Greece,Monhydrate,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Delphi-Distomon,Greece,Moisture,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Delphi-Distomon,Greece,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Delphi-Distomon,Greece,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Delphi-Distomon,Greece,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Delphi-Distomon,Greece,quartz,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Delphi-Distomon,Greece,LT processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphi-Distomon,Greece,HT-B processing,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662,1.8993352326685662
Delphi-Distomon,Greece,HT-D processing,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736,1.9732038911580736
Delphi-Distomon,Greece,LT processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delphi-Distomon,Greece,HT-B processing,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.025641025641025644
Delphi-Distomon,Greece,HT-D processing,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532,0.03551767004084532
Delphi-Distomon,Greece,LT - Alumina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delphi-Distomon,Greece,HT-B - Alumina,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Delphi-Distomon,Greece,HT-D - Alumina,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Delphi-Distomon,Greece,LT - Silica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delphi-Distomon,Greece,HT-B - Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Delphi-Distomon,Greece,HT-D - Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Delphi-Distomon,Greece,Moisture,0.07,,,,,,,,,,,,,,,,
Delphi-Distomon,Greece,2015 C1 mining cost,26.0,26.0,21.32733472,22.57888356,22.61730056,22.65571757,,,,,,,,,,,
Delphi-Distomon,Greece,Duties and royalties,7.0,7.0,5.741974732,6.078930188999999,6.089273229,6.099616269,,,,,,,,,,,
Delphi-Distomon,Greece,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Delphi-Distomon,Greece,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
