mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Discovery Bay,Jamaica,LT Avail AA,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
Discovery Bay,Jamaica,Total Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Discovery Bay,Jamaica,LT React. Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Discovery Bay,Jamaica,Total Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Discovery Bay,Jamaica,Monhydrate,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Discovery Bay,Jamaica,Moisture,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Discovery Bay,Jamaica,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Discovery Bay,Jamaica,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Discovery Bay,Jamaica,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Discovery Bay,Jamaica,quartz,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999
Discovery Bay,Jamaica,LT processing,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747
Discovery Bay,Jamaica,HT-B processing,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039,2.326934264107039
Discovery Bay,Jamaica,HT-D processing,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043,2.3562954323213043
Discovery Bay,Jamaica,LT processing,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375,0.023255813953488375
Discovery Bay,Jamaica,HT-B processing,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838,0.015235602094240838
Discovery Bay,Jamaica,HT-D processing,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174,0.02120665889089174
Discovery Bay,Jamaica,LT - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Discovery Bay,Jamaica,HT-B - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Discovery Bay,Jamaica,HT-D - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Discovery Bay,Jamaica,LT - Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Discovery Bay,Jamaica,HT-B - Silica,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
Discovery Bay,Jamaica,HT-D - Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Discovery Bay,Jamaica,Moisture,0.17,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,2015 C1 mining cost,20.0,20.0,17.17601699,17.94620089,17.96984213,17.99348336,,,,,,,,,,,
Discovery Bay,Jamaica,Duties and royalties,5.0,5.0,4.146151143,4.386833612,4.394221498,4.401609383,,,,,,,,,,,
Discovery Bay,Jamaica,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Discovery Bay,Jamaica,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Discovery Bay,Jamaica,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% mining cost = diesel,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,other mining cost %,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% transport cost = diesel,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,other transport cost %,,,,,,,,,,,,,,,,,
