mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Dom. Rep.,Dominic Republic,LT Avail AA,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Dom. Rep.,Dominic Republic,Total Alumina,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
Dom. Rep.,Dominic Republic,LT React. Silica,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Dom. Rep.,Dominic Republic,Total Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Dom. Rep.,Dominic Republic,Monhydrate,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
Dom. Rep.,Dominic Republic,Moisture,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Dom. Rep.,Dominic Republic,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Dom. Rep.,Dominic Republic,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Dom. Rep.,Dominic Republic,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Dom. Rep.,Dominic Republic,quartz,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
Dom. Rep.,Dominic Republic,LT processing,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744
Dom. Rep.,Dominic Republic,HT-B processing,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456
Dom. Rep.,Dominic Republic,HT-D processing,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206,2.7536830510808206
Dom. Rep.,Dominic Republic,LT processing,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143
Dom. Rep.,Dominic Republic,HT-B processing,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191,0.05190476190476191
