mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Dynamic,Guinea,LT Avail AA,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
Dynamic,Guinea,Total Alumina,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Dynamic,Guinea,LT React. Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Dynamic,Guinea,Total Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Dynamic,Guinea,Monhydrate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Dynamic,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dynamic,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Dynamic,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Dynamic,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Dynamic,Guinea,quartz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Dynamic,Guinea,LT processing,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346,2.9239766081871346
Dynamic,Guinea,HT-B processing,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065,2.7434842249657065
Dynamic,Guinea,HT-D processing,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286,2.8100938571348286
Dynamic,Guinea,LT processing,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213,0.026315789473684213
