mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Guyana Others,Guyana,LT Avail AA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Guyana Others,Guyana,Total Alumina,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585
Guyana Others,Guyana,LT React. Silica,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
Guyana Others,Guyana,Total Silica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana Others,Guyana,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Guyana Others,Guyana,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Guyana Others,Guyana,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Guyana Others,Guyana,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Guyana Others,Guyana,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Guyana Others,Guyana,quartz,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045
Guyana Others,Guyana,LT processing,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367,2.1367521367521367
