mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Henan-Chine,Guinea,LT Avail AA,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
Henan-Chine,Guinea,Total Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Henan-Chine,Guinea,LT React. Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Henan-Chine,Guinea,Total Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Henan-Chine,Guinea,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Henan-Chine,Guinea,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Henan-Chine,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Henan-Chine,Guinea,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Henan-Chine,Guinea,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Henan-Chine,Guinea,quartz,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001
Henan-Chine,Guinea,LT processing,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203
Henan-Chine,Guinea,HT-B processing,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195,2.5109855618330195
Henan-Chine,Guinea,HT-D processing,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973,2.551931812381973
Henan-Chine,Guinea,LT processing,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882
Henan-Chine,Guinea,HT-B processing,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297,0.020649717514124297
Henan-Chine,Guinea,HT-D processing,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677,0.030623181748583677
Henan-Chine,Guinea,LT - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Henan-Chine,Guinea,HT-B - Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Henan-Chine,Guinea,HT-D - Alumina,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Henan-Chine,Guinea,LT - Silica,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Henan-Chine,Guinea,HT-B - Silica,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
Henan-Chine,Guinea,HT-D - Silica,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Henan-Chine,Guinea,Moisture,0.1,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,2015 C1 mining cost,1.5442131069999998,1.5442131069999998,1.273385301,1.347718306,1.35,1.352281694,,,,,,,,,,,
Henan-Chine,Guinea,Duties and royalties,23.35259513,23.35259513,19.25696087,20.38107292,20.41557818,20.45008344,,,,,,,,,,,
Henan-Chine,Guinea,2015 C1 transp. cost inc ship loading,1.720607279,1.720607279,1.61,1.61,1.61,1.61,,,,,,,,,,,
Henan-Chine,Guinea,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Henan-Chine,Guinea,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% mining cost = diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,other mining cost %,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% transport cost = diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,other transport cost %,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,mining cost broken down - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new mining cost - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new mining cost - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new mining cost - Total,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,transport cost broken down - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new transport cost - diesel,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new transport cost - other,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,new transport cost - Total,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Freight on Panamax,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Freight on Capesize,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Capital cost of mine (inc. all infrasturure for export),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Henan-Chine,Guinea,Life of mine,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Henan-Chine,Guinea,constructiuon period for mine & infrastructure,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Henan-Chine,Guinea,IRR required for project,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Henan-Chine,Guinea,Sustaining Capital Charge ($/t),1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
Henan-Chine,Guinea,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henan-Chine,Guinea,capital payback charge - before adjustment,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914
Henan-Chine,Guinea,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan-Chine,Guinea,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Henan-Chine,Guinea,C1 Cost FOB,26.617415516,26.617415516,22.140346171,23.338791226,23.37557818,23.412365133999998,,,,,,,,,,,
Henan-Chine,Guinea,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Cost FOB inc. Sustaining Capital,28.492415516,28.492415516,24.015346171,25.213791226,25.25057818,25.287365133999998,,,,,,,,,,,
Henan-Chine,Guinea,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Full cost FOB,28.492415516,28.492415516,24.015346171,25.213791226,25.25057818,25.287365133999998,,,,,,,,,,,
Henan-Chine,Guinea,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Margin C1,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Margin at Full Cost,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Henan-Chine,Guinea,Alumina (%),0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Henan-Chine,Guinea,Silica (%),0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Henan-Chine,Guinea,Moisture (%),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Henan-Chine,Guinea,t/t (dry bauxite/alumina),2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203,2.6143790849673203
Henan-Chine,Guinea,2015 C1 mining cost ($/t),1.5442131069999998,1.5442131069999998,1.273385301,1.347718306,1.35,1.352281694,,,,,,,,,,,
Henan-Chine,Guinea,2015 C1 transp. cost ($/t),1.720607279,1.720607279,1.61,1.61,1.61,1.61,,,,,,,,,,,
Henan-Chine,Guinea,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,C1 Cost CFR,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,C1 Cost FOB,26.617415516,26.617415516,22.140346171,23.338791226,23.37557818,23.412365133999998,,,,,,,,,,,
Henan-Chine,Guinea,Capital Payback ($/t)Charge,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914,-1.5084258817368914
Henan-Chine,Guinea,Sustaining Capital Charge ($/t),1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
Henan-Chine,Guinea,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Full Cost,,,,,,,,,,,,,,,,,
Henan-Chine,Guinea,Mine Gate,1.5442131069999998,1.5442131069999998,1.273385301,1.347718306,1.35,1.352281694,,,,,,,,,,,
Henan-Chine,Guinea,Other processing penalties (US$/t_bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
