mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Huntly,Australia,LT Avail AA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Huntly,Australia,Total Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Huntly,Australia,LT React. Silica,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Huntly,Australia,Total Silica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Huntly,Australia,Monhydrate,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
Huntly,Australia,Moisture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Huntly,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Huntly,Australia,Total Organic Carbon,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High
Huntly,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Huntly,Australia,quartz,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189
Huntly,Australia,LT processing,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668,3.3670033670033668
Huntly,Australia,HT-B processing,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834,4.544421722335834
Huntly,Australia,HT-D processing,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685,10.683760683760685
Huntly,Australia,LT processing,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326
Huntly,Australia,HT-B processing,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627,0.3975030674846627
Huntly,Australia,HT-D processing,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822
Huntly,Australia,LT - Alumina,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341
Huntly,Australia,HT-B - Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Huntly,Australia,HT-D - Alumina,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Huntly,Australia,LT - Silica,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Huntly,Australia,HT-B - Silica,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055
Huntly,Australia,HT-D - Silica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Huntly,Australia,Moisture,0.08,,,,,,,,,,,,,,,,
Huntly,Australia,2015 C1 mining cost,4.629558558,4.629558558,4.0070670989999995,4.197182077,4.164276388,4.101434347,,,,,,,,,,,
Huntly,Australia,Duties and royalties,8.148558272,8.148558272,7.052901339,7.3875256789999995,7.329607861,7.218998603999999,,,,,,,,,,,
Huntly,Australia,2015 C1 transp. cost inc ship loading,3.2819794989999997,3.2819794989999997,2.9904336,3.0828797999999997,3.0024917999999996,2.8577934,,,,,,,,,,,
Huntly,Australia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Huntly,Australia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Huntly,Australia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Huntly,Australia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Huntly,Australia,other mining cost %,,,,,,,,,,,,,,,,,
Huntly,Australia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
